dataset,outcome,scaling,lag,model,beta,se,p,sig,mean_y,n
nec_panel,log_cap_new_firms,lin,0,M2,0.10876942822875946,0.23265787987018421,0.6415102710787506,,20.507080253192207,600
nec_panel,log_cap_new_firms,lin,0,M3,0.08146008309775551,0.20321508456811505,0.6896808715653961,,20.507080253192207,600
nec_panel,log_cap_new_firms,lin,0,M4,-0.04857647118437661,0.1714585034825597,0.7777277847171329,,20.507080253192207,600
nec_panel,log_cap_new_firms,lin,1,M2,0.07770216108100314,0.2825726559908978,0.7840970018521397,,20.507080253192207,600
nec_panel,log_cap_new_firms,lin,1,M3,0.04042977242747069,0.2591258605749015,0.8764392032154823,,20.507080253192207,600
nec_panel,log_cap_new_firms,lin,1,M4,-0.12939216283995783,0.24716881271218016,0.6021925832726632,,20.507080253192207,600
nec_panel,log_cap_new_firms,lin,2,M2,-0.0665855299196001,0.4218570118187883,0.8750135029577253,,20.507080253192207,600
nec_panel,log_cap_new_firms,lin,2,M3,-0.12619388917892171,0.43430079542104255,0.772194552223311,,20.507080253192207,600
nec_panel,log_cap_new_firms,lin,2,M4,-0.2137153720910221,0.45827323268974507,0.6423354890272187,,20.507080253192207,600
nec_panel,log_cap_new_firms,lin,3,M2,-0.2177286506623437,0.5834435660447442,0.7100824059956505,,20.507080253192207,600
nec_panel,log_cap_new_firms,lin,3,M3,-0.2456044518426966,0.6183058175988403,0.6923474302726274,,20.507080253192207,600
nec_panel,log_cap_new_firms,lin,3,M4,-0.4704768760575265,0.6819704450085547,0.4924283747446546,,20.507080253192207,600
nec_panel,log_cap_new_firms,lin,5,M2,-0.09117666727839868,0.766793142669691,0.905671655692298,,20.507080253192207,600
nec_panel,log_cap_new_firms,lin,5,M3,-0.018646463902039265,0.7055570709322306,0.9789870998973152,,20.507080253192207,600
nec_panel,log_cap_new_firms,lin,5,M4,0.4951844529447195,0.6400422818805902,0.4415878694373807,,20.507080253192207,600
nec_panel,log_cap_new_firms,log,0,M2,0.25747938956073724,0.23418697670439076,0.2751312006837543,,20.507080253192207,600
nec_panel,log_cap_new_firms,log,0,M3,0.23987595207720652,0.20012354712856162,0.23449275183447357,,20.507080253192207,600
nec_panel,log_cap_new_firms,log,0,M4,0.1865109940616025,0.2343008264874169,0.4285596171727539,,20.507080253192207,600
nec_panel,log_cap_new_firms,log,1,M2,0.2254702902428356,0.2968425625203331,0.44992949425733797,,20.507080253192207,600
nec_panel,log_cap_new_firms,log,1,M3,0.202979830530048,0.26141979121754,0.4399571305901744,,20.507080253192207,600
nec_panel,log_cap_new_firms,log,1,M4,0.10775505729136274,0.3180004495995258,0.7356809541994587,,20.507080253192207,600
nec_panel,log_cap_new_firms,log,2,M2,0.007453484657846232,0.4856956237341946,0.9877974445327338,,20.507080253192207,600
nec_panel,log_cap_new_firms,log,2,M3,-0.026698900327356175,0.4613875664116332,0.954010912698104,,20.507080253192207,600
nec_panel,log_cap_new_firms,log,2,M4,-0.018838899428435873,0.5527297869073232,0.972902430493503,,20.507080253192207,600
nec_panel,log_cap_new_firms,log,3,M2,-0.24173254540652778,0.6084903224112647,0.6923148298738169,,20.507080253192207,600
nec_panel,log_cap_new_firms,log,3,M3,-0.2555272368948692,0.6089998969613499,0.6760042714966432,,20.507080253192207,600
nec_panel,log_cap_new_firms,log,3,M4,-0.29210957984009395,0.7898981866139031,0.7125828231722191,,20.507080253192207,600
