lgcode,n_firms,rev_total,exp_total,wage_bill_total,value_added_total,profit_proxy_total,cap_total,cap_fixed_total,emp_total,log_rev_total,log_exp_total,log_value_added_total,log_profit_proxy_total,log_cap_total,log_emp_total,mean_rev_per_worker,median_rev_per_worker,p90_rev_per_worker,mean_value_added_per_worker,median_value_added_per_worker,mean_profit_per_worker,median_profit_per_worker,mean_capital_per_worker,median_capital_per_worker,mean_revenue_per_capital,median_revenue_per_capital,mean_profit_margin,median_profit_margin,wage_share_of_revenue,value_added_share_of_revenue,capital_intensity_aggregate,share_positive_revenue,share_positive_capital
10202,437,302302980,1542050820,58217724,-1239747840,-1239747840,768121712,164371940,1148,19.526940320766233,21.156379069391402,0,0,20.459458759023992,7.046647277848756,250452.08871274797,90000,535857.24,-534810.3702663599,24000,-534810.3702663599,24000,348377.51807269105,78000,2.7544145343368034,1.125,-2.061121101483057,0.3333333333333333,0.19258071488412057,-4.101010979117705,669095.5679442509,0.9725400457665904,0.9725400457665904
10203,402,256866048,198216456,58235556,58649592,58649592,367958519,154630583,2104,19.364065296865554,19.104870208703787,17.88709119356824,17.88709119356824,19.723480772388818,7.652070746116482,168511.94871055556,43246.753246753244,311216.74285714305,30576.17048686102,6000,30576.17048686102,6000,182365.6062415226,50000,9.228348087555329,0.782608695652174,-0.042541384281661036,0.2,0.2267156615420034,0.22832753669336633,174885.22766159696,0.9751243781094527,0.972636815920398
10204,199,121537776,90400320,26640492,31137456,31137456,130748922,44869153,479,18.615735694229407,18.319758376241055,17.253922057580123,17.253922057580123,18.688789423781692,6.173786103901937,224048.085989011,96000,540000,76410.25836000734,23346,76410.25836000734,23346,272765.1755155134,81043.75,2.3084149361193123,1.0542236644743759,0.23663712774853338,0.20416666666666666,0.21919515789066274,0.25619570330133407,272962.2588726514,0.9849246231155779,0.9849246231155779
10205,220,3830355024,5712077136,46685892,-1881722112,-1881722112,1311341882,1251831611,547,22.066223331665427,22.465848566269262,0,0,20.994316788051062,6.306275286948016,5522993.245854539,90000,631454.4000000004,-2153125.3588001584,24000,-2153125.3588001584,24000,468115.63259140664,65000,24.51910976601453,1.926781601172611,-7.617325521350817,0.25,0.012188398126930388,-0.49126571824533827,2397334.336380256,0.9863636363636363,0.9863636363636363
10206,1913,44779769124,18262727784,894654756,26517041340,26517041340,113826098310,3236119307,6597,24.52502229234223,23.628128086772275,24.001053432729716,24.001053432729716,25.457937667239968,8.794521851788527,5306195.904601832,240000,1080000,4507881.046339598,60000,4507881.046339598,60000,1202349.187452086,105000,506.12374344675146,1.8113207547169812,0.1521293809110914,0.3333333333333333,0.019978994387456636,0.5921656555792295,17254221.359708957,0.9618400418191323,0.9618400418191323
10207,591,3671321148,41217790632,1685139972,-37546469484,-37546469484,4990051820,2529433617,1331,22.023817420336982,24.442135811578726,0,0,22.330712131625855,7.194436851100335,1153539.4155427036,120000,600000,-7156789.067799911,30000,-7156789.067799911,30000,1365010.1174401036,85000,4.998916704354244,1.68,-1.3412115610800506,0.2885487528344671,0.45900097105860704,-10.226964073805945,3749099.7896318557,0.9441624365482234,0.9407783417935702
10208,1035,1177870332,665962776,137407752,511907556,511907556,2173571130,594679700,2434,20.886973842263245,20.316744336552347,20.0536546139678,20.0536546139678,21.499637334335652,7.79770203551669,477430.32559012994,144000,683000.0000000007,217951.917026193,35943.13043478261,217951.917026193,35943.13043478261,891336.4477836834,100000,9.095517077810445,1.5388779443254819,0.2193517622752012,0.25,0.11665779183578248,0.4346043380944924,893003.7510271159,0.9739130434782609,0.9690821256038648
10209,421,1320281376,314406456,62615316,1005874920,1005874920,559435974,133032305,1181,21.001110715222328,19.56619715584024,20.729123567891982,20.729123567891982,20.14243964663931,7.074963197966044,599199.3026255998,180000,803437.0857142855,266370.9423926571,36000,266370.9423926571,36000,426492.5857953597,114966.66666666666,2.929452479094736,1.6,0.26266084263595063,0.25,0.04742573601219987,0.7618640528335379,473696.8450465707,0.9714964370546318,0.9691211401425178
10210,527,407098428,266639112,87924660,140459316,140459316,624546832,282192507,1972,19.82456555446306,19.401406665375568,18.760428446088994,18.760428446088994,20.252536877512323,7.587310506022615,255116.1830899945,120000,480000,93438.68368138757,30000,93438.68368138757,30000,336880.55989102105,100000,2.1584981803972685,1.2,0.27755574638321734,0.3027777777777778,0.21597887378725028,0.34502544431343274,316707.31845841784,0.9449715370018975,0.9601518026565465
10301,702,1412239200,952292400,82488000,459946800,459946800,4292027160,1549482000,2216,21.068442367477285,20.674382689504167,19.94662139075944,19.94662139075944,22.180024989980023,7.7039102096163115,970759.0781618817,480000,2400000,355375.79685969045,180000,355375.79685969045,180000,2312005.82024474,1250000,0.9991562342322176,0.5454545454545454,0.34805131064549105,0.4,0.058409368611209773,0.3256861868725921,1936835.3610108304,0.9757834757834758,0.9757834757834758
10302,369,432881664,240536448,16173300,192345216,192345216,455290498,267361698,1466,19.885974957622903,19.298382191120332,19.074802320723958,19.074802320723958,19.93644623252743,7.2909747781429814,506086.9403437282,180000,1014000.0000000003,233324.75986817453,60000,233324.75986817453,60000,569765.5201226979,150000,5.7372395440997375,1.2,-0.45470471677883645,0.375,0.037361942870373,0.4443367136936528,310566.50613915414,0.983739837398374,0.9701897018970189
10303,265,140449596,98289732,17516232,42159864,42159864,170608500,56152000,1146,18.760359242161886,18.403430134087806,17.556979260104967,17.556979260104967,18.954882021792102,7.044905117129371,162198.43247093726,96000,338285.71428571455,68047.03537902792,42000,68047.03537902792,42000,198646.3409550081,75000,1.8518686765745793,0.96,0.42731194119686594,0.5555555555555556,0.12471543171971815,0.30017789442413206,148873.03664921466,0.9924528301886792,0.9584905660377359
10304,263,305514600,196468800,104124000,109045800,109045800,850500000,306866000,898,19.537508129214526,19.096014203130842,18.507278544597753,18.507278544597753,20.56133497097597,6.80128303447162,376191.19506123697,210000,575999.9999999997,162941.56342251407,90000,162941.56342251407,90000,1027164.4597300215,550000,0.6178834928963907,0.42,0.44240507375364885,0.42857142857142855,0.3408151361669786,0.3569250045660666,947104.6770601337,0.9695817490494296,0.9695817490494296
10305,456,583134852,446913204,49960572,136221648,136221648,1785698546,702927536,4334,20.18392902631488,19.917874961464463,18.729793889121883,18.729793889121883,21.30307551848051,8.374476889214643,339600.57747454254,135000,696000.0000000014,53189.25181733256,12000,53189.25181733256,12000,711711.4594535556,300000,1.2668861874568247,0.6,0.2160791949806414,0.2,0.08567584638209894,0.23360230919622688,412020.8920166128,0.9539473684210527,0.9364035087719298
10306,353,328049028,286437156,169441332,41611872,41611872,660908020,255792870,2981,19.608673633836133,19.473029722763993,17.543896093164037,17.543896093164037,20.309125236847592,8.000349495324684,185229.36502841435,102000,360000,46176.68064222007,30000,46176.68064222007,30000,464669.88026628335,250000,1.35386142366542,0.4,0.3412308388956778,0.4,0.5165122208501103,0.12684650295625932,221706.8165045287,0.9773371104815864,0.9490084985835694
10307,911,1035846876,1128520716,100685736,-92673840,-92673840,3206873690,1614954390,3333,20.75848516773634,20.8441735120507,0,0,21.88856237147488,8.111928063310739,381359.56294765766,210000,900000,20162.430282854853,60000,20162.430282854853,60000,797498.0602339419,300000,1.5357833936134415,0.75,0.2190011165531609,0.375,0.09720137052380318,-0.08946673697358334,962158.3228322832,0.9725576289791438,0.9670691547749726
