lgcode,new_firms_total,log_new_firms_total,first_founded_year_observed,last_founded_year_observed,n_entry_years_observed,new_firms_1980,new_firms_1983,new_firms_1984,new_firms_1986,new_firms_1987,new_firms_1988,new_firms_1989,new_firms_1990,new_firms_1991,new_firms_1992,new_firms_1993,new_firms_1994,new_firms_1995,new_firms_1996,new_firms_1997,new_firms_1998,new_firms_1999,new_firms_2000,new_firms_2001,new_firms_2002,new_firms_2003,new_firms_2004,new_firms_2005,new_firms_2006,new_firms_2007,new_firms_2008,new_firms_2009,new_firms_2010,new_firms_2011,new_firms_2012,new_firms_2013,new_firms_2014,new_firms_2015,new_firms_2016,new_firms_2017,new_firms_2018,new_firms_1981,new_firms_1982,new_firms_1985,new_firms_1990_1999,new_firms_2000_2009,new_firms_2010_2014,new_firms_2015_2018,new_firms_pre_1990,share_new_1990_1999,share_new_2000_2009,share_new_2010_2014,share_new_2015_2018,share_new_pre_1990,new_agriculture,new_manufacturing,new_construction,new_trade_retail,new_transport,new_hospitality,new_finance_prof_info,new_social_services,new_other_services,new_utilities_mining,share_new_agriculture,share_new_manufacturing,share_new_construction,share_new_trade_retail,share_new_transport,share_new_hospitality,share_new_finance_prof_info,share_new_social_services,share_new_other_services,share_new_utilities_mining
10101,508,6.2324480165505225,1980,2018,36,1,6,2,1,3,6,2,2,2,2,10,1,6,6,17,8,5,7,3,10,6,4,8,12,13,22,15,47,22,40,38,46,36,48,48,3,0,0,0,59,100,193,135,21,0.11614173228346457,0.1968503937007874,0.3799212598425197,0.265748031496063,0.04133858267716536,119,48,4,128,5,49,7,69,64,15,0.234251968503937,0.09448818897637795,0.007874015748031496,0.25196850393700787,0.00984251968503937,0.09645669291338582,0.013779527559055118,0.13582677165354332,0.12598425196850394,0.02952755905511811
10102,251,5.529429087511423,1980,2018,33,1,2,0,0,2,1,0,4,1,2,5,3,5,7,4,4,4,3,4,4,5,2,0,4,5,11,7,9,10,13,11,24,19,35,28,11,1,0,0,39,45,67,93,7,0.1553784860557769,0.17928286852589642,0.26693227091633465,0.3705179282868526,0.027888446215139442,33,22,3,77,4,7,13,48,35,9,0.13147410358565736,0.08764940239043825,0.01195219123505976,0.30677290836653387,0.01593625498007968,0.027888446215139442,0.05179282868525897,0.19123505976095617,0.1394422310756972,0.035856573705179286
10103,380,5.942799375126701,1982,2018,33,0,4,0,1,0,3,1,1,0,2,6,3,4,4,3,10,3,2,5,2,13,2,10,12,9,13,17,24,17,35,29,21,31,36,53,3,0,1,0,36,85,126,123,10,0.09473684210526316,0.2236842105263158,0.33157894736842103,0.3236842105263158,0.02631578947368421,11,25,0,142,4,27,17,62,85,7,0.02894736842105263,0.06578947368421052,0,0.3736842105263158,0.010526315789473684,0.07105263157894737,0.04473684210526316,0.1631578947368421,0.2236842105263158,0.018421052631578946
10104,300,5.707110264748875,1981,2018,34,0,0,1,2,0,3,2,1,0,2,1,3,7,1,1,4,5,3,3,2,7,4,10,7,11,20,12,12,19,18,39,13,20,22,39,3,1,0,2,25,79,101,84,11,0.08333333333333333,0.2633333333333333,0.33666666666666667,0.28,0.03666666666666667,7,50,4,100,1,18,6,56,48,10,0.023333333333333334,0.16666666666666666,0.013333333333333334,0.3333333333333333,0.0033333333333333335,0.06,0.02,0.18666666666666668,0.16,0.03333333333333333
10105,409,6.016157159698354,1980,2018,34,1,2,0,3,2,5,0,1,0,3,5,5,8,3,8,2,6,7,14,3,7,5,7,5,15,22,12,43,9,17,36,26,41,39,38,7,0,0,2,41,97,131,125,15,0.10024449877750612,0.2371638141809291,0.3202933985330073,0.3056234718826406,0.03667481662591687,31,33,5,115,3,9,5,63,131,14,0.07579462102689487,0.08068459657701711,0.012224938875305624,0.28117359413202936,0.007334963325183374,0.022004889975550123,0.012224938875305624,0.15403422982885084,0.3202933985330073,0.034229828850855744
10106,1565,7.356279876550748,1980,2018,38,4,12,1,1,2,15,6,6,6,2,18,8,17,8,21,25,11,19,22,11,50,22,27,20,43,70,46,51,94,92,154,115,140,150,232,40,2,2,0,122,330,506,562,45,0.07795527156549521,0.2108626198083067,0.3233226837060703,0.35910543130990413,0.02875399361022364,34,135,5,658,9,308,77,147,180,12,0.021725239616613417,0.08626198083067092,0.003194888178913738,0.4204472843450479,0.005750798722044728,0.19680511182108626,0.049201277955271565,0.0939297124600639,0.11501597444089456,0.0076677316293929714
10107,378,5.937536205082426,1980,2017,35,1,3,0,0,2,4,1,1,1,1,7,3,5,4,2,4,5,2,2,6,12,6,6,8,10,7,12,44,18,16,35,27,25,39,57,0,1,0,1,33,71,140,121,13,0.0873015873015873,0.18783068783068782,0.37037037037037035,0.3201058201058201,0.03439153439153439,22,48,0,125,8,11,5,87,66,6,0.0582010582010582,0.12698412698412698,0,0.3306878306878307,0.021164021164021163,0.0291005291005291,0.013227513227513227,0.23015873015873015,0.1746031746031746,0.015873015873015872
10108,431,6.068425588244111,1980,2018,38,1,4,1,1,1,4,4,1,0,1,3,3,2,5,4,4,4,5,4,1,7,1,10,14,11,22,16,15,46,36,42,40,27,44,39,4,2,1,1,27,91,179,114,20,0.06264501160092807,0.2111368909512761,0.41531322505800466,0.26450116009280744,0.04640371229698376,16,31,1,168,6,23,10,88,77,11,0.037122969837587005,0.07192575406032482,0.002320185614849188,0.38979118329466356,0.013921113689095127,0.05336426914153132,0.02320185614849188,0.20417633410672853,0.17865429234338748,0.025522041763341066
10109,224,5.41610040220442,1982,2018,34,0,1,1,0,2,3,2,3,0,1,3,2,2,7,6,1,4,3,4,3,2,3,5,6,7,8,23,9,13,14,10,8,18,17,30,2,0,1,0,29,64,54,67,10,0.12946428571428573,0.2857142857142857,0.24107142857142858,0.29910714285714285,0.044642857142857144,9,18,0,77,5,3,22,56,31,3,0.04017857142857143,0.08035714285714286,0,0.34375,0.022321428571428572,0.013392857142857142,0.09821428571428571,0.25,0.13839285714285715,0.013392857142857142
10201,278,5.631211781821365,1987,2018,31,0,0,0,0,2,11,4,1,4,0,6,4,7,2,3,8,5,5,2,6,7,3,5,5,4,5,4,4,13,12,28,17,31,29,38,3,0,0,0,40,46,74,101,17,0.14388489208633093,0.16546762589928057,0.26618705035971224,0.36330935251798563,0.06115107913669065,17,4,4,85,0,10,0,92,63,3,0.06115107913669065,0.014388489208633094,0.014388489208633094,0.3057553956834532,0,0.03597122302158273,0,0.33093525179856115,0.22661870503597123,0.01079136690647482
10202,424,6.052089168924417,1980,2018,37,1,1,0,3,1,13,2,4,4,3,5,4,9,3,2,10,2,5,4,12,5,2,6,9,8,14,17,15,10,14,38,37,49,39,63,8,0,1,1,46,82,114,159,23,0.10849056603773585,0.19339622641509435,0.2688679245283019,0.375,0.054245283018867926,41,15,0,214,1,40,6,67,40,0,0.09669811320754718,0.03537735849056604,0,0.5047169811320755,0.0023584905660377358,0.09433962264150944,0.014150943396226415,0.1580188679245283,0.09433962264150944,0
10203,372,5.921578419643816,1980,2018,36,1,1,0,1,3,5,3,1,7,8,17,13,8,3,1,3,11,7,23,9,14,4,8,10,11,18,10,9,13,18,23,31,27,25,20,4,2,0,0,72,114,94,76,16,0.1935483870967742,0.3064516129032258,0.25268817204301075,0.20430107526881722,0.043010752688172046,34,39,2,141,1,21,33,54,39,8,0.0913978494623656,0.10483870967741936,0.005376344086021506,0.3790322580645161,0.002688172043010753,0.056451612903225805,0.08870967741935484,0.14516129032258066,0.10483870967741936,0.021505376344086023
10204,192,5.262690188904886,1982,2018,31,0,0,1,0,0,3,0,1,0,0,2,3,8,2,1,7,1,6,2,3,3,4,5,5,4,3,9,6,5,8,19,9,16,20,27,7,0,1,1,25,44,47,70,6,0.13020833333333334,0.22916666666666666,0.24479166666666666,0.3645833333333333,0.03125,20,17,1,86,0,16,3,27,22,0,0.10416666666666667,0.08854166666666667,0.005208333333333333,0.4479166666666667,0,0.08333333333333333,0.015625,0.140625,0.11458333333333333,0
10205,213,5.365976015021851,1982,2018,31,0,1,3,0,0,2,0,2,1,6,7,2,7,3,0,0,1,3,2,1,3,0,5,6,3,9,3,5,8,3,16,25,21,23,35,2,0,3,2,29,35,57,81,11,0.13615023474178403,0.1643192488262911,0.2676056338028169,0.38028169014084506,0.051643192488262914,18,20,1,122,0,16,3,29,4,0,0.08450704225352113,0.09389671361502347,0.004694835680751174,0.5727699530516432,0,0.07511737089201878,0.014084507042253521,0.13615023474178403,0.018779342723004695,0
10206,1866,7.532088143541722,1980,2018,39,1,13,1,7,6,16,8,3,5,6,26,8,20,6,11,22,15,15,18,14,49,24,55,44,43,108,47,63,85,86,149,122,207,200,307,42,3,3,8,122,417,505,756,66,0.06538049303322616,0.22347266881028938,0.27063236870310825,0.40514469453376206,0.03536977491961415,63,202,5,952,3,328,58,134,115,6,0.03376205787781351,0.1082529474812433,0.0026795284030010718,0.5101822079314041,0.001607717041800643,0.1757770632368703,0.031082529474812434,0.07181136120042872,0.06162915326902465,0.003215434083601286
10207,575,6.3561076606958915,1982,2018,34,0,1,0,0,1,10,1,1,1,5,17,11,15,3,5,14,5,4,3,6,13,9,12,17,12,22,18,30,20,23,45,24,53,66,95,12,0,1,0,77,116,142,226,14,0.13391304347826086,0.20173913043478262,0.24695652173913044,0.39304347826086955,0.02434782608695652,49,89,2,294,2,29,9,68,29,4,0.08521739130434783,0.15478260869565216,0.0034782608695652175,0.5113043478260869,0.0034782608695652175,0.050434782608695654,0.01565217391304348,0.11826086956521739,0.050434782608695654,0.006956521739130435
10208,989,6.897704943128636,1980,2018,39,3,4,1,7,1,9,5,4,4,3,19,5,27,9,15,12,7,24,16,6,26,15,16,17,20,45,29,23,55,55,72,82,83,95,156,8,2,5,4,105,214,287,342,41,0.10616784630940344,0.21638018200202225,0.2901921132457027,0.34580384226491406,0.041456016177957536,68,96,4,512,4,94,25,91,88,7,0.06875631951466127,0.09706774519716886,0.004044489383215369,0.5176946410515673,0.004044489383215369,0.09504550050556117,0.025278058645096056,0.09201213346814964,0.08897876643073811,0.007077856420626896
10209,415,6.030685260261263,1982,2018,34,0,2,0,0,2,4,3,1,1,4,8,5,11,2,5,7,2,1,1,1,12,4,8,13,6,16,14,7,13,11,30,30,48,49,90,3,0,1,0,46,76,91,190,12,0.1108433734939759,0.18313253012048192,0.21927710843373494,0.4578313253012048,0.02891566265060241,35,34,1,195,3,31,7,79,27,3,0.08433734939759036,0.0819277108433735,0.0024096385542168677,0.46987951807228917,0.007228915662650603,0.0746987951807229,0.016867469879518072,0.19036144578313252,0.06506024096385542,0.007228915662650603
10210,495,6.206575926724928,1981,2018,35,0,0,0,0,1,6,6,1,5,4,4,3,11,4,7,5,8,3,6,3,11,4,6,9,11,33,19,11,23,23,30,39,56,51,81,6,3,1,1,52,105,126,194,18,0.10505050505050505,0.21212121212121213,0.2545454545454545,0.39191919191919194,0.03636363636363636,45,74,2,237,2,39,17,48,26,5,0.09090909090909091,0.1494949494949495,0.00404040404040404,0.47878787878787876,0.00404040404040404,0.07878787878787878,0.03434343434343434,0.09696969696969697,0.052525252525252523,0.010101010101010102
10301,687,6.5337888379333435,1983,2018,34,0,4,0,1,0,7,2,2,1,3,22,2,6,4,2,13,8,4,22,15,42,8,20,17,14,52,17,28,51,26,64,46,56,46,75,6,0,0,1,63,211,215,183,15,0.09170305676855896,0.3071324599708879,0.3129548762736536,0.2663755458515284,0.021834061135371178,1,19,0,128,5,493,11,12,17,1,0.001455604075691412,0.027656477438136828,0,0.18631732168850074,0.00727802037845706,0.7176128093158661,0.01601164483260553,0.017467248908296942,0.024745269286754003,0.001455604075691412
10302,363,5.8971538676367405,1981,2018,33,0,3,1,0,1,4,3,1,0,0,10,5,6,3,7,2,8,2,11,3,4,3,7,5,7,6,3,12,25,22,52,26,35,35,43,7,1,0,0,42,51,137,120,13,0.11570247933884298,0.14049586776859505,0.3774104683195592,0.3305785123966942,0.03581267217630854,5,37,0,181,2,68,6,21,42,1,0.013774104683195593,0.10192837465564739,0,0.4986225895316804,0.005509641873278237,0.18732782369146006,0.01652892561983471,0.05785123966942149,0.11570247933884298,0.0027548209366391185
10303,243,5.497168225293202,1980,2017,29,1,2,0,0,0,3,0,0,1,1,3,10,4,1,0,4,2,2,4,6,9,4,3,1,4,13,2,8,12,13,27,26,14,26,37,0,0,0,0,26,48,86,77,6,0.10699588477366255,0.19753086419753085,0.35390946502057613,0.3168724279835391,0.024691358024691357,8,23,0,106,1,51,5,28,21,0,0.03292181069958848,0.09465020576131687,0,0.43621399176954734,0.00411522633744856,0.20987654320987653,0.0205761316872428,0.11522633744855967,0.08641975308641975,0
10304,250,5.5254529391317835,1983,2018,29,0,3,2,0,0,3,2,0,0,3,6,0,1,1,2,4,0,0,3,1,8,2,3,10,3,20,4,6,14,10,29,21,15,21,41,11,0,0,1,17,54,80,88,11,0.068,0.216,0.32,0.352,0.044,5,13,0,86,2,57,4,48,27,8,0.02,0.052,0,0.344,0.008,0.228,0.016,0.192,0.108,0.032
10305,418,6.037870919922137,1981,2018,36,0,0,0,2,2,6,5,3,1,2,4,2,8,3,5,15,5,4,5,1,12,2,4,7,9,16,8,11,20,16,51,29,44,48,58,3,2,3,2,48,68,127,153,22,0.11483253588516747,0.16267942583732056,0.3038277511961722,0.3660287081339713,0.05263157894736842,19,13,0,193,3,72,9,53,53,3,0.045454545454545456,0.03110047846889952,0,0.46172248803827753,0.007177033492822967,0.1722488038277512,0.0215311004784689,0.12679425837320574,0.12679425837320574,0.007177033492822967
10306,340,5.831882477283517,1983,2018,34,0,3,1,1,2,7,4,0,4,6,15,3,2,5,9,4,1,5,8,5,17,7,16,10,14,8,4,7,7,13,31,22,20,33,45,1,0,0,0,49,94,80,99,18,0.14411764705882352,0.27647058823529413,0.23529411764705882,0.2911764705882353,0.052941176470588235,22,36,0,140,3,45,20,42,31,1,0.06470588235294118,0.10588235294117647,0,0.4117647058823529,0.008823529411764706,0.1323529411764706,0.058823529411764705,0.12352941176470589,0.09117647058823529,0.0029411764705882353
10307,885,6.786716950605081,1980,2018,37,3,6,0,0,1,7,3,1,3,4,16,7,8,7,4,6,5,4,7,8,32,9,14,11,10,48,12,20,60,52,90,65,92,102,143,16,3,3,3,61,155,287,353,29,0.06892655367231638,0.1751412429378531,0.32429378531073444,0.39887005649717516,0.0327683615819209,16,82,3,310,4,346,11,65,48,0,0.01807909604519774,0.09265536723163842,0.003389830508474576,0.3502824858757062,0.004519774011299435,0.39096045197740115,0.012429378531073447,0.07344632768361582,0.05423728813559322,0
10308,180,5.198497031265826,1980,2018,32,1,1,0,1,1,2,0,3,0,0,11,1,4,6,0,1,1,1,1,1,6,6,4,1,3,12,10,10,5,10,15,9,13,19,17,3,0,1,0,27,45,49,52,7,0.15,0.25,0.2722222222222222,0.28888888888888886,0.03888888888888889,3,5,1,49,1,59,4,41,17,0,0.016666666666666666,0.027777777777777776,0.005555555555555556,0.2722222222222222,0.005555555555555556,0.3277777777777778,0.022222222222222223,0.22777777777777777,0.09444444444444444,0
10401,253,5.537334267018537,1982,2018,35,0,1,1,1,0,3,4,3,2,1,2,5,8,3,8,3,2,4,2,2,6,1,4,4,4,9,5,9,7,11,28,14,16,23,49,6,0,2,0,37,41,69,94,12,0.14624505928853754,0.16205533596837945,0.2727272727272727,0.3715415019762846,0.04743083003952569,22,18,0,136,4,16,3,46,8,0,0.08695652173913043,0.07114624505928854,0,0.5375494071146245,0.015810276679841896,0.06324110671936758,0.011857707509881422,0.18181818181818182,0.03162055335968379,0
10402,1373,7.2254814727822945,1980,2018,39,4,8,2,1,4,11,7,8,5,8,35,9,20,12,17,20,13,10,14,8,40,13,22,25,24,67,37,39,59,92,109,87,118,154,231,29,5,4,2,147,260,386,532,48,0.10706482155863073,0.18936635105608157,0.2811361981063365,0.3874726875455208,0.03495994173343044,38,95,7,711,9,188,96,110,114,5,0.027676620538965767,0.06919155134741442,0.005098324836125273,0.5178441369264385,0.0065549890750182084,0.1369264384559359,0.06991988346686089,0.08011653313911143,0.08302986161689731,0.003641660597232338
10403,523,6.261491684321042,1980,2018,37,1,1,2,2,2,7,4,3,9,1,11,2,9,1,2,2,2,6,6,3,5,3,9,8,16,29,17,11,26,30,33,31,66,52,96,13,0,0,2,42,102,131,227,21,0.08030592734225621,0.1950286806883365,0.25047801147227533,0.4340344168260038,0.040152963671128104,26,80,0,227,1,75,18,56,33,7,0.0497131931166348,0.15296367112810708,0,0.4340344168260038,0.0019120458891013384,0.14340344168260039,0.03441682600382409,0.10707456978967496,0.06309751434034416,0.01338432122370937
10404,446,6.102558594613569,1980,2018,35,1,3,0,1,0,5,2,1,4,3,8,3,3,1,1,6,0,13,2,3,13,3,15,22,14,10,11,13,11,13,32,17,58,35,99,15,2,0,3,30,106,86,207,17,0.06726457399103139,0.23766816143497757,0.19282511210762332,0.4641255605381166,0.03811659192825112,14,27,1,208,4,62,9,64,50,7,0.03139013452914798,0.06053811659192825,0.002242152466367713,0.4663677130044843,0.008968609865470852,0.13901345291479822,0.020179372197309416,0.14349775784753363,0.11210762331838565,0.01569506726457399
10405,318,5.765191102784844,1983,2018,31,0,1,1,0,0,2,0,0,0,1,2,2,4,3,5,1,2,4,2,2,10,2,2,22,11,13,4,5,13,13,25,24,24,50,48,17,0,0,3,20,72,80,139,7,0.06289308176100629,0.22641509433962265,0.25157232704402516,0.4371069182389937,0.0220125786163522,4,31,0,163,4,15,14,45,31,11,0.012578616352201259,0.09748427672955975,0,0.5125786163522013,0.012578616352201259,0.04716981132075472,0.0440251572327044,0.14150943396226415,0.09748427672955975,0.03459119496855346
10406,256,5.54907608489522,1982,2018,32,0,1,0,2,0,5,6,1,3,0,10,2,5,1,1,2,1,4,1,0,5,9,4,1,3,12,1,6,10,8,14,46,29,22,30,9,0,2,0,26,40,84,90,16,0.1015625,0.15625,0.328125,0.3515625,0.0625,5,11,0,142,5,31,3,58,1,0,0.01953125,0.04296875,0,0.5546875,0.01953125,0.12109375,0.01171875,0.2265625,0.00390625,0
10407,416,6.0330862217988015,1980,2018,34,2,5,0,2,2,9,5,3,0,0,3,0,6,7,4,4,4,7,3,4,16,1,1,7,10,11,10,26,17,23,19,28,44,46,73,11,2,0,1,31,70,113,174,28,0.07451923076923077,0.16826923076923078,0.27163461538461536,0.4182692307692308,0.0673076923076923,31,36,0,212,3,29,11,72,21,1,0.07451923076923077,0.08653846153846154,0,0.5096153846153846,0.007211538461538462,0.06971153846153846,0.026442307692307692,0.17307692307692307,0.05048076923076923,0.002403846153846154
10408,502,6.220590170099739,1980,2018,35,1,0,0,1,1,6,2,8,2,1,8,4,11,5,3,5,6,4,3,0,18,3,8,5,18,25,18,15,21,23,52,35,36,52,95,5,1,0,1,53,102,146,188,13,0.10557768924302789,0.20318725099601595,0.2908366533864542,0.3745019920318725,0.025896414342629483,20,37,0,273,3,54,19,63,32,1,0.0398406374501992,0.07370517928286853,0,0.5438247011952191,0.00597609561752988,0.10756972111553785,0.037848605577689244,0.1254980079681275,0.06374501992031872,0.00199203187250996
10501,201,5.308267697401205,1981,2018,34,0,2,0,3,1,4,1,2,1,2,5,4,11,4,1,4,2,4,2,0,4,1,7,3,4,11,6,8,10,3,12,7,22,26,21,2,1,0,0,36,42,40,71,12,0.1791044776119403,0.208955223880597,0.19900497512437812,0.35323383084577115,0.05970149253731343,29,25,0,62,5,16,6,42,8,8,0.14427860696517414,0.12437810945273632,0,0.30845771144278605,0.024875621890547265,0.07960199004975124,0.029850746268656716,0.208955223880597,0.03980099502487562,0.03980099502487562
10502,283,5.648974238161206,1980,2018,34,1,0,0,1,3,0,1,2,1,2,6,5,8,4,2,2,2,2,5,1,6,3,2,5,10,17,10,9,19,17,11,22,28,27,45,3,1,0,0,34,61,78,103,7,0.12014134275618374,0.21554770318021202,0.2756183745583039,0.36395759717314485,0.024734982332155476,24,29,0,149,5,22,6,38,8,2,0.08480565371024736,0.10247349823321555,0,0.5265017667844523,0.0176678445229682,0.07773851590106007,0.02120141342756184,0.13427561837455831,0.028268551236749116,0.007067137809187279
10503,212,5.3612921657094255,1980,2018,33,1,1,0,1,0,2,1,1,6,0,5,1,4,2,3,3,1,3,2,1,6,0,1,4,0,20,6,9,20,14,12,13,23,17,25,2,1,0,1,26,43,68,67,8,0.12264150943396226,0.2028301886792453,0.32075471698113206,0.3160377358490566,0.03773584905660377,31,22,1,94,3,17,3,25,15,1,0.14622641509433962,0.10377358490566038,0.0047169811320754715,0.44339622641509435,0.014150943396226415,0.08018867924528301,0.014150943396226415,0.1179245283018868,0.07075471698113207,0.0047169811320754715
10504,587,6.376726947898627,1981,2018,36,0,2,3,2,1,5,10,5,1,0,8,6,9,11,5,6,7,2,3,1,9,6,4,14,11,17,9,15,21,37,73,53,64,67,94,4,1,0,1,58,76,199,229,25,0.09880749574105621,0.12947189097103917,0.3390119250425894,0.3901192504258944,0.04258943781942078,55,42,0,249,7,114,10,86,24,0,0.09369676320272573,0.07155025553662692,0,0.424190800681431,0.01192504258943782,0.19420783645655879,0.017035775127768313,0.1465076660988075,0.04088586030664395,0
10505,1299,7.170119543449628,1980,2018,39,3,8,1,1,5,12,7,7,13,3,11,13,25,18,8,21,12,17,15,6,33,12,22,18,33,51,35,33,74,87,102,88,114,165,203,18,2,1,2,131,242,384,500,42,0.100846805234796,0.18629715165511931,0.2956120092378753,0.3849114703618168,0.03233256351039261,92,162,5,599,9,201,41,107,77,6,0.07082371054657428,0.12471131639722864,0.003849114703618168,0.4611239414934565,0.006928406466512702,0.15473441108545036,0.03156274056966898,0.08237105465742879,0.059276366435719784,0.004618937644341801
10506,204,5.3230099791384085,1984,2017,32,0,0,1,1,1,2,3,6,2,1,4,2,3,4,2,6,3,2,2,2,3,0,3,2,8,3,7,7,14,7,21,12,22,24,24,0,0,0,0,33,32,61,70,8,0.16176470588235295,0.1568627450980392,0.29901960784313725,0.3431372549019608,0.0392156862745098,37,40,1,74,2,6,1,25,13,5,0.18137254901960784,0.19607843137254902,0.004901960784313725,0.3627450980392157,0.00980392156862745,0.029411764705882353,0.004901960784313725,0.12254901960784313,0.06372549019607843,0.024509803921568627
10507,445,6.100318952020064,1982,2018,35,0,2,0,2,2,5,1,2,3,2,5,5,10,3,7,8,7,4,3,3,12,6,9,14,13,23,18,10,25,14,39,32,58,59,35,2,0,2,0,52,105,120,154,14,0.11685393258426967,0.23595505617977527,0.2696629213483146,0.34606741573033706,0.03146067415730337,93,39,0,188,4,25,6,67,21,2,0.20898876404494382,0.08764044943820225,0,0.42247191011235957,0.008988764044943821,0.056179775280898875,0.01348314606741573,0.15056179775280898,0.04719101123595506,0.0044943820224719105
10508,424,6.052089168924417,1981,2018,36,0,1,1,1,1,9,2,2,4,4,7,6,12,5,3,4,5,5,1,0,8,4,9,8,13,19,23,14,18,16,36,26,36,44,62,11,2,0,2,52,90,110,153,19,0.12264150943396226,0.21226415094339623,0.25943396226415094,0.3608490566037736,0.04481132075471698,61,72,0,136,7,47,11,56,25,9,0.14386792452830188,0.16981132075471697,0,0.32075471698113206,0.01650943396226415,0.11084905660377359,0.025943396226415096,0.1320754716981132,0.0589622641509434,0.02122641509433962
10509,238,5.476463551931511,1981,2018,31,0,1,0,0,0,6,4,2,3,0,3,1,12,8,1,4,4,2,2,2,6,0,6,1,3,6,3,5,11,13,22,18,13,38,34,3,1,0,0,38,31,69,88,12,0.15966386554621848,0.13025210084033614,0.28991596638655465,0.3697478991596639,0.05042016806722689,33,24,0,90,4,29,3,41,14,0,0.13865546218487396,0.10084033613445378,0,0.37815126050420167,0.01680672268907563,0.12184873949579832,0.012605042016806723,0.1722689075630252,0.058823529411764705,0
10510,209,5.3471075307174685,1981,2017,36,0,1,4,4,1,2,2,0,4,5,4,4,4,7,3,4,5,2,3,5,3,9,8,7,8,5,3,5,7,17,10,18,14,16,12,0,1,1,1,40,53,57,42,17,0.19138755980861244,0.2535885167464115,0.2727272727272727,0.20095693779904306,0.08133971291866028,35,28,0,89,6,3,0,37,10,1,0.1674641148325359,0.1339712918660287,0,0.4258373205741627,0.028708133971291867,0.014354066985645933,0,0.17703349282296652,0.04784688995215311,0.004784688995215311
10601,556,6.322565239927284,1980,2018,36,3,0,0,2,2,4,2,4,3,4,6,5,5,7,7,3,3,4,4,6,26,16,11,10,12,34,16,13,35,27,45,50,64,55,61,4,1,2,0,47,139,170,184,16,0.08453237410071943,0.25,0.3057553956834532,0.33093525179856115,0.02877697841726619,30,62,1,293,2,83,8,59,18,0,0.0539568345323741,0.11151079136690648,0.0017985611510791368,0.5269784172661871,0.0035971223021582736,0.14928057553956833,0.014388489208633094,0.10611510791366907,0.03237410071942446,0
10602,186,5.231108616854587,1982,2018,28,0,1,0,0,0,4,3,0,2,0,1,0,3,1,5,3,2,0,0,2,0,1,4,3,1,9,4,12,19,5,21,14,22,25,14,2,0,1,2,17,24,71,63,11,0.0913978494623656,0.12903225806451613,0.3817204301075269,0.3387096774193548,0.05913978494623656,0,10,0,130,0,9,3,33,1,0,0,0.053763440860215055,0,0.6989247311827957,0,0.04838709677419355,0.016129032258064516,0.1774193548387097,0.005376344086021506,0
10603,405,6.0063531596017325,1980,2017,34,1,1,1,0,1,0,3,2,6,4,4,4,9,6,1,4,3,1,2,6,17,1,13,16,10,17,9,3,17,21,49,25,41,50,54,0,0,0,3,43,92,115,145,10,0.10617283950617284,0.2271604938271605,0.2839506172839506,0.35802469135802467,0.024691358024691357,27,50,0,135,1,28,20,106,37,1,0.06666666666666667,0.12345679012345678,0,0.3333333333333333,0.0024691358024691358,0.0691358024691358,0.04938271604938271,0.2617283950617284,0.09135802469135802,0.0024691358024691358
10604,1125,7.026426808699636,1980,2018,39,1,2,4,3,4,10,7,11,14,9,21,10,10,6,5,10,14,9,6,8,49,2,20,13,35,55,30,30,57,58,112,96,105,93,164,36,1,1,4,110,227,353,398,37,0.09777777777777778,0.20177777777777778,0.31377777777777777,0.3537777777777778,0.03288888888888889,77,126,1,485,3,196,64,88,81,4,0.06844444444444445,0.112,8.888888888888889e-4,0.4311111111111111,0.0026666666666666666,0.17422222222222222,0.05688888888888889,0.07822222222222222,0.072,0.0035555555555555557
10605,279,5.634789603169249,1980,2018,34,1,0,0,0,1,1,4,1,1,7,5,5,6,6,7,5,4,3,3,0,3,7,5,6,5,7,6,10,16,12,15,30,19,26,45,5,1,0,1,47,45,83,95,9,0.16845878136200718,0.16129032258064516,0.2974910394265233,0.34050179211469533,0.03225806451612903,45,32,0,111,2,29,9,40,11,0,0.16129032258064516,0.11469534050179211,0,0.3978494623655914,0.007168458781362007,0.1039426523297491,0.03225806451612903,0.14336917562724014,0.03942652329749104,0
10606,403,6.0014148779611505,1980,2018,37,1,0,1,1,1,2,1,1,3,1,2,4,9,2,8,6,2,2,3,1,8,3,6,18,10,19,11,21,16,22,26,26,47,39,70,5,0,3,2,38,81,111,161,12,0.09429280397022333,0.20099255583126552,0.27543424317617865,0.39950372208436724,0.02977667493796526,78,34,0,135,5,38,28,65,20,0,0.1935483870967742,0.08436724565756824,0,0.3349875930521092,0.01240694789081886,0.09429280397022333,0.06947890818858561,0.16129032258064516,0.04962779156327544,0
10607,283,5.648974238161206,1980,2018,36,1,0,1,3,0,6,2,1,1,2,1,9,8,3,8,5,4,4,7,4,6,5,4,3,2,12,8,8,10,15,16,25,39,27,27,3,0,1,2,42,55,74,96,16,0.14840989399293286,0.19434628975265017,0.26148409893992935,0.3392226148409894,0.05653710247349823,29,27,0,124,5,25,11,39,23,0,0.10247349823321555,0.09540636042402827,0,0.4381625441696113,0.0176678445229682,0.08833922261484099,0.038869257950530034,0.13780918727915195,0.0812720848056537,0
