lgcode,new_firms_total,log_new_firms_total,first_founded_year_observed,last_founded_year_observed,n_entry_years_observed,new_firms_1980,new_firms_1983,new_firms_1984,new_firms_1986,new_firms_1987,new_firms_1988,new_firms_1989,new_firms_1990,new_firms_1991,new_firms_1992,new_firms_1993,new_firms_1994,new_firms_1995,new_firms_1996,new_firms_1997,new_firms_1998,new_firms_1999,new_firms_2000,new_firms_2001,new_firms_2002,new_firms_2003,new_firms_2004,new_firms_2005,new_firms_2006,new_firms_2007,new_firms_2008,new_firms_2009,new_firms_2010,new_firms_2011,new_firms_2012,new_firms_2013,new_firms_2014,new_firms_2015,new_firms_2016,new_firms_2017,new_firms_2018,new_firms_1981,new_firms_1982,new_firms_1985,new_firms_1990_1999,new_firms_2000_2009,new_firms_2010_2014,new_firms_2015_2018,new_firms_pre_1990,share_new_1990_1999,share_new_2000_2009,share_new_2010_2014,share_new_2015_2018,share_new_pre_1990,new_agriculture,new_manufacturing,new_construction,new_trade_retail,new_transport,new_hospitality,new_finance_prof_info,new_social_services,new_other_services,new_utilities_mining,share_new_agriculture,share_new_manufacturing,share_new_construction,share_new_trade_retail,share_new_transport,share_new_hospitality,share_new_finance_prof_info,share_new_social_services,share_new_other_services,share_new_utilities_mining
60905,1204,7.094234845924755,1980,2018,38,2,7,1,2,0,6,8,3,7,6,7,4,9,9,13,12,7,6,13,7,17,3,23,17,25,47,38,30,59,50,78,81,154,290,151,5,2,4,1,77,196,298,600,33,0.06395348837209303,0.16279069767441862,0.24750830564784054,0.4983388704318937,0.027408637873754152,62,149,3,601,5,160,27,136,56,5,0.05149501661129568,0.12375415282392027,0.0024916943521594683,0.49916943521594687,0.004152823920265781,0.132890365448505,0.022425249169435217,0.11295681063122924,0.046511627906976744,0.004152823920265781
60906,419,6.040254711277414,1981,2018,33,0,0,0,3,3,3,5,0,0,2,2,0,2,3,7,6,1,3,7,4,7,2,2,6,12,12,8,12,20,17,44,38,58,40,79,7,2,1,1,23,63,131,184,18,0.05489260143198091,0.15035799522673032,0.3126491646778043,0.43914081145584727,0.04295942720763723,20,53,0,243,2,35,6,48,11,1,0.0477326968973747,0.12649164677804295,0,0.5799522673031027,0.00477326968973747,0.08353221957040573,0.014319809069212411,0.11455847255369929,0.026252983293556086,0.002386634844868735
60907,1309,7.177782416195197,1980,2018,39,1,6,1,2,5,9,10,3,9,7,14,4,15,11,9,19,9,11,16,6,30,15,25,23,41,62,41,38,66,51,113,102,125,216,177,8,2,2,5,100,270,370,526,43,0.07639419404125286,0.20626432391138275,0.2826585179526356,0.40183346065699005,0.03284950343773873,70,158,0,640,11,169,73,108,74,6,0.053475935828877004,0.12070282658517953,0,0.48892284186401835,0.008403361344537815,0.12910618792971734,0.05576776165011459,0.0825057295645531,0.05653170359052712,0.004583651642475172
60908,391,5.971261839790462,1980,2017,33,2,0,1,1,7,3,3,0,0,6,3,1,4,2,4,4,3,4,3,3,5,2,10,6,7,16,9,8,23,17,54,22,54,78,24,0,0,2,0,27,65,124,156,19,0.06905370843989769,0.16624040920716113,0.3171355498721228,0.3989769820971867,0.04859335038363171,10,58,1,208,4,34,8,51,17,0,0.02557544757033248,0.1483375959079284,0.0025575447570332483,0.5319693094629157,0.010230179028132993,0.08695652173913043,0.020460358056265986,0.13043478260869565,0.043478260869565216,0
60909,460,6.133398042996649,1980,2018,35,3,3,1,1,2,3,5,0,0,1,3,2,11,2,2,1,5,3,3,2,9,5,4,3,9,30,15,17,34,22,25,31,45,53,103,1,1,0,0,27,83,129,202,19,0.058695652173913045,0.18043478260869567,0.28043478260869564,0.4391304347826087,0.041304347826086954,7,63,1,261,2,54,10,42,18,2,0.015217391304347827,0.13695652173913042,0.002173913043478261,0.5673913043478261,0.004347826086956522,0.11739130434782609,0.021739130434782608,0.09130434782608696,0.0391304347826087,0.004347826086956522
60910,329,5.799092654460526,1981,2018,35,0,2,0,1,2,1,2,1,3,3,4,1,5,1,2,5,3,2,9,4,6,0,9,7,10,12,8,7,14,14,23,17,21,56,69,3,1,0,1,28,67,75,149,10,0.0851063829787234,0.20364741641337386,0.22796352583586627,0.45288753799392095,0.030395136778115502,4,25,0,205,1,40,7,39,8,0,0.0121580547112462,0.07598784194528875,0,0.6231003039513677,0.00303951367781155,0.12158054711246201,0.02127659574468085,0.11854103343465046,0.0243161094224924,0
61001,525,6.26530121273771,1981,2018,34,0,1,1,0,0,9,5,0,5,2,6,6,5,2,4,7,3,6,2,4,22,6,14,11,16,28,12,14,18,22,42,32,70,62,78,8,1,0,1,40,121,128,218,18,0.0761904761904762,0.23047619047619047,0.2438095238095238,0.41523809523809524,0.03428571428571429,4,50,2,319,4,56,2,73,15,0,0.007619047619047619,0.09523809523809523,0.0038095238095238095,0.6076190476190476,0.007619047619047619,0.10666666666666667,0.0038095238095238095,0.13904761904761906,0.02857142857142857,0
61002,378,5.937536205082426,1982,2018,34,0,2,0,1,0,4,4,0,3,3,3,6,9,1,4,2,4,5,2,5,13,1,7,9,13,14,12,12,15,24,28,34,44,41,48,2,0,1,2,35,81,113,135,14,0.09259259259259259,0.21428571428571427,0.29894179894179895,0.35714285714285715,0.037037037037037035,18,40,1,229,4,26,3,43,14,0,0.047619047619047616,0.10582010582010581,0.0026455026455026454,0.6058201058201058,0.010582010582010581,0.06878306878306878,0.007936507936507936,0.11375661375661375,0.037037037037037035,0
61003,623,6.436150368369428,1981,2018,35,0,2,0,0,1,8,9,2,2,0,4,5,5,2,2,8,8,5,6,9,7,3,7,23,20,32,16,24,17,27,50,45,59,59,143,9,2,1,1,38,128,163,270,24,0.060995184590690206,0.20545746388443017,0.26163723916532905,0.4333868378812199,0.038523274478330656,18,64,1,370,3,79,15,53,18,2,0.028892455858747994,0.10272873194221509,0.0016051364365971107,0.593900481540931,0.004815409309791332,0.12680577849117175,0.024077046548956663,0.08507223113964688,0.028892455858747994,0.0032102728731942215
61004,1270,7.147559271189454,1981,2018,37,0,3,1,2,0,15,10,1,6,3,7,9,14,4,10,7,6,5,15,10,30,18,32,24,44,52,28,30,46,60,93,85,150,185,232,27,1,1,4,67,258,314,594,37,0.05275590551181102,0.2031496062992126,0.247244094488189,0.46771653543307085,0.029133858267716535,19,137,1,755,5,193,25,89,44,2,0.014960629921259842,0.1078740157480315,7.874015748031496e-4,0.594488188976378,0.003937007874015748,0.15196850393700786,0.01968503937007874,0.07007874015748032,0.03464566929133858,0.0015748031496062992
61005,1380,7.2305631534092925,1981,2018,36,0,2,1,1,0,9,3,3,8,2,16,3,7,6,6,12,7,9,15,9,49,15,26,17,54,65,28,41,41,64,119,92,159,162,296,25,6,0,2,70,287,357,642,24,0.050724637681159424,0.20797101449275363,0.25869565217391305,0.4652173913043478,0.017391304347826087,42,127,1,905,4,161,23,72,44,1,0.030434782608695653,0.09202898550724638,7.246376811594203e-4,0.6557971014492754,0.002898550724637681,0.11666666666666667,0.016666666666666666,0.05217391304347826,0.03188405797101449,7.246376811594203e-4
