dname_raw,year,n_hh,n_hh_with_intl_migrant,n_total_migrants,n_intl_migrants,remit_amount_intl_12m_rs,remit_amount_total_12m_rs,wt_intl_migrants,wt_remit_intl
Palpa,2016,86,47,112,61,11120000,11520000,3958609.6989746094,721635079550.78125
Palpa,2017,86,47,131,62,14224000,14815000,4023504.9399414063,923069907511.71875
Palpa,2018,90,46,138,62,15252000,15907000,4210644.704589844,1035818597329.1016
Parsa,2016,105,18,39,19,2815000,3380000,1976111.183166504,292776472663.8794
Parsa,2017,105,19,43,23,3318000,4083000,2392134.590148926,345091416091.91895
Parsa,2018,105,22,49,26,3634000,4804000,2704152.145385742,377957265243.5303
Rolpa,2016,77,21,42,26,4425000,4793000,1237777.6788330078,210660239570.61768
Rolpa,2017,85,24,66,31,2505000,2705000,1629142.9489135742,131645260871.8872
Rolpa,2018,92,22,72,30,5337000,5677000,1706426.7700195313,303573322386.4746
Rukum,2016,87,27,95,32,6168000,6542000,1721265.263671875,331773879572.7539
Rukum,2017,96,25,111,26,3815000,4567000,1543203.33984375,226435413134.76563
Rukum,2018,105,24,112,26,9560000,10600000,1687878.6529541016,620619997009.2773
Rupandehi,2016,264,89,139,116,16493000,16898000,19342584.9375,2750148735984.375
Rupandehi,2017,266,84,169,111,23290000,24055000,18649071.41015625,3912944803085.9375
Rupandehi,2018,271,83,156,111,20405000,22400000,18999617.865234375,3492677500361.328
Saptari,2016,149,37,66,39,4234000,4704000,5222030.819274902,566925089456.665
Saptari,2017,149,41,86,44,6495000,7437000,5891521.949951172,869668978748.4741
Saptari,2018,150,41,85,47,8337000,9407000,6335452.981567383,1123801521432.495
Sarlahi,2016,176,30,51,33,5415000,5895000,5753009.3994140625,944016542358.3984
Sarlahi,2017,176,40,64,44,5864000,6504000,7670679.19921875,1022292336914.0625
Sarlahi,2018,183,46,89,55,8288000,9498000,9969703.788757324,1502343727294.9219
Sindhuli,2016,115,32,77,41,4105000,4176000,2298379.1836547847,230118208509.82663
Sindhuli,2017,116,32,100,40,4520000,5435000,2261819.5996093745,255585614755.8593
Sindhuli,2018,120,31,102,42,5106000,5629000,2456804.047851562,298677177817.38275
Sindhupalchok,2016,138,32,96,37,4613000,4725000,2989835.378173828,372759745932.8613
Sindhupalchok,2017,142,25,117,29,3921200,4228200,2411308.6735839844,326042192098.53516
Sindhupalchok,2018,152,28,118,34,5730000,7162002,3026139.685546875,509993541123.0469
Solukhumbu,2016,54,11,32,18,1810000,1860000,569157.85107421875,57231983913.57422
Solukhumbu,2017,56,16,48,25,2520000,2590000,819774.6826171875,82633288007.8125
Solukhumbu,2018,60,14,47,22,2295000,2355000,772930.4150390625,80630695568.84766
Sunsari,2016,147,45,57,46,7780000,8166000,6076642.987426758,1027745270482.1777
Sunsari,2017,150,50,78,51,10207000,10701500,6874640.469360352,1375871671975.708
Sunsari,2018,150,44,76,49,7416000,7724500,6605046.725463867,999653602368.1641
Surkhet,2016,128,47,103,62,4088000,4953000,4906595.234375,323518730937.5
Surkhet,2017,130,53,144,74,7305000,8139000,5947762.872314453,587140645706.1768
Surkhet,2018,142,46,146,61,6504000,7301000,5355459.667358398,571014912729.4922
Syangja,2016,86,42,87,65,18295000,18870000,4218190.662841797,1187258433487.5488
Syangja,2017,86,45,143,71,7257996,7619996,4607562.108642578,471009399356.04785
Syangja,2018,90,44,192,73,8075000,8542000,4957694.571533203,548402515960.69336
Tanahun,2016,113,48,71,53,11930000,12510000,4519274.397094727,1017263085987.5488
Tanahun,2017,114,47,132,57,8763498,9657498,4903363.672119141,753870486559.4517
Tanahun,2018,121,46,148,59,8600000,9555000,5387059.596069336,785232415698.2422
Taplejung,2016,45,6,28,10,535000,735000,263499.0051269531,14097196774.291992
Taplejung,2017,45,6,36,8,790000,790000,210799.2041015625,20816421405.029297
Taplejung,2018,46,5,37,6,495000,545000,161612.72314453125,13333049659.423828
Udayapur,2016,110,38,93,47,8345800,8595800,2814875.037841797,499837959379.1504
Udayapur,2017,111,41,118,52,6868000,6997000,3142641.9184570313,415070474922.3633
Udayapur,2018,121,37,127,47,9456000,10537000,3096362.5416259766,622961791353.5156
