hhid,year,any_shock,n_shocks,total_loss_rs,cope_private_transfer,cope_sell_assets,cope_savings,cope_borrow,cope_gov_transfer,cope_remittance,cope_other_mech,primary_savings,primary_borrow,primary_sell_assets,primary_gov_transfer,primary_private_transfer,primary_remittance,primary_none,shock_type_economic_price,shock_type_natural_disaster,shock_type_other_shock,shock_type_agricultural,shock_type_illness,shock_type_death,shock_type_economic_job
82,2016,1,1,600000,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
83,2016,1,1,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
84,2016,1,2,7000,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0
84,2017,1,1,60000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
84,2018,1,1,18000,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
85,2016,1,3,72000,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0
86,2016,1,3,26500,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0
86,2017,1,1,10000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
87,2016,1,1,6000,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
87,2018,1,1,150000,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
89,2016,1,1,50000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
89,2018,1,1,30000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
90,2016,1,2,8000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
90,2017,1,3,27025,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
91,2016,1,1,100000,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
91,2017,1,1,18900,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
91,2018,1,1,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
92,2016,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
92,2017,1,1,50000,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
93,2016,1,1,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
93,2017,1,1,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
94,2016,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
94,2018,1,1,22500,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
