hhid,year,wt_hh,psu,vdc,vmun_code,lgname,district77,district_name,s00q03a,s00q03b,s00q03c,hh_any_worker,hh_n_workers,hh_n_working_age,hh_lfp_rate,hh_female_lfp_rate,hh_child_workers,n_jobs_total,n_jobs_wage_agri,n_jobs_wage_nonagri,n_jobs_self_agri,n_jobs_self_nonagri,hh_has_wage_nonagri,hh_total_days_worked_12m,hh_total_hours_12m,hh_work_intensity_per_worker,hh_has_wage_job,wage_daily_income_12m_rs,wage_longterm_income_12m_rs,wage_contract_income_12m_rs,wage_total_income_12m_rs,wage_sector_agri,wage_sector_fish_mine,wage_sector_manufacturing,wage_sector_utilities,wage_sector_construction,wage_sector_trade,wage_sector_hotels,wage_sector_transport,wage_sector_finance,wage_sector_public,wage_sector_community,wage_sector_primary_any,wage_sector_secondary_any,wage_sector_tertiary_any,wage_sector_tradable_any,wage_sector_nontradable_any,hh_foreign_worker_any,hh_returned_foreign_any
1958,2016,634.085205078125,5,Khailad,70811,Bhajani Municipality,Kailali,Kailali,Municipality,Bhajine,4,1,1,1,1,1,0,1,0,0,1,0,0,115,920,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
1958,2017,634.085205078125,5,Khailad,70811,Bhajani Municipality,Kailali,Kailali,Municipality,Bhajine,4,1,1,1,1,1,0,1,0,0,1,0,0,42,126,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1958,2018,634.085205078125,5,Khailad,70811,Bhajani Municipality,Kailali,Kailali,Municipality,Bhajine,4,1,2,1,2,2,1,2,0,0,2,0,0,720,2880,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1959,2016,754.5958251953125,5,Hastichour,50405,Isma Gaunpalika,Gulmi,Gulmi,Rural municipality,Ishama,2,1,4,8,0.5,0.6666666666666666,0,4,0,1,3,0,1,456,3119,114,1,0,192000,0,192000,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,,
1959,2017,754.5958251953125,5,Hastichour,50405,Isma Gaunpalika,Gulmi,Gulmi,Rural municipality,Ishama,2,1,3,1,3,2,0,3,0,1,2,0,1,401,2160,133.66666666666666,1,0,293500,0,293500,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
1959,2018,754.5958251953125,5,Hastichour,50405,Isma Gaunpalika,Gulmi,Gulmi,Rural municipality,Ishama,2,1,2,1,2,1,0,2,0,0,1,1,0,97,447,48.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960,2016,618.27056884765625,6,Liwang,50207,Rolpa Municipality,Rolpa,Rolpa,Municipality,Rolpa Nagarpaalika,4,1,1,3,0.3333333333333333,0.5,0,2,1,0,1,0,0,62,496,62,1,10500,0,0,10500,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,
1960,2017,618.27056884765625,6,Liwang,50207,Rolpa Municipality,Rolpa,Rolpa,Municipality,Rolpa Nagarpaalika,4,1,1,3,0.3333333333333333,0.5,0,1,0,0,1,0,0,80,480,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960,2018,618.27056884765625,6,Liwang,50207,Rolpa Municipality,Rolpa,Rolpa,Municipality,Rolpa Nagarpaalika,4,1,1,3,0.3333333333333333,0.5,0,1,0,0,1,0,0,351,1755,351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1961,2016,631.615234375,5,Tamasariya,40807,Madhyabindu Nagarpalika,Nawalparasi East,Nawalparasi,Municipality,Madhybindu,8,1,2,3,0.6666666666666666,0.5,0,2,1,1,0,0,1,318,2816,159,1,25760,260000,0,285760,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,
1961,2017,631.615234375,5,Tamasariya,40807,Madhyabindu Nagarpalika,Nawalparasi East,Nawalparasi,Municipality,Madhybindu,8,1,2,4,0.5,0.5,0,2,1,1,0,0,1,399,3192,199.5,1,62500,192998,0,255498,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
1961,2018,631.615234375,5,Tamasariya,40807,Madhyabindu Nagarpalika,Nawalparasi East,Nawalparasi,Municipality,Madhybindu,8,1,2,4,0.5,0,0,2,0,2,0,0,1,606,5460,303,1,183600,240000,0,423600,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0
1962,2016,544.4632568359375,3,Valayadanda,11408,Udayapurgadhi Gaunpalika,Udayapur,Udayapur,Rural municipality,Udaypurgadi,7,1,2,2,1,1,0,4,1,1,1,0,1,305,948,152.5,1,25400,0,0,25400,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,,
1962,2017,544.4632568359375,3,Valayadanda,11408,Udayapurgadhi Gaunpalika,Udayapur,Udayapur,Rural municipality,Udaypurgadi,7,1,2,2,1,1,0,3,0,1,2,0,1,283,1980,141.5,1,105750,0,0,105750,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
1962,2018,544.4632568359375,3,Valayadanda,11408,Udayapurgadhi Gaunpalika,Udayapur,Udayapur,Rural municipality,Udaypurgadi,7,1,2,2,1,1,0,3,0,1,2,0,1,477,2496,238.5,1,11100,0,0,11100,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
1963,2016,487.4611206054687,8,BanakhuChor,30912,Mahabharat Gaunpalika,Kabhrepalanchok,Kabhrepalanchok,Rural municipality,mahabharat,7,1,2,2,1,1,0,2,0,0,2,0,0,255,1530,127.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
1963,2017,487.4611206054687,8,BanakhuChor,30912,Mahabharat Gaunpalika,Kabhrepalanchok,Kabhrepalanchok,Rural municipality,mahabharat,7,1,1,2,0.5,0,0,1,0,0,1,0,0,251,2008,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1963,2018,487.4611206054687,8,BanakhuChor,30912,Mahabharat Gaunpalika,Kabhrepalanchok,Kabhrepalanchok,Rural municipality,mahabharat,7,1,2,2,1,1,0,3,0,1,2,0,1,786,3732,393,1,76800,0,0,76800,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
1964,2016,634.085205078125,2,Sugarkhal,,,,,,,,0,0,0,,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
1965,2016,585.5533447265625,5,Tapting,10307,Solu Dhudhakunda Municipality,Solukhumbu,Solukhumbu,Municipality,Solu Dudhkund Nagarpalika,10,1,1,1,1,1,0,1,0,0,1,0,0,54,432,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
1965,2017,585.5533447265625,5,Tapting,10307,Solu Dhudhakunda Municipality,Solukhumbu,Solukhumbu,Municipality,Solu Dudhkund Nagarpalika,10,1,1,1,1,1,0,1,0,0,1,0,0,100,500,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1965,2018,585.5533447265625,5,Tapting,10307,Solu Dhudhakunda Municipality,Solukhumbu,Solukhumbu,Municipality,Solu Dudhkund Nagarpalika,10,1,1,1,1,1,0,1,0,0,1,0,0,204,1020,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1966,2016,585.5533447265625,9,Sainpasela,70208,Durgathali Gaunpalika,Bajhang,Bajhang,Rural municipality,Durgathali,6,1,3,4,0.75,0.5,0,3,0,1,2,0,1,268,1922,89.33333333333333,1,72000,0,0,72000,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,,
1966,2017,585.5533447265625,9,Sainpasela,70208,Durgathali Gaunpalika,Bajhang,Bajhang,Rural municipality,Durgathali,6,1,4,4,1,1,0,4,0,0,3,1,0,951,7172,237.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1966,2018,585.5533447265625,9,Sainpasela,70208,Durgathali Gaunpalika,Bajhang,Bajhang,Rural municipality,Durgathali,6,1,4,4,1,1,0,4,0,0,3,1,0,791,4214,197.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1967,2016,898.64581298828125,8,Amahi bariyati,11216,Dhanapalthan Gaunpalika,Morang,Morang,Rural municipality,Dhanpal,2,1,2,4,0.5,0.5,0,2,0,1,1,0,1,490,3340,245,1,0,201816,0,201816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
1967,2017,898.64581298828125,8,Amahi bariyati,11216,Dhanapalthan Gaunpalika,Morang,Morang,Rural municipality,Dhanpal,2,1,2,4,0.5,0.5,0,2,0,2,0,0,1,602,4816,301,1,0,445200,0,445200,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
1967,2018,898.64581298828125,8,Amahi bariyati,11216,Dhanapalthan Gaunpalika,Morang,Morang,Rural municipality,Dhanpal,2,1,3,5,0.6,0.3333333333333333,0,3,0,2,1,0,1,795,6176,265,1,0,576000,0,576000,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
1968,2016,544.4632568359375,2,Thoksila,11401,Belaka Municipality,Udayapur,Udayapur,Municipality,Belaka,9,1,2,4,0.5,1,0,2,0,2,0,0,1,721,3962,360.5,1,0,521000,0,521000,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,,
1968,2017,544.4632568359375,2,Thoksila,11401,Belaka Municipality,Udayapur,Udayapur,Municipality,Belaka,9,1,1,2,0.5,0,0,1,0,1,0,0,1,282,2256,282,1,0,588498,0,588498,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
1968,2018,544.4632568359375,2,Thoksila,11401,Belaka Municipality,Udayapur,Udayapur,Municipality,Belaka,9,1,1,2,0.5,0,0,1,0,1,0,0,1,293,2051,293,1,0,315196,0,315196,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
1969,2016,898.64581298828125,8,Amahi bariyati,11216,Dhanapalthan Gaunpalika,Morang,Morang,Rural municipality,Dhanpal,2,1,1,1,1,1,0,1,0,0,1,0,0,46,276,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
1969,2017,898.64581298828125,8,Amahi bariyati,11216,Dhanapalthan Gaunpalika,Morang,Morang,Rural municipality,Dhanpal,2,1,1,2,0.5,0.5,0,1,0,0,1,0,0,338,2028,338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1969,2018,898.64581298828125,8,Amahi bariyati,11216,Dhanapalthan Gaunpalika,Morang,Morang,Rural municipality,Dhanpal,2,1,2,2,1,1,0,3,0,1,2,0,1,648,5734,324,1,0,312000,0,312000,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1
1970,2016,544.4632568359375,2,NayaBazar,11008,Mai Jogmai Gaunpalika,Ilam,Ilam,Rural municipality,Maijogmai,1,1,2,4,0.5,0.5,0,2,0,0,2,0,0,356,1754,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
1970,2017,544.4632568359375,2,NayaBazar,11008,Mai Jogmai Gaunpalika,Ilam,Ilam,Rural municipality,Maijogmai,1,1,3,4,0.75,0.5,0,4,0,1,3,0,1,996,6314,332,1,0,78000,0,78000,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
1970,2018,544.4632568359375,2,NayaBazar,11008,Mai Jogmai Gaunpalika,Ilam,Ilam,Rural municipality,Maijogmai,1,1,3,4,0.75,0.5,0,3,0,0,3,0,0,1054,3162,351.3333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1971,2016,487.4611206054687,2,Nalang,30408,Siddhalek Gaunpalika,Dhading,Dhading,Municipality,Sidaleka,2,1,3,5,0.6,1,0,3,0,1,2,0,1,410,2708,136.66666666666666,1,0,258500,0,258500,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,,
1971,2017,487.4611206054687,2,Nalang,30408,Siddhalek Gaunpalika,Dhading,Dhading,Municipality,Sidaleka,2,1,3,3,1,1,0,4,0,1,2,0,1,1227,4810,409,1,0,360000,0,360000,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
1971,2018,487.4611206054687,2,Nalang,30408,Siddhalek Gaunpalika,Dhading,Dhading,Municipality,Sidaleka,2,1,3,2,1.5,2,0,3,0,1,2,0,1,508,2266,169.33333333333334,1,0,397000,0,397000,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
1972,2016,898.64581298828125,5,Portaha,20116,Hanumannagar Kankalini Municipality,Saptari,Saptari,Municipality,Hanumannagar kankalni,3,1,3,2,1.5,1,1,4,2,2,0,0,1,579,5276,193,1,143500,0,200,143700,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,,
1972,2017,898.64581298828125,5,Portaha,20116,Hanumannagar Kankalini Municipality,Saptari,Saptari,Municipality,Hanumannagar kankalni,3,1,3,3,1,1,0,3,1,2,0,0,1,773,6184,257.6666666666667,1,1438800,0,0,1438800,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0
1972,2018,898.64581298828125,5,Portaha,20116,Hanumannagar Kankalini Municipality,Saptari,Saptari,Municipality,Hanumannagar kankalni,3,1,4,3,1.3333333333333333,2,1,7,2,2,3,0,1,2035,12803,508.75,1,696000,0,0,696000,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0
1973,2016,487.4611206054687,7,Jyamdi Mandan,,,,,,,,0,0,0,,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
1973,2017,487.4611206054687,7,Jyamdi Mandan,,,,,,,,1,1,1,1,1,0,1,0,0,1,0,0,74,592,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1974,2016,547.52593994140625,5,Jalapadevi,,,,,,,,0,0,0,,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
1975,2016,754.5958251953125,8,Ghyachok,40102,Ajirkot Gaunpalika,Gorkha,Gorkha,Rural municipality,Aajirkot,1,1,1,4,0.25,0,0,1,0,0,1,0,0,77,308,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
1975,2017,754.5958251953125,8,Ghyachok,40102,Ajirkot Gaunpalika,Gorkha,Gorkha,Rural municipality,Aajirkot,1,1,2,3,0.6666666666666666,0.6666666666666666,0,2,0,0,2,0,0,99,447,49.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1975,2018,754.5958251953125,8,Ghyachok,40102,Ajirkot Gaunpalika,Gorkha,Gorkha,Rural municipality,Aajirkot,1,1,3,5,0.6,0.6666666666666666,0,3,0,1,2,0,1,722,4754,240.66666666666666,1,0,12000,0,12000,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
1976,2016,585.5533447265625,3,Sailungeswor,30108,Shailung Gaunpalika,Dolakha,Dolakha,Rural municipality,Sailung,8,1,4,3,1.3333333333333333,,1,4,0,0,4,0,0,485,4250,121.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
1976,2017,585.5533447265625,3,Sailungeswor,30108,Shailung Gaunpalika,Dolakha,Dolakha,Rural municipality,Sailung,8,1,3,3,1,,0,4,0,1,3,0,1,78,471,26,1,12800,0,0,12800,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
1976,2018,585.5533447265625,3,Sailungeswor,30108,Shailung Gaunpalika,Dolakha,Dolakha,Rural municipality,Sailung,8,1,2,3,0.6666666666666666,,0,3,0,1,2,0,1,205,1516,102.5,1,81000,0,0,81000,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
1977,2016,618.27056884765625,5,Aathbisdandagaun,60801,Aathbiskot Nagarpalika,Rukum West,Rukum,Municipality,Aathabiskot,11,1,2,2,1,1,0,2,0,2,0,0,1,574,4018,287,1,0,300000,0,300000,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,,
1977,2017,618.27056884765625,5,Aathbisdandagaun,60801,Aathbiskot Nagarpalika,Rukum West,Rukum,Municipality,Aathabiskot,11,1,2,3,0.6666666666666666,1,0,3,0,2,1,0,1,548,3288,274,1,0,265000,0,265000,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
1977,2018,618.27056884765625,5,Aathbisdandagaun,60801,Aathbiskot Nagarpalika,Rukum West,Rukum,Municipality,Aathabiskot,11,1,2,3,0.6666666666666666,1,0,3,0,1,2,0,1,402,2038,201,1,0,72000,0,72000,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
1978,2016,666.9111328125,3,Naubasta,51103,Baijanath Gaunpalika,Banke,Banke,Rural municipality,baijnath,2,1,4,4,1,1,0,4,0,1,3,0,1,502,5216,125.5,1,0,58000,0,58000,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,,
1978,2017,666.9111328125,3,Naubasta,51103,Baijanath Gaunpalika,Banke,Banke,Rural municipality,baijnath,2,1,6,6,1,1,0,6,0,2,4,0,1,878,6834,146.33333333333334,1,79800,190000,0,269800,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0
1978,2018,666.9111328125,3,Naubasta,51103,Baijanath Gaunpalika,Banke,Banke,Rural municipality,baijnath,2,1,4,6,0.6666666666666666,0.3333333333333333,0,5,0,3,2,0,1,1059,7596,264.75,1,49000,173686,0,222686,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0
1979,2016,585.5533447265625,2,Fatakshila,30203,Panchpokhari Thangpal Gaunpalika,Sindhupalchok,Sindhupalchok,Municipality,Melamchi Nagarpalika,13,1,3,5,0.6,0.5,0,4,0,1,3,0,1,420,3360,140,1,78000,0,0,78000,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,,
1979,2017,585.5533447265625,2,Fatakshila,30203,Panchpokhari Thangpal Gaunpalika,Sindhupalchok,Sindhupalchok,Municipality,Melamchi Nagarpalika,13,1,3,6,0.5,0.4,0,3,0,1,2,0,1,352,3310,117.33333333333333,1,184600,0,0,184600,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
1979,2018,585.5533447265625,2,Fatakshila,30203,Panchpokhari Thangpal Gaunpalika,Sindhupalchok,Sindhupalchok,Municipality,Melamchi Nagarpalika,13,1,3,4,0.75,0.6666666666666666,0,4,0,2,2,0,1,594,4752,198,1,140000,60000,0,200000,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0
1980,2016,631.615234375,6,Aama,50813,Lumbini Sanskritik Municipality,Rupandehi,Rupandehi,Municipality,Lumbini,12,1,1,3,0.3333333333333333,0,0,2,1,0,1,0,0,133,893,133,1,28500,0,0,28500,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,
1980,2017,631.615234375,6,Aama,50813,Lumbini Sanskritik Municipality,Rupandehi,Rupandehi,Municipality,Lumbini,12,1,2,3,0.6666666666666666,1,0,4,1,1,2,0,1,252,2016,126,1,98100,0,0,98100,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
1980,2018,631.615234375,6,Aama,50813,Lumbini Sanskritik Municipality,Rupandehi,Rupandehi,Municipality,Lumbini,12,1,2,4,0.5,1,0,2,1,0,1,0,0,330,2488,165,1,89000,0,0,89000,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1981,2016,487.4611206054687,1,Daman,31202,Thaha Municipality,Makwanpur,Makwanpur,Municipality,Thaha,3,1,2,3,0.6666666666666666,1,0,2,1,1,0,0,1,35,268,17.5,1,11100,0,0,11100,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,,
1981,2017,487.4611206054687,1,Daman,31202,Thaha Municipality,Makwanpur,Makwanpur,Municipality,Thaha,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1981,2018,487.4611206054687,1,Daman,31202,Thaha Municipality,Makwanpur,Makwanpur,Municipality,Thaha,3,1,2,2,1,,0,2,0,2,0,0,1,332,2656,166,1,332000,0,0,332000,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
1982,2016,544.4632568359375,2,NayaBazar,11008,Mai Jogmai Gaunpalika,Ilam,Ilam,Rural municipality,Maijogmai,1,1,5,4,1.25,1,0,6,0,1,5,0,1,567,2657,113.4,1,44800,0,0,44800,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,,
1982,2017,544.4632568359375,2,NayaBazar,11008,Mai Jogmai Gaunpalika,Ilam,Ilam,Rural municipality,Maijogmai,1,1,2,3,0.6666666666666666,0,0,3,0,1,2,0,1,319,2552,159.5,1,45500,0,0,45500,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
1982,2018,544.4632568359375,2,NayaBazar,11008,Mai Jogmai Gaunpalika,Ilam,Ilam,Rural municipality,Maijogmai,1,1,2,1,2,1,0,2,0,0,2,0,0,716,2864,358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1983,2016,631.615234375,8,Rakachuli,40808,Binayee Triveni Gaunpalika,Nawalparasi East,Nawalparasi,Rural municipality,Binaya  Tirbani,3,1,1,2,0.5,1,0,1,0,1,0,0,1,45,270,45,1,9000,0,0,9000,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,
1983,2017,631.615234375,8,Rakachuli,40808,Binayee Triveni Gaunpalika,Nawalparasi East,Nawalparasi,Rural municipality,Binaya  Tirbani,3,1,1,1,1,1,0,1,0,0,1,0,0,98,588,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1983,2018,631.615234375,8,Rakachuli,40808,Binayee Triveni Gaunpalika,Nawalparasi East,Nawalparasi,Rural municipality,Binaya  Tirbani,3,1,1,1,1,1,0,1,0,0,1,0,0,360,1080,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984,2016,990.53192138671875,5,Maisthan,20401,Bardibas Municipality,Mahottari,Mahottari,Municipality,Bardibash,5,1,3,3,1,1,0,3,0,0,3,0,0,240,1440,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
1984,2017,990.53192138671875,5,Maisthan,20401,Bardibas Municipality,Mahottari,Mahottari,Municipality,Bardibash,5,1,3,3,1,1,0,3,0,0,3,0,0,217,1665,72.33333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984,2018,990.53192138671875,5,Maisthan,20401,Bardibas Municipality,Mahottari,Mahottari,Municipality,Bardibash,5,1,3,3,1,1,0,3,0,0,3,0,0,735,2895,245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1985,2016,631.615234375,4,Gaidakot,40801,Gaidakot Nagarpalika,Nawalparasi East,Nawalparasi,Municipality,Gaidakot,4,1,2,5,0.4,0.25,0,2,0,1,1,0,1,407,4404,203.5,1,0,221000,0,221000,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,,
1985,2017,631.615234375,4,Gaidakot,40801,Gaidakot Nagarpalika,Nawalparasi East,Nawalparasi,Municipality,Gaidakot,4,1,2,6,0.3333333333333333,0.2,0,2,0,1,1,0,1,320,1887,160,1,0,195000,0,195000,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
1985,2018,631.615234375,4,Gaidakot,40801,Gaidakot Nagarpalika,Nawalparasi East,Nawalparasi,Municipality,Gaidakot,4,1,2,5,0.4,0.25,0,2,0,1,1,0,1,281,1648,140.5,1,0,96000,0,96000,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
1986,2016,618.27056884765625,9,Neta,61003,Lekabeshi Municipality,Surkhet,Surkhet,Municipality,Lekhbesi,6,1,2,3,0.6666666666666666,0.5,0,3,0,0,0,2,0,747,3284,373.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
1986,2017,618.27056884765625,9,Neta,61003,Lekabeshi Municipality,Surkhet,Surkhet,Municipality,Lekhbesi,6,1,2,3,0.6666666666666666,0.5,0,2,0,0,1,1,0,468,4236,234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986,2018,618.27056884765625,9,Neta,61003,Lekabeshi Municipality,Surkhet,Surkhet,Municipality,Lekhbesi,6,1,2,3,0.6666666666666666,0.5,0,2,0,0,2,0,0,486,3045,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987,2016,618.27056884765625,5,Aathbisdandagaun,60801,Aathbiskot Nagarpalika,Rukum West,Rukum,Municipality,Aathabiskot,11,1,2,2,1,1,0,2,0,0,2,0,0,101,303,50.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
1987,2017,618.27056884765625,5,Aathbisdandagaun,60801,Aathbiskot Nagarpalika,Rukum West,Rukum,Municipality,Aathabiskot,11,1,2,3,0.6666666666666666,1,0,3,1,0,2,0,0,486,3120,243,1,66500,0,0,66500,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1987,2018,618.27056884765625,5,Aathbisdandagaun,60801,Aathbiskot Nagarpalika,Rukum West,Rukum,Municipality,Aathabiskot,11,1,3,3,1,1,0,3,0,0,3,0,0,330,1596,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988,2016,754.5958251953125,8,Taksar,40901,Putalibazar Municipality,Syangja,Syangja,Municipality,Putalibazar,6,1,2,3,0.6666666666666666,0,0,2,0,1,1,0,1,279,2232,139.5,1,88500,0,0,88500,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,,
1988,2017,754.5958251953125,8,Taksar,40901,Putalibazar Municipality,Syangja,Syangja,Municipality,Putalibazar,6,1,4,4,1,1,0,4,0,2,2,0,1,621,3583,155.25,1,94600,0,0,94600,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
1988,2018,754.5958251953125,8,Taksar,40901,Putalibazar Municipality,Syangja,Syangja,Municipality,Putalibazar,6,1,4,3,1.3333333333333333,1,0,6,1,2,3,0,1,746,4571,186.5,1,94800,96000,0,190800,1,0,0,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0
1989,2016,547.52593994140625,2,Bisalpur,70408,Melauli Municipality,Baitadi,Baitadi,Municipality,Melauli,9,1,3,4,0.75,0.5,0,3,0,1,2,0,1,238,1740,79.33333333333333,1,0,144000,0,144000,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,,
1989,2017,547.52593994140625,2,Bisalpur,70408,Melauli Municipality,Baitadi,Baitadi,Municipality,Melauli,9,1,3,4,0.75,0.5,0,3,0,2,1,0,1,470,3688,156.66666666666666,1,135040,120000,0,255040,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,1,0
1989,2018,547.52593994140625,2,Bisalpur,70408,Melauli Municipality,Baitadi,Baitadi,Municipality,Melauli,9,1,3,4,0.75,0.5,0,4,0,2,2,0,1,623,3110,207.66666666666666,1,113300,0,0,113300,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
