dname,year,native_pop,inmig_count,outmig_count,net_internal_mig_count,mig_in_internal_share,mig_out_internal_share,net_internal_mig_share,mig_out_economic_share,mig_out_noneconomic_share,mig_in_economic_share,mig_in_noneconomic_share,mig_in_temp_share,mig_out_temp_share,net_temp_mig_share,mig_out_temp_economic_share,mig_out_temp_noneconomic_share,mig_in_temp_economic_share,mig_in_temp_noneconomic_share
Bara,2021,72795.58839392662,7611.901983678341,9592.461229503155,-1980.5592458248138,0.10456542974125348,0.1317725626118225,-0.02720713287056902,0.030092307097146054,0.09277296293731295,0.021981890061480113,0.0758838797671706,0.10700723522657593,0.1368207731451798,-0.029813537918603847,0.031249280326211954,0.09630376526955976,0.02211704243757492,0.07825100939682564
Bardiya,2011,43141,9176,3408,5768,0.2126978975916182,0.0789967780070003,0.1337011195846179,NA,NA,NA,NA,0.03475993917010645,0.03150119487290897,0.00325874429719748,0.007643236624335907,0.02081646357118875,0.009420733513716351,0.022514960598818953
Bardiya,2021,40265.213414907455,9589.840305864811,5830.598710939288,3759.241594925523,0.23816688134861216,0.14480486296840578,0.09336201838020639,0.0418909985137828,0.09435732473693208,0.06405160654130043,0.14882036318515948,0.24843452501177238,0.1585924170966064,0.08984210791516596,0.04328240200142901,0.10431063315175315,0.0668014600125392,0.15599669185323412
Bhaktapur,2011,25196,11547,5176,6371,0.45828702968725193,0.20542943324337196,0.25285759644388,NA,NA,NA,NA,0.15221881454590974,0.038868373286599485,0.11335044125931026,0.010358640545784566,0.02240721036489954,0.04434499593165175,0.09488639919884835
Bhaktapur,2021,22941.52454638481,23619.338921546936,3979.1432347744703,19640.195686772466,1.02954530653757,0.17344720167699207,0.8560981048605779,0.03439233881578471,0.12682409194201644,0.3175345252909095,0.5991820625370061,1.0266692944035978,0.214116541524753,0.8125527528788449,0.045877486561680454,0.1519354612478522,0.31061521727099206,0.611777588506703
Bhojpur,2011,21625,907,16006,-15099,0.04194219653179191,0.7401618497109826,-0.6982196531791908,NA,NA,NA,NA,0.016220600162206,0.14544471478778048,-0.12922411462557448,0.03451383256736055,0.09763900153194557,0.0037397494818419393,0.00991258898801478
Bhojpur,2021,15877.14068877697,1254.2705600261688,16255.483744099736,-15001.213184073567,0.07899851645912362,1.0238294200913773,-0.9448309036322537,0.33276689585890035,0.574258132349513,0.014768335320706106,0.06216680183511939,0.08978238314192015,0.9131041817186446,-0.8233217985767244,0.28428969335234344,0.5295570769347889,0.01730453339022828,0.0697204488694894
Chitawan,2011,46896,23010,7593,15417,0.4906601842374616,0.16191146366427842,0.3287487205731832,NA,NA,NA,NA,0.08926041812606049,0.048195021715780134,0.04106539641028036,0.013185136754930805,0.029935086162611497,0.02310123133921761,0.05762854340820996
Chitawan,2021,46920.39848482609,29335.33508336544,8894.138630956411,20441.19645240903,0.6252149604580276,0.18955803697687582,0.43565692348115176,0.04434760575847543,0.12977633223679877,0.18682567100229241,0.3795727654887356,0.6369372998264594,0.22272956505498143,0.41420773477147793,0.0574033691581588,0.14728596931832466,0.19164666492600935,0.3884865519325401
Dadeldhura,2011,32692,3402,4562,-1160,0.10406215587911416,0.13954484277499082,-0.035482686895876664,NA,NA,NA,NA,0.031273226230632896,0.033617288891429876,-0.0023440626607969814,0.008175633182779715,0.0223829397976102,0.007861185752672804,0.017751986736035674
Dadeldhura,2021,13039.532149076462,2237.253154695034,5224.463416859508,-2987.2102621644735,0.17157464923720364,0.40066341009248063,-0.229088760855277,0.11033793700279491,0.25987678519978274,0.04441109541080891,0.1121928368200449,0.18421500801272525,0.4060112757844771,-0.22179626777175185,0.10992006575927582,0.26705447917951286,0.047743489426447905,0.12005097647087062
Dailekh,2011,49657,1089,6992,-5903,0.021930442837867773,0.14080592867068087,-0.1188754858328131,NA,NA,NA,NA,0.010007759495433836,0.033544895644734486,-0.023537136149300652,0.006903961321899683,0.023676409144266927,0.003959332285469848,0.004755177970991425
