"dname","year","fxshock_2009","fxshock_2010","fxshock_2011","fxshock_dofe"
"Achham",2000,1.11009549330857,1.1368305314386,1.16376821997479,1.12759379383135
"Achham",2001,1.05299122215076,1.07900627504215,1.10389967267469,1.07015180770126
"Achham",2002,1.01340945718099,1.04289815344943,1.06206979881205,1.03374559644154
"Achham",2003,1.03650383527031,1.0666378903366,1.08553488446086,1.05728053519304
"Achham",2004,1.07122369379979,1.10234832097878,1.12147481822662,1.09268019065267
"Achham",2005,1.10495347292592,1.13543309284429,1.15528891171084,1.12568233280975
"Achham",2006,1.07587790131978,1.09141024873739,1.11439194268425,1.08384378508605
"Achham",2007,1.161608101516,1.14753173175914,1.18042523202804,1.14356922022253
"Achham",2008,1.09874964077538,1.07173489764313,1.105102412703,1.06985822041665
"Achham",2009,1,0.99782964334384,1.02378807060304,0.993062561106231
"Achham",2010,1.03858798999672,1,1.03673277575275,1
"Achham",2011,1.01731337259727,0.959378249872277,1,0.962125974609228
"Achham",2012,0.885206436485572,0.83819679868159,0.872783567757683,0.840122215666161
"Achham",2013,0.81373640415687,0.776700685537584,0.807065916788034,0.777627870572601
"Achham",2014,0.782561155449748,0.75822137094732,0.784410500945511,0.757576119708726
"Achham",2015,0.775712180269846,0.8076820120368,0.819102980011564,0.799392810475267
"Achham",2016,0.750806443031662,0.80121166412623,0.806991943288686,0.79053614081477
"Achham",2017,0.778558212692451,0.843169517781096,0.845869765608452,0.830417183527816
"Achham",2018,0.735066908860653,0.7755107509853,0.783728277572524,0.766273161680855
"Achham",2019,0.715711847228663,0.763391437138163,0.769112972295853,0.753264904226928
"Achham",2020,0.683545794432999,0.733448200257359,0.737879336849421,0.723181826579666
"Achham",2021,0.68227550379322,0.74174347590038,0.733038368950525,0.730103854261136
"Achham",2022,0.653843089296663,0.729377949485007,0.715489027041741,0.71568999693025
"Achham",2023,0.625522205352196,0.707717271874242,0.691852246168713,0.693269417860122
"Arghakhanchi",2000,1.11998326867782,1.13263597583952,1.11803204349724,1.1252072490444
"Arghakhanchi",2001,1.06293041831621,1.07466346182649,1.06104188096234,1.0676676918139
"Arghakhanchi",2002,1.02681129915557,1.03544573821658,1.02109267873012,1.029239657331
"Arghakhanchi",2003,1.05030203763022,1.0587364715234,1.04327477881889,1.05247439244496
"Arghakhanchi",2004,1.08553582478447,1.09404763325088,1.07756786617262,1.08761989365244
"Arghakhanchi",2005,1.11905397496536,1.12705166137501,1.11070335356853,1.12057751125867
"Arghakhanchi",2006,1.08363297796353,1.08489512945828,1.07779557553424,1.07988224859853
"Arghakhanchi",2007,1.15677698779951,1.14415224835546,1.15520546914401,1.14151360327273
"Arghakhanchi",2008,1.08834810906466,1.06985414735849,1.08715909587094,1.06867245628597
"Arghakhanchi",2009,1,0.993901164234667,0.99736819065016,0.990682319231306
"Arghakhanchi",2010,1.02322471719023,1,1.02635551498697,1
"Arghakhanchi",2011,0.993667079203025,0.961667601959065,0.998954339491112,0.9635078065684
"Arghakhanchi",2012,0.866144411044524,0.839791876299741,0.870547362476537,0.841093268119848
"Arghakhanchi",2013,0.798839117266135,0.777497268680565,0.802489731737604,0.778120082894781
"Arghakhanchi",2014,0.773015180809035,0.757695608170288,0.774966171529124,0.757264342347939
"Arghakhanchi",2015,0.790208673717328,0.800689334581201,0.784107200168454,0.795171103947825
"Arghakhanchi",2016,0.773106997302967,0.792195659998233,0.763918437043433,0.785084417412682
"Arghakhanchi",2017,0.806924950733982,0.832376597456094,0.795378881854118,0.823883271397105
"Arghakhanchi",2018,0.753083950915227,0.767750537177497,0.745946518311432,0.761584825256802
"Arghakhanchi",2019,0.736834365339029,0.754836601550868,0.728658484390933,0.748095334610287
"Arghakhanchi",2020,0.705528905043697,0.724913626053995,0.697484866758912,0.718038498552475
"Arghakhanchi",2021,0.714311923899483,0.72358526698728,0.694987299753843,0.718715964998224
"Arghakhanchi",2022,0.692850622639982,0.709295168385422,0.671973602123545,0.703130306575457
"Arghakhanchi",2023,0.656297424508087,0.686332929558727,0.646618154106634,0.677533456893304
"Baglung",2000,1.09103134161131,1.10441314247123,1.11899464608646,1.09485314825151
"Baglung",2001,1.03782639293335,1.04873493030193,1.06814094037236,1.04002636560271
"Baglung",2002,1.01891155891968,1.01503486068689,1.02944413245706,1.00960050218301
"Baglung",2003,1.04272565835573,1.03760512287476,1.04744090638773,1.03229859124267
"Baglung",2004,1.07798349119876,1.07193854944868,1.07808601350493,1.06661911756407
"Baglung",2005,1.1116620252548,1.10458766105356,1.11200747743727,1.09927444823247
"Baglung",2006,1.07963289910474,1.0670344829677,1.08329370418262,1.06301551769547
"Baglung",2007,1.15752022768116,1.13273131015369,1.16516239801761,1.13066179024887
"Baglung",2008,1.09055523497754,1.06138615243111,1.09068508306728,1.06062289267627
"Baglung",2009,0.99818676337262,0.98090078102229,0.995242014745921,0.978301460517285
"Baglung",2010,1.02963759654323,0.996829590488771,1.02609514459959,0.997135842880524
"Baglung",2011,1.00297541644166,0.963206868340707,0.996952858935293,0.965069390466564
"Baglung",2012,0.874435516210997,0.840689458677948,0.868793136319853,0.84212924216861
"Baglung",2013,0.805360630083873,0.777000335174687,0.806219641884925,0.777775564098655
"Baglung",2014,0.776835324982392,0.754170305810461,0.779681521396112,0.753980728169631
"Baglung",2015,0.784045096553203,0.782865950465252,0.78734667200613,0.778351004463489
"Baglung",2016,0.76306420994965,0.769393930829922,0.760993269555078,0.763516549791047
"Baglung",2017,0.793867166506197,0.805313884769018,0.791733632141458,0.798231453055267
"Baglung",2018,0.744732935089409,0.747904862225312,0.744516462844162,0.742759053210295
"Baglung",2019,0.727513221244044,0.733365509479693,0.725818663049169,0.727796832066791
"Baglung",2020,0.695535263394464,0.703125815928156,0.693567055565077,0.697399256269286
"Baglung",2021,0.755634913253921,0.716860106118231,0.69215803221846,0.72064332211301
"Baglung",2022,0.732447206649374,0.699289329724531,0.671998037861136,0.702105201413364
"Baglung",2023,0.69688479194114,0.674082969601999,0.645863140100159,0.674933491893567
"Baitadi",2000,1.11852429898572,1.17191444523131,1.16691417003591,1.15981135547499
"Baitadi",2001,1.06334596028995,1.11162626062462,1.10789269802544,1.10060893457958
"Baitadi",2002,1.03964952445693,1.06969210929396,1.06578505677539,1.06230906456132
"Baitadi",2003,1.06389867533382,1.093745566678,1.08879865910802,1.08637121432762
"Baitadi",2004,1.09984689373189,1.13019526876294,1.12443085252356,1.12267411497899
"Baitadi",2005,1.13327261313803,1.16344258799332,1.15770605474584,1.15590474212786
"Baitadi",2006,1.09186276990255,1.1129940611186,1.11596001520603,1.10723320131071
"Baitadi",2007,1.15231536820558,1.15908105785806,1.18070044824737,1.15592908220311
"Baitadi",2008,1.07819162458673,1.07744231571394,1.10512614233586,1.07583940864357
