"dname","year","geog_pop_2001","geog_total_mig_2001","geog_intensity_2001","shareshock_index_2001","shareshock_growth_yoy","shareshock_log_yoy","shareshock_growth_dec","shareshock_log_dec","ssiv_index_2001","ssiv_growth_yoy","ssiv_log_yoy","ssiv_growth_dec","ssiv_log_dec","absexp_index_2001","absexp_growth_yoy","absexp_log_yoy","absexp_growth_dec","absexp_log_dec","fxshock","mig_intensity","fxshock_x_mig_intensity","total_migrants"
"Achham",2000,230939,92,0.000398373596490848,0.966179504293478,0,0,0,0,0.000384900403981138,0,0,0,0,88.888514395,0,0,0,0,0.966179504293478,0.000398373596490848,0.000384900403981138,92
"Achham",2001,230939,92,0.000398373596490848,0.956521739130435,-0.00710423411956522,-0.00836219456413043,0,0,0.000381053005339072,-0.00000283013929652419,-0.00000333127752306886,0,0,88,-0.653589539,-0.7693218999,0,0,0.956521739130435,0.000398373596490848,0.000381053005339072,92
"Achham",2002,230939,92,0.000398373596490848,0.981226958247826,0.0247052191173913,0.023709193748913,0,0,0.000390894912330962,0.00000984190699188963,0.00000944511678365283,0,0,90.2728801588,2.2728801588,2.1812458249,0,0,0.981226958247826,0.000398373596490848,0.000390894912330962,92
"Achham",2003,230939,92,0.000398373596490848,0.988324935026087,0.00609399110217391,0.00502976688586956,0,0,0.000393722558867926,0.00000242768515235625,0.00000200372632383443,0,0,90.9258940224,0.5606471814,0.4627385535,0,0,0.988324935026087,0.000398373596490848,0.000393722558867926,92
"Achham",2004,230939,92,0.000398373596490848,0.977781651420652,-0.0119008601119565,-0.0128256550597826,0,0,0.000389522393059206,-0.0000047409884441346,-0.00000510940233351664,0,0,89.9559119307,-1.0948791303,-1.1799602655,0,0,0.977781651420652,0.000398373596490848,0.000389522393059206,92
"Achham",2005,230939,92,0.000398373596490848,0.943724190182609,-0.035329273325,-0.0367431743217391,0,0,0.000375954799738459,-0.0000140742496758884,-0.0000146375105010414,0,0,86.8226254968,-3.2502931459,-3.3803720376,0,0,0.943724190182609,0.000398373596490848,0.000375954799738459,92
"Achham",2006,230939,92,0.000398373596490848,0.95834474236413,0.0133894055282609,0.0125718529282609,0,0,0.000381779241693694,0.00000533398563516773,0.00000500829426558528,0,0,88.1677162975,1.2318253086,1.1566104694,0,0,0.95834474236413,0.000398373596490848,0.000381779241693694,92
"Achham",2007,230939,92,0.000398373596490848,0.903779458066304,-0.05781828545,-0.0603122608282609,0,0,0.000360041873144423,-0.000023033278317651,-0.0000240268122586484,0,0,83.1477101421,-5.3192822614,-5.5487279962,0,0,0.903779458066304,0.000398373596490848,0.000360041873144423,92
"Achham",2008,230939,92,0.000398373596490848,0.950361793159783,0.0492384922054348,0.0451172579086956,0,0,0.000378599045508554,0.0000196153152256656,0.0000179735242968923,0,0,87.4332849707,4.5299412829,4.1507877276,0,0,0.950361793159783,0.000398373596490848,0.000378599045508554,92
"Achham",2009,230939,92,0.000398373596490848,0.990266403810869,0.041944664025,0.0365111313956522,0,0,0.000394495988770195,0.0000167096466612395,0.0000145450707260359,0,0,91.1045091506,3.8589090903,3.3590240884,0,0,0.990266403810869,0.000398373596490848,0.000394495988770195,92
