"dname","year","population_2001","total_migrants_2001","migrants_per_capita_2001","avg_fx_shock_2001","ssiv_per_capita_2001","total_fx_exposure_2001"
"Achham",2000,230939,88,0.000381053005339072,1.01009675448864,0.000384900403981138,88.888514395
"Achham",2001,230939,88,0.000381053005339072,1,0.000381053005339072,88
"Achham",2002,230939,88,0.000381053005339072,1.02582818362273,0.000390894912330962,90.2728801588
"Achham",2003,230939,88,0.000381053005339072,1.03324879570909,0.000393722558867926,90.9258940224
"Achham",2004,230939,88,0.000381053005339072,1.02222627193977,0.000389522393059206,89.9559119307
"Achham",2005,230939,88,0.000381053005339072,0.986620744281818,0.000375954799738459,86.8226254968
"Achham",2006,230939,88,0.000381053005339072,1.00190586701705,0.000381779241693694,88.1677162975
"Achham",2007,230939,88,0.000381053005339072,0.944860342523864,0.000360041873144423,83.1477101421
"Achham",2008,230939,88,0.000381053005339072,0.993560056485227,0.000378599045508554,87.4332849707
"Achham",2009,230939,88,0.000381053005339072,1.035278513075,0.000394495988770195,91.1045091506
"Achham",2010,230939,88,0.000381053005339072,1.01183346575227,0.000385562183027553,89.0413449862
"Achham",2011,230939,88,0.000381053005339072,1.04375444643295,0.000397725768649297,91.8503912861
"Achham",2012,230939,88,0.000381053005339072,1.16495105954545,0.000443908102312732,102.51569324
"Achham",2013,230939,88,0.000381053005339072,1.23170146099432,0.000469343543392411,108.3897285675
"Achham",2014,230939,88,0.000381053005339072,1.24270329619886,0.000473535825761348,109.3578900655
"Achham",2015,230939,88,0.000381053005339072,1.18606204173295,0.000451952505520938,104.3734596725
"Achham",2016,230939,88,0.000381053005339072,1.21875942753068,0.000464411942645893,107.2508296227
"Achham",2017,230939,88,0.000381053005339072,1.19333034268864,0.00045472211344381,105.0130701566
"Achham",2018,230939,88,0.000381053005339072,1.21771584621932,0.000464014282850883,107.1589944673
"Achham",2019,230939,88,0.000381053005339072,1.20881563210114,0.000460622829512988,106.3757756249
"Achham",2020,230939,88,0.000381053005339072,1.24888326749886,0.000475890722398122,109.9017275399
"Achham",2021,230939,88,0.000381053005339072,1.27254815910227,0.000484908300464625,111.984238001
"Achham",2022,230939,88,0.000381053005339072,1.26985719172955,0.000483882899259978,111.7474328722
"Achham",2023,230939,88,0.000381053005339072,1.24404050372727,0.000474045372708811,109.475564328
"Arghakhanchi",2000,208291,937,0.00449851409806473,0.962137305990288,0.00432818823527133,901.5226557129
"Arghakhanchi",2001,208291,937,0.00449851409806473,1,0.00449851409806473,937
"Arghakhanchi",2002,208291,937,0.00449851409806473,1.04034322564184,0.00467999866737593,974.8016024264
"Arghakhanchi",2003,208291,937,0.00449851409806473,1.0272014400047,0.00462088015941351,962.4877492844
"Arghakhanchi",2004,208291,937,0.00449851409806473,1.00228898442102,0.00450881112675296,939.1447784025
