"dcode","amen_water_piped","amen_water_traditional","amen_cooking_wood","amen_cooking_kerosene","amen_cooking_lpg","amen_cooking_biogas","amen_cooking_electric","amen_cooking_modern","amen_cooking_traditional","amen_lighting_electricity","amen_lighting_kerosene","amen_lighting_biogas","amen_lighting_others","amen_toilet_modern","amen_toilet_ordinary","amen_toilet_none","amen_toilet_any","year","amen_assets_radio","amen_assets_tv","amen_assets_cycle","amen_assets_motorcycle","amen_assets_car","amen_assets_fridge","amen_assets_landline","amen_assets_mobile","amen_assets_computer","amen_assets_internet","amen_assets_none","amen_asset_count_mean","housing_own","housing_rented","housing_foundation_modern","housing_foundation_traditional","housing_roof_modern","housing_roof_traditional","fem_ownership_house","fem_ownership_land","fem_ownership_both","fem_ownership_livestock","ent_has_nonagro","ent_cottage","ent_trade","ent_transport","ent_services","ent_other","ent_female_owner_share","absent_hh_share","hh_death_12m","edu_literate","edu_literate_female","edu_literate_male","edu_school_attend_6_16","edu_school_attend_6_16_female","edu_school_attend_6_16_male","edu_attain_primary_plus","edu_attain_secondary_plus","edu_attain_slc_plus","edu_attain_tertiary","edu_years_mean","mar_ever_married_15_60","mar_never_married_15_60","mar_female_age_first_mean","mar_female_married_by_18","mar_female_married_by_20","fert_birth_mean","fert_birth_son_mean","fert_birth_dau_mean","fert_births_last12m_share","fert_births_last12m_rate","mort_children_dead_mean","mort_child_dead_any","mort_child_death_ratio","work_share_agriculture","work_share_nonagriculture","work_share_wage_nonagri","work_share_own_nonagri","work_share_extended_econ","work_share_job_seeking","work_share_household_chores","work_share_student","work_share_no_work","work_lfp","occ_share_armed_forces","occ_share_managers","occ_share_professionals","occ_share_technicians","occ_share_office_assistants","occ_share_service_sales","occ_share_agriculture","occ_share_craft_trades","occ_share_machine_operators","occ_share_elementary","ind_agri_forestry_fish","ind_manufacturing","ind_construction","ind_wholesale_retail","ind_transport_accommodation","ind_finance_real_estate_prof","ind_public_admin_defence","ind_education","ind_health","ind_arts_recreation","ind_others","emp_share_employer","emp_share_employee","emp_share_self_employed","emp_share_unpaid_family_worker","mig_in_share","mig_in_domestic","mig_in_international","mig_in_from_rural","mig_in_from_urban","mig_in_reason_economic","mig_in_reason_noneconomic","mig_in_reason_study","mig_in_reason_marriage","mig_in_return","flfp_all","fem_employment_rate","flfp_agri","flfp_nonagri","flfp_wage","flfp_chores_only","mlfp_all","mlfp_agri","mlfp_nonagri","share_women","share_men","fem_share_of_ag_workers","fem_ag_specialization_ratio","fem_wage_share_of_employment","gap_lfp_m_minus_f","gap_nonagri_m_minus_f","head_female_share","head_age_mean","head_elderly_share","head_female_elderly","head_young_share","left_not_with_both","left_mother_only","left_father_only","left_with_relatives","left_without_parents"
1,0.902956298200514,0.0912596401028278,0.972365038560411,0.019280205655527,0.00224935732647815,0.00096401028277635,NA,0.0032133676092545,0.991966580976864,0.0809768637532134,0.893958868894602,0.0019280205655527,0.0183161953727506,0.0353470437017995,0.439588688946015,0.518637532133676,0.474935732647815,2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.873687611048296,0.061742852527863,NA,NA,NA,NA,0.0837909869164917,0.182765304474237,0.0792682926829268,0.147835567759651,0.119891778387983,0.0676995621421354,0.297406534186595,0.0124621084540249,0.4499831593129,0.172448635904345,NA,0.142464868357293,0.0395244215938303,0.527285464098074,0.427966680322272,0.631904487917146,0.771179883945841,0.74691603660963,0.794128716597667,0.616198803497469,0.254947077772665,0.186378278877128,0.0207086976530143,5.79751077070369,0.686988171064604,0.310509554140127,18.4709302325581,0.337209302325581,0.645348837209302,3.25360028099754,1.68001404987706,1.57358623112048,0.128205128205128,0.128205128205128,0.298208640674394,0.172813487881981,0.0916549713915578,0.643653321201092,0.125682438580528,0.0522065514103731,0.0287761601455869,0.0446997270245678,0.00409463148316652,0.0549363057324841,0.147975432211101,0.0236578707916288,0.76933575978162,0,0.00657354149548069,0.0231443440153383,0.00561490002738976,0.00397151465351958,0.014379622021364,0.85291700903862,0.0373870172555464,0.000958641468090934,0.0550534100246508,0.864750171115674,0.0365503080082136,0.00355920602327173,0.0257357973990418,0.00561259411362081,0.00150581793292266,0.00383299110198494,0.0227241615331964,0.00396988364134155,0,0.0317590691307324,0.0146394855657409,0.0852373785743604,0.816253933506636,0.0838692023532631,0.0128456493813806,0.0110878236765601,0.0017578257048205,0.00995597697257027,0.00115137148662377,0.00216347779054831,0.00824825907646542,0.00101660454083362,0.00515079634022365,NA,0.747311827956989,0.745806451612903,0.62752688172043,0.118279569892473,0.0191397849462366,0.101720430107527,0.802752293577982,0.661757605021729,0.133993239980686,0.528889899909008,0.471110100090992,0.515638805442658,0.948273018637731,0.0256632064590542,0.0554404656209923,0.0157136700882125,0.151954450008076,46.0377968018091,0.217735422387336,0.0464787594895816,0.131602325957034,0.0996880509968805,0.0470636104706361,0.0134273701342737,0.0063746100637461,0.0305167503051675
1,0.905179252767179,0.0815609534962789,0.955271806883004,0.00483548033697254,0.0320728344225756,0.00237996297835367,7.55543802651959e-05,0.0345283517811945,0.960522836311435,0.531109516074194,0.44947300819765,0.00105776132371274,0.293868762041479,0.179932756601564,0.553662498583355,0.26145593290771,0.733595255184919,2011,0.676249480563636,0.111744928412225,0.00128442446450833,0.00275773487967965,0.000528880661856371,0.000642212232254165,0.0416682407162555,0.587813078463224,0.0155642023346304,0.00468437157644214,0.199123569188924,1.48698575799932,0.813456235125231,0.115295984284689,0.0259151524309622,0.968116051528087,0.343281326734917,0.60927052245854,0.0945563069018926,0.196932492161233,0.0945563069018926,NA,NA,NA,NA,NA,NA,NA,NA,0.292584337576971,NA,0.720311672456665,0.646880040750488,0.802681700441871,0.89638823780098,0.900733547944483,0.89196020435601,0.691484869809993,0.281773399014778,0.206896551724138,0.031210415200563,6.99375072329592,0.686682725395733,0.313317274604267,18.1090302719343,0.402770651616213,0.708825038481272,2.51938811810744,1.26325151191747,1.25613660618997,0.102893890675241,0.102893890675241,0.149057274991106,0.0999644254713625,0.0591640779440836,0.526084373143197,0.147593582887701,0.0862745098039216,0.0399286987522282,0.0213903743315508,0.00439691027926322,0.0784313725490196,0.213071895424837,0.0304218657159834,0.673677956030897,0.00112994350282486,0.0101694915254237,0.0545601291364003,0.0146892655367232,0.0103309120258273,0.0282485875706215,0.820500403551251,0.0248587570621469,0.00355125100887813,0.0319612590799031,0.686993188452806,0.0274083684722673,0.00681154719429127,0.0192993837171586,0.0116769380473565,0.0223807979240999,0.00162179695102173,0.0488160882257541,0.00600064871878041,0.000810898475510866,0.168180343820954,0.0331730769230769,0.142788461538462,0.783653846153846,0.0403846153846154,0.0155552354889817,0.0125306063661242,0.00302462912285755,0.0083790811904074,0.00216700375613984,0.0036007489557828,0.0077056027653752,0.00159074475777296,0.00491684743311641,NA,0.634578027196201,0.630477012734729,0.526440751133175,0.104036261601554,0.0457586876753723,0.133606734297431,0.731359069275516,0.525647805393971,0.200951877313591,0.550564468211527,0.449435531788473,0.550937429410436,1.0015085114616,0.0725778842862033,0.0967810420793144,0.0969156157120366,0.275302727375608,46.562752272813,0.215059036553623,0.052246406880682,0.141423667433702,0.136304700162075,0.0875202593192869,0.0160453808752026,0.00842787682333874,0.0294975688816856
1,0.97119341563786,0.0246913580246914,0.906256128652677,0.000784467542655423,0.0892331829770543,0.00137281819964699,0.000784467542655423,0.0913188320595728,0.907897315304723,0.975700568293161,0.0123553637968229,0.000392233771327711,0.0107864287115121,0.72663139329806,0.249852912335752,0.0194155716807217,0.979815794630609,2021,0.562855461855266,0.29907825063738,0.00804079231221808,0.0439301823887037,0.00745244165522652,0.00902137674053736,0.0264757795646205,0.898215336340459,0.0476564032163169,0.171994508727201,0.0695669214187733,2.62884577699393,0.901157089625417,0.080211806236517,0.0574172055653537,0.941798941798942,0.860082304526749,0.125514806824868,0.0830883793846757,0.151675485008818,0.0749166503235929,NA,0.0744660003919263,0.023141792508335,0.0335359874485193,0.00451068837026868,0.00666797411257109,0.00666797411257109,0.0393885949441505,0.167483820356933,0.0313787017062169,0.816283185840708,0.75640124510493,0.877037489812551,0.935260842237586,0.939812932086214,0.930423509075194,0.788359788359788,0.395187704711514,0.239858906525573,0.054673721340388,8.19942050894432,0.699800752711977,0.300199247288023,18.4022038567493,0.362258953168044,0.662534435261708,2.12031891761295,1.08456148828219,1.03575742933076,0.0768301522106789,0.0770717564629138,0.075138922445035,0.0596762503020053,0.0354375569735643,0.64209283447716,0.186406907239318,0.110692937790569,0.0492952549627334,NA,0.0814700022138587,0.186111726071877,0.132536344181241,0.0211054534720685,0.828647332300199,0.00133582687683676,0.0265384272864903,0.038917089678511,0.00961795351322469,0.00703535488467361,0.0277851990382046,0.774868643690444,0.0195030724018167,0.010864725264939,0.0833555971146139,0.812076950480941,0.00961881011756324,0.0279657997862487,0.0478268614178839,0.0170110438190239,0.0089063056644104,0.0135375846099038,0.0355361596009975,0.00632347702173139,0.000356252226576416,0.0208407552547203,0.00926255789098682,0.140541503384396,0.747684360527253,0.102511578197364,0.189237910676461,0.182027130560187,0.00721078011627383,0.166144627536429,0.0160243315629398,0.0364144395871828,0.152282662580558,0.0105908332957772,0.11731037901663,0.0070755779890937,0.811876832844575,0.795894428152493,0.669354838709677,0.126539589442815,0.080058651026393,0.0812316715542522,0.876095676719655,0.676422522656366,0.185410785915911,0.503283890487787,0.496716109512213,0.50065803904365,0.989551376972291,0.100589535740604,0.0642188438750806,0.0588711964730962,0.228101116990006,47.9059376837155,0.253968253968254,0.0556535371350186,0.137566137566138,0.150797198629116,0.0986440172850544,0.016092981671882,0.0263746088511399,0.0289077633735658
2,0.690889603429796,0.304180064308682,0.953269024651661,0.0407288317256163,0.00235798499464094,0.000857449088960343,NA,0.00321543408360129,0.994640943193998,0.0510182207931404,0.915541264737406,0.00321543408360129,0.027438370846731,0.0593783494105038,0.509110396570204,0.427652733118971,0.568488745980707,2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.902844873859367,0.0641975308641975,NA,NA,NA,NA,0.0495437466451959,0.128636607622115,0.0433709071390231,0.139828234031133,0.149838969404187,0.115171054988358,0.255955579437578,0.0077019523553645,0.402292674189504,0.218878739029196,NA,0.141760601180891,0.0312968917470525,0.553444180522565,0.45326166180758,0.658218199142449,0.821342469229793,0.797566658037794,0.844201095072175,0.597652723442672,0.24646403851941,0.164610291904905,0.0258802287089979,5.76492421899165,0.677944096532763,0.321139453184665,18.5144827586207,0.331034482758621,0.644137931034483,3.32287735849057,1.70778301886792,1.61509433962264,0.124764150943396,0.124764150943396,0.382075471698113,0.216509433962264,0.114983320320818,0.608064762486635,0.132274324117917,0.0510921032533985,0.032075759890026,0.0491064609744921,0.00580418512295708,0.0683519169085077,0.164197342294181,0.021307469069803,0.740339086604552,0,0.00139716840536513,0.0190946348733234,0.00884873323397914,0.00447093889716841,0.0263599105812221,0.821348733233979,0.0408904619970194,0.00353949329359165,0.0740499254843517,0.845269259536275,0.0402019446522064,0.00299177262528048,0.0514210919970082,0.00682498130142109,0.0025243081525804,0.00757292445774121,0.018605086013463,0.00289827973074046,0,0.0216903515332835,0.0136909751327186,0.0813076278290025,0.787929589270746,0.117071807767533,0.0217968925917586,0.0195901823913533,0.00220671020040531,0.0175121863152194,0.00212132153818379,0.00472866471515424,0.0140508894393155,0.00167133435721384,0.00767910380341494,NA,0.713044737223107,0.711017808020848,0.586651223396554,0.124366584624294,0.0172288982191979,0.127117417113074,0.783093583319864,0.631970260223048,0.141102311297883,0.527493508477165,0.472506491522835,0.508917357447877,0.928289288786312,0.0242313174506211,0.0700488460967572,0.0167357266735885,0.147745571658615,45.332769726248,0.196403650026838,0.0353730542136339,0.135990338164251,0.105954935622318,0.0556151645207439,0.0137696709585122,0.00572246065808298,0.029774678111588
2,0.714931027783175,0.27863318437925,0.920827666601904,0.00801437730716923,0.0575092286768992,0.00476005440062172,0.000291431902078881,0.0625607149795998,0.934039246162813,0.546483388381582,0.395327375170002,0.00723722556829221,0.315475034000389,0.228191179327764,0.650840295317661,0.117641344472508,0.879031474645425,2011,0.637580143773072,0.115795609092675,0.00206430930639207,0.0133330095201088,0.00208859529823198,0.00478434039246163,0.0228288323295123,0.591703905187488,0.0151301729162619,0.00570720808237808,0.199436564989314,1.45711093841072,0.884325820866524,0.0975325432290655,0.0405576063726443,0.955095201088012,0.445016514474451,0.519817369341364,0.0695550806294929,0.15878181464931,0.0695550806294929,NA,NA,NA,NA,NA,NA,NA,NA,0.340999611424131,NA,0.733364295330421,0.663158010636072,0.813794495320265,0.915392548898981,0.920829881496956,0.909904013961606,0.687967504938628,0.296672807582181,0.201340643242403,0.0341153752247353,7.25736852730393,0.678429703904465,0.321570296095535,18.3772819472617,0.348884381338742,0.661257606490872,2.52780930760499,1.29875141884222,1.22905788876277,0.0807124965210131,0.0807124965210131,0.166401816118048,0.103291713961407,0.065828468792097,0.512676267626763,0.142964296429643,0.0816831683168317,0.0450795079507951,0.0162016201620162,0.00615061506150615,0.0720822082208221,0.236948694869487,0.0291779177917792,0.655640564056406,0.00108754758020663,0.0133768352365416,0.0475258292550299,0.010331702011963,0.00587275693311582,0.0400217509516041,0.831430125067972,0.0246873300706906,0.00685154975530179,0.0188145731375748,0.58326105810928,0.016153512575889,0.0113833477883781,0.0243928881179532,0.0124674761491761,0.0186470078057242,0.00151777970511709,0.0418473547267997,0.00422810060711188,0.00108412836079792,0.285017346053773,0.0220040988027182,0.132240319275159,0.827958149066983,0.0177974328551397,0.0227346541084768,0.0208787639771726,0.00185589013130423,0.0166875842513829,0.00213824199321341,0.00496450610123881,0.0134552034519556,0.00181521992087503,0.00744705608564114,NA,0.616599732262383,0.612985274431058,0.519410977242303,0.093574297188755,0.0378848728246319,0.12289156626506,0.719379051518253,0.504094165813715,0.20590242238144,0.56030603060306,0.43969396939694,0.567666422823702,1.03038482185935,0.0618038873116401,0.10277931925587,0.112328125192685,0.275293717836683,46.1767647344402,0.205092727449267,0.0427468686280221,0.148509564035343,0.155649106838093,0.106838093070884,0.00807827966776653,0.0129707589031744,0.0367504835589942
2,0.804683840749415,0.189851678376269,0.86594712967308,0.001407789770061,0.128578132332238,0.00281557954012201,0.00109494759893634,0.13224043715847,0.865886026541764,0.975800156128025,0.0096981073048647,0.000156421085562334,0.0125136868449867,0.720374707259953,0.260910370717973,0.0132957922727984,0.984855581576893,2021,0.520725793837009,0.340685124354763,0.0129829501016737,0.0707023306741749,0.00766463319255436,0.0481776943531988,0.0278429532300954,0.906773033004849,0.0585014860003128,0.301736274049742,0.0725995316159251,2.89024199843872,0.923040825903332,0.0625684342249335,0.058391881342701,0.939734582357533,0.751288056206089,0.222743625840763,0.111163153786105,0.201561280249805,0.0932269669951509,NA,0.275409836065574,0.145628030658533,0.0580322227436258,0.00312842171124668,0.0223682152354137,0.0467699045831378,0.149258391881343,0.160018770530267,0.0297200062568434,0.784201709548559,0.712224035735761,0.856185567010309,0.936021505376344,0.946316179192892,0.92636332059743,0.734972067039106,0.345921787709497,0.228379888268156,0.054413407821229,7.75877094972067,0.732246423508184,0.267753576491816,18.1460526315789,0.430263157894737,0.706578947368421,2.14340927583401,1.11452400325468,1.02888527257933,0.0626525630593979,0.0630593978844589,0.0909275834011391,0.0683482506102522,0.0424219417291449,0.769880139193195,0.190681788890321,0.118507539631396,0.0555483954117799,NA,0.0663745328006186,0.104072689779611,0.121600721742493,0.00766851398376079,0.960755251965459,0.00174391307264069,0.0297806693943256,0.0327989804815883,0.0124086122476357,0.00583540143537461,0.0382319404386612,0.801328056878396,0.0197196324367832,0.0118049500301831,0.0461466228452612,0.822041856721224,0.0103300241481084,0.0371612557016367,0.0444056882210893,0.0159645827743493,0.00764690099275557,0.0152267239066273,0.0274349342634827,0.00670780788838208,0.000737858867722028,0.012342366514623,0.00469546552186745,0.131204722296753,0.731083981754763,0.133015830426617,0.205253749902852,0.191147897722857,0.0141058521799953,0.162863111426432,0.0304284419218793,0.0543638765835082,0.150656718737857,0.0122794746250097,0.106784798321287,0.00858786041812388,0.959131217067215,0.953990489654286,0.833440431821103,0.120550057833183,0.0729983292635908,0.0194062459838067,0.971565206152256,0.745767093188574,0.221791392012408,0.501417708467586,0.498582291532414,0.529171766625867,1.11756128613516,0.0765189276572814,0.0124339890850406,0.101241334179225,0.271350507416081,47.7389539422326,0.256206088992974,0.0657298985167838,0.131303669008587,0.20510095642933,0.139479277364506,0.0181987247608927,0.0393198724760893,0.0403825717321998
3,0.755624515128006,0.236617532971296,0.78432893716059,0.159425911559348,0.0410201706749418,0.00320015515903801,NA,0.0442203258339798,0.951900698215671,0.429790535298681,0.560415050426687,0.00135764158262219,0.0045577967416602,0.261636927851047,0.497769588828549,0.23477501939488,0.759406516679597,2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8998258957207,0.0733803720333547,NA,NA,NA,NA,0.0373132960689086,0.0965454045633648,0.0337579034179419,0.0652249610556217,0.160285897553377,0.079693574205351,0.283215184084153,0.0258403841756231,0.336611022181569,0.274639835353304,NA,0.071730963071566,0.0236617532971296,0.665300451545676,0.584211265627195,0.744639912039582,0.874120855461461,0.867625690206335,0.880459444129325,0.674833635813672,0.325972978423069,0.244605767291793,0.063420044363783,6.68560606060606,0.668225114266774,0.328355605177768,18.4708074534161,0.332298136645963,0.660248447204969,2.90589839754518,1.50210251164905,1.40379588589612,0.0859188544152745,0.0859188544152745,0.202636663257188,0.126946243891351,0.069732879658962,0.473500575695196,0.206063989393252,0.124838630892153,0.0526848330483933,0.0285405254527058,0.00505913959736227,0.103171557168277,0.190502773804124,0.0217019643417885,0.679564565088448,0,0.00120303535073108,0.0311401073477698,0.0194799185637609,0.0184619655746807,0.0579307791967425,0.706320562650379,0.0687580973533222,0.00689431797149732,0.0898112159911161,0.745996482458576,0.0572063315745626,0.0236971211700454,0.0647968156993428,0.0179116911968898,0.00740535036563917,0.0248079237248912,0.027029528834583,0.00615569749143756,0,0.0249930574840322,0.0148956839524448,0.183975574779109,0.726835361058426,0.0742933802100199,0.0501316885397204,0.0460122008869279,0.00411948765279247,0.0419303797468354,0.00427215189873418,0.0133939625869482,0.0337212705130225,0.0130054866896972,0.0113572218835377,NA,0.59943918682089,0.597756747283561,0.45012267788293,0.147634069400631,0.057273045916579,0.202663862600771,0.769033064740206,0.496665740483468,0.263962211725479,0.497714664526709,0.502285335473291,0.473141257092329,0.906288960951422,0.0958132989328017,0.169593877919315,0.116328142324848,0.0975717034729222,43.5320810043068,0.150536057912581,0.0217538715293686,0.160890680839366,0.114690170940171,0.0390491452991453,0.0144230769230769,0.0127136752136752,0.0490384615384615
3,0.733331265412473,0.251159328132512,0.902321758146316,0.00705677993703181,0.0585480093676815,0.0236828636568079,0.000558338632380539,0.0827892116568699,0.91182902430324,0.723637886378088,0.230702421018348,0.00682413884020659,0.101617631093258,0.338182607751601,0.561440513671542,0.0950571521627867,0.899623121423143,2011,0.670983451463313,0.384447167206911,0.0592769514710672,0.0332986956589171,0.00544380166571025,0.00811141957597283,0.0399832498410286,0.692432960590598,0.0256060300572297,0.00724289281449199,0.110535539804892,2.00335003179428,0.899157839229493,0.0694821409184671,0.0865424880189835,0.90678846720536,0.841276734339377,0.12979822262202,0.0813003086371885,0.174775501341564,0.0813003086371885,NA,NA,NA,NA,NA,NA,NA,NA,0.261271461141182,NA,0.7830074066785,0.723040240636807,0.846907345445449,0.91552107925801,0.920854918766443,0.910242645479923,0.670590575985675,0.280410297222314,0.188878204065391,0.0359120602181915,7.28135196937386,0.68820579608511,0.31179420391489,18.4867054661646,0.349081364829396,0.647837498573548,1.96380090497738,1.02055052790347,0.943250377073906,0.0625669085286071,0.0625669085286071,0.0935143288084465,0.0682503770739065,0.0476190476190476,0.424436113330465,0.230071907073935,0.140556818880216,0.072275828160531,0.0172392600331879,0.00709851883719501,0.106569971114252,0.204996619752935,0.0268268698912175,0.6545080204044,0.00398911207058382,0.0220105124835742,0.0518584569175896,0.0286746761779613,0.0169889243476628,0.0702553031725174,0.696874413365872,0.0379200300356674,0.0184437769851699,0.0529847944434015,0.549812734082397,0.0243913857677903,0.0167602996254682,0.0483614232209738,0.0342228464419476,0.0383426966292135,0.014185393258427,0.0426029962546816,0.0073501872659176,0.00159176029962547,0.222378277153558,0.0209239503685729,0.225905407261572,0.736504738794011,0.0166659035758436,0.040582040025557,0.0376347410292875,0.0029472989962695,0.0291053414916488,0.00421696709111956,0.010799892825491,0.023578391970156,0.00581130826818877,0.00936840799106589,NA,0.574443613778826,0.569555466099258,0.415952613721318,0.15360285237794,0.069584219909138,0.192247972856403,0.761631360126708,0.434171451197783,0.31782485316439,0.534355601991273,0.465644398008727,0.52367506516073,0.958037688967796,0.122172859450727,0.187187746347882,0.16422200078645,0.19728070447428,46.0495333478032,0.191730488977086,0.0326656537781774,0.129592880840904,0.142579784006795,0.0833029972090766,0.0114670549690572,0.0108603324839219,0.0431986409416333
3,0.944194996792816,0.0513149454778704,0.833547833547834,0.00257400257400257,0.144573144573145,0.00235950235950236,0.0169455169455169,0.163352576437888,0.833440239469746,0.983536454992517,0.00343200343200343,0,0.00986700986700987,0.852041907205474,0.125697125697126,0.015015015015015,0.981825956809921,2021,0.555126555126555,0.322822822822823,0.0107250107250107,0.0531960531960532,0.0087945087945088,0.0422565422565423,0.0411840411840412,0.873873873873874,0.0508365508365508,0.214071214071214,0.0821039127645927,2.67692965576224,0.900900900900901,0.0877305877305877,0.066923241394056,0.929869574513577,0.890528116313876,0.0429000429000429,0.100064143681847,0.185161428265982,0.0918060918060918,NA,0.133418858242463,0.0557700557700558,0.034963534963535,0.00579150579150579,0.018018018018018,0.0193050193050193,0.0611503100277956,0.138567138567139,0.027027027027027,0.7677303906949,0.689893359185652,0.843181017267708,0.946392785571142,0.950287807430665,0.942815953868333,0.695078803473786,0.356063042779029,0.254744290768736,0.0712447732389836,8.18896751366999,0.684872089935381,0.315127910064619,19.0021834061135,0.270742358078603,0.589519650655022,2.18742255266419,1.13042131350682,1.05700123915737,0.0796158612143742,0.0799256505576208,0.0892193308550186,0.0622676579925651,0.0407874238776377,0.577764008143755,0.264760555899796,0.165619190935647,0.0717004514472869,NA,0.0765690006196335,0.139417544480836,0.139151987253253,0.020979020979021,0.842524564043551,0.0113469216221895,0.061672620298382,0.0399243538558521,0.00977096028577432,0.00703929396932129,0.0558940953981929,0.685753309518806,0.0427610842613995,0.0084051271275478,0.0774322336625341,0.715366827832668,0.0126129913811226,0.0458272020180786,0.0528694555392054,0.0428841706958167,0.0354214841286525,0.0261719571158293,0.0375236493588396,0.00693714525961741,0.00126129913811226,0.023123817532058,0.00882723833543506,0.206073980664145,0.695145018915511,0.0899537620849096,0.140927266832379,0.138927915270723,0.00199935156165568,0.12058043207537,0.0169473171259949,0.04263482113909,0.0976980438776613,0.0123743650707879,0.0661407111207176,0.00302604560683022,0.855456171735241,0.838461538461538,0.672093023255814,0.166368515205724,0.0960644007155635,0.0531305903398927,0.863325740318907,0.534256176625197,0.312248116348344,0.49482163406214,0.50517836593786,0.552012929767852,1.25799766602851,0.114572221036911,0.00786956858366528,0.14587960114262,0.267692965576224,48.0500320718409,0.258285225571948,0.0733376095787898,0.129570237331623,0.182056074766355,0.105420560747664,0.0173831775700935,0.0386915887850467,0.0517757009345794
4,0.251850974352899,0.721909613220399,0.659746490552627,0.166972694426346,0.0865071373571048,0.0265947995024581,NA,0.113101936859563,0.881863412900551,0.532873304507493,0.455310075223598,0.00180655096842978,0.00456080080554404,0.326393413492863,0.300450156962625,0.366552153053367,0.626843570455488,2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.846236909176082,0.104448696673998,NA,NA,NA,NA,0.091530564443774,0.173763567214781,0.0829714086083829,0.0907206999769744,0.331750657022398,0.0373357585620946,0.29966732881794,0.0351339061340737,0.292750640212527,0.335112366273365,NA,0.119852001238616,0.022715157258781,0.673420706482106,0.590680135046831,0.756370187386551,0.840402814305303,0.825594615489563,0.854875988976798,0.694189199863089,0.397935810010268,0.266422685026724,0.0631894894815829,6.89865296560537,0.690909452301209,0.304091591218533,18.2298284355359,0.389842024800408,0.676915236962799,2.64699522479503,1.37027359822206,1.27672162657296,0.0554704628044569,0.0554704628044569,0.175361143646575,0.110910892873232,0.066249134869578,0.205642957235567,0.37817155464565,0.22158396358613,0.114369763767007,0.0422178272925135,0.012790570556842,0.191043619125232,0.16558173741068,0.0467695610260284,0.583814511881218,0,0.0176847873466592,0.0302011333208793,0.0171710567283143,0.0220904165888287,0.133990285821035,0.416121800859331,0.101718662432281,0.0228999315025842,0.238121925400087,0.515592612795138,0.101831216395231,0.0271955115717291,0.14903763734123,0.0563079560508065,0.00883659315826385,0.0411750954570249,0.0281773552559807,0.00657679420244682,0,0.0652692277721499,0.02059001912819,0.373606208108486,0.534174144285648,0.071629628477676,0.0429065652214254,0.0330381877708999,0.00986837745052556,0.0302482646907234,0.00311920587428128,0.0140569701629044,0.0272324801505773,0.00568898447975996,0.00912096228143546,NA,0.434874815905744,0.43006381934217,0.165832106038292,0.264231713303878,0.123436426116838,0.37027000490918,0.762334996780425,0.246438345138442,0.494929169349646,0.506107075063853,0.493892924936147,0.408128745408854,0.672915190796027,0.287018857586412,0.327460180874681,0.230697456045768,0.163878456811198,44.3139336387528,0.164283389044598,0.0316085337483227,0.138058072046178,0.131738210199087,0.0456048680468285,0.0124181493485019,0.0126496461406178,0.054649778424499
