lgcode,n_firms,emp_total,rev_total,cap_total,n_firms_size_2_9_workers,n_firms_size_1_worker,n_firms_size_10_50_workers,n_firms_size_51plus_workers,n_firms_manufacturing,n_firms_education,n_firms_other_services,n_firms_transport,n_firms_trade_retail,n_firms_health,n_firms_hospitality,n_firms_construction,n_firms_water_waste,n_firms_agriculture,n_firms_arts,n_firms_energy,n_firms_finance,n_firms_prof_tech,n_firms_admin_sup,n_firms_info_comm,n_firms_mining,n_firms_real_estate,n_firms_surviving_trd_tradable_goods,n_firms_surviving_trd_non_tradable_services,n_firms_surviving_trd_tradable_services,n_firms_surviving_trd_non_tradable_utilities,n_firms_surviving_agor_not_ag,n_firms_surviving_agor_agro_processing,n_firms_surviving_agor_agro_downstream_manuf,n_firms_surviving_agor_crop_livestock_primary,n_firms_surviving_agor_forestry_primary,n_firms_surviving_agor_fishery_primary,n_firms_surviving_mtier_medium_low_tech,n_firms_surviving_mtier_low_tech,n_firms_surviving_mtier_high_tech,n_firms_surviving_mtier_medium_high_tech,n_firms_surviving_modern_industrial_sector,n_firms_surviving_modern_other,n_firms_surviving_modern_public_sector,n_firms_surviving_modern_traditional_commerce,n_firms_surviving_modern_traditional_agriculture,n_firms_surviving_modern_modern_services,n_firms_surviving_modern_traditional_services,n_firms_surviving_modern_modern_manuf,median_firm_age_years_wmean,n_firms_finance_prof_info,n_firms_social_services,n_firms_utilities_mining,share_agriculture,share_manufacturing,share_construction,share_trade_retail,share_transport,share_hospitality,share_finance_prof_info,share_social_services,share_other_services,share_utilities_mining,share_size_1_worker,share_size_2_9_workers,share_size_10_50_workers,share_size_51plus_workers,industry_hhi,industry_diversity,n_industries_present,mean_emp_per_firm,log_n_firms,log_emp_total,log_rev_total,log_cap_total,DIST
10101,281,520,128703528,185913841,121,157,3,0,21,8,18,1,90,19,31,3,1,67,10,5,5,2,0,0,0,0,88,179,8,6,195,8,11,66,1,0,1,20,0,0,29,28,27,121,67,7,2,0,3.62989323843416,7,27,6,0.238434163701068,0.0747330960854093,0.0106761565836299,0.320284697508897,0.00355871886120996,0.110320284697509,0.0249110320284698,0.096085409252669,0.0640569395017794,0.0213523131672598,0.558718861209964,0.430604982206406,0.0106761565836299,0,0.191727561707678,0.808272438292322,10,1.85053380782918,5.64190707093811,6.25575004175337,18.6730220925478,19.0407939093065,101
10102,151,304,701900796,90943278,35,114,1,1,11,4,15,0,62,18,5,2,1,14,6,2,11,0,0,0,0,0,25,112,11,3,127,6,4,12,2,0,1,10,0,0,15,21,22,67,14,11,1,0,3.00662251655629,11,22,3,0.0927152317880795,0.0728476821192053,0.0132450331125828,0.410596026490066,0,0.033112582781457,0.0728476821192053,0.145695364238411,0.0993377483443709,0.0198675496688742,0.754966887417219,0.231788079470199,0.00662251655629139,0.00662251655629139,0.22056050173238,0.77943949826762,9,2.01324503311258,5.02388052084628,5.72031177660741,20.3693026371894,18.3257465624518,101
10103,225,579,303490296,233441821,117,101,7,0,15,6,28,1,98,18,24,0,3,4,9,3,13,1,2,0,0,0,19,185,15,6,211,4,6,3,1,0,2,13,0,0,18,38,24,122,4,14,5,0,3.44888888888889,14,24,6,0.0177777777777778,0.0666666666666667,0,0.435555555555556,0.00444444444444444,0.106666666666667,0.0622222222222222,0.106666666666667,0.124444444444444,0.0266666666666667,0.448888888888889,0.52,0.0311111111111111,0,0.237313580246914,0.762686419753087,9,2.57333333333333,5.42053499927229,6.36302810354047,19.5308601976068,19.2684434477117,101
10104,173,373,272079684,1633056271,77,93,3,0,31,4,20,0,60,12,14,3,3,7,9,4,2,3,1,0,0,0,38,123,5,7,141,13,12,5,1,1,3,28,0,0,38,33,16,74,6,5,1,0,3.64739884393064,5,16,7,0.0404624277456647,0.179190751445087,0.0173410404624277,0.346820809248555,0,0.0809248554913295,0.0289017341040462,0.092485549132948,0.115606936416185,0.0404624277456647,0.53757225433526,0.445086705202312,0.0173410404624277,0,0.185271809950216,0.814728190049785,9,2.15606936416185,5.15905529921453,5.92425579741453,19.4216055409148,21.2137191096184,101
10105,213,539,132765876,103524927,90,115,8,0,25,8,47,0,81,13,8,3,8,8,9,2,1,0,0,0,0,0,33,169,1,10,184,14,7,8,0,0,2,23,0,0,30,61,21,89,8,1,3,0,3.23004694835681,1,21,10,0.0375586854460094,0.117370892018779,0.0140845070422535,0.380281690140845,0,0.0375586854460094,0.00469483568075117,0.0985915492957746,0.220657276995305,0.0469483568075117,0.539906103286385,0.422535211267606,0.0375586854460094,0,0.222045890365668,0.777954109634332,9,2.53051643192488,5.36597601502185,6.29156913955832,18.704097811688,18.4553229919115,101
10106,1017,2059,889226340,999827259,407,594,15,1,78,30,77,5,464,43,229,2,5,26,2,2,35,6,11,2,0,0,104,858,48,7,947,19,25,25,1,0,7,71,0,0,82,71,73,693,26,43,29,0,3.33529990167158,43,73,7,0.0255653883972468,0.0766961651917404,0.00196656833824975,0.456243854473943,0.00491642084562439,0.225172074729597,0.0422812192723697,0.071779744346116,0.0757128810226155,0.00688298918387414,0.584070796460177,0.400196656833825,0.0147492625368732,0.000983284169124877,0.278144696501655,0.721855303498345,10,2.02458210422812,6.92559519711047,7.63046126178363,20.6058623628724,20.7230930820251,101
10107,217,435,142679628,310537014,107,105,5,0,25,13,18,1,102,23,9,0,0,13,4,1,4,1,2,0,1,0,39,171,6,1,184,10,10,13,0,0,3,22,0,0,26,26,36,111,13,5,0,0,3.29493087557604,5,36,2,0.0599078341013825,0.115207373271889,0,0.470046082949309,0.00460829493087558,0.0414746543778802,0.0230414746543779,0.165898617511521,0.0829493087557604,0.00921658986175115,0.483870967741936,0.493087557603687,0.0230414746543779,0,0.274565185075071,0.725434814924929,9,2.00460829493088,5.38449506278909,6.07764224334903,18.7761123182273,19.5538136631828,101
10108,278,452,150647916,242750200,109,166,3,0,23,8,48,5,113,28,21,1,3,8,4,6,8,1,1,0,0,0,31,224,14,9,253,11,6,7,1,0,0,22,1,0,29,60,36,134,8,9,1,1,4.01438848920863,9,36,9,0.0287769784172662,0.0827338129496403,0.00359712230215827,0.406474820143885,0.0179856115107914,0.0755395683453237,0.0323741007194245,0.129496402877698,0.172661870503597,0.0323741007194245,0.597122302158273,0.392086330935252,0.0107913669064748,0,0.227615030277936,0.772384969722064,10,1.62589928057554,5.63121178182137,6.11589212548303,18.8304559966942,19.3075434931477,101
10109,112,181,48182808,76980330,14,95,3,0,11,6,13,0,50,14,3,0,1,3,0,1,10,0,0,0,0,0,14,86,10,2,100,3,6,3,0,0,0,11,0,0,12,13,20,53,3,10,1,0,3.34821428571429,10,20,2,0.0267857142857143,0.0982142857142857,0,0.446428571428571,0,0.0267857142857143,0.0892857142857143,0.178571428571429,0.116071428571429,0.0178571428571429,0.848214285714286,0.125,0.0267857142857143,0,0.264030612244898,0.735969387755102,8,1.61607142857143,4.72738781871234,5.2040066870768,17.6905128556516,18.1590605056288,101
10201,171,798,94845948,37445495,140,15,15,1,3,2,34,0,75,41,8,4,0,1,0,3,0,0,0,0,0,0,4,164,0,3,168,1,1,1,0,0,0,3,0,0,10,32,43,83,1,0,2,0,3.27485380116959,0,43,3,0.00584795321637427,0.0175438596491228,0.0233918128654971,0.43859649122807,0,0.0467836257309942,0,0.251461988304094,0.198830409356725,0.0175438596491228,0.087719298245614,0.818713450292398,0.087719298245614,0.00584795321637427,0.298519202489655,0.701480797510345,8,4.66666666666667,5.14749447681345,6.68336094576628,18.3677645438918,17.4383969936721,102
10202,258,631,133249260,532405535,193,59,6,0,12,6,17,0,168,8,24,0,0,15,3,0,4,1,0,0,0,0,27,226,5,0,236,4,3,6,9,0,1,11,0,0,12,16,14,192,15,5,4,0,3.02325581395349,5,14,0,0.0581395348837209,0.0465116279069768,0,0.651162790697675,0,0.0930232558139535,0.0193798449612403,0.0542635658914729,0.0658914728682171,0,0.228682170542636,0.748062015503876,0.0232558139534884,0,0.445871642329187,0.554128357670813,7,2.44573643410853,5.55682806169954,6.44888939414686,18.7077320750286,20.092916042628,102
10203,161,607,78969576,107631572,81,63,17,0,12,7,4,0,98,5,11,2,1,6,0,3,11,1,0,0,0,0,18,127,12,4,143,8,4,1,5,0,0,12,0,0,17,5,12,109,6,12,0,0,3.6583850931677,12,12,4,0.0372670807453416,0.0745341614906832,0.0124223602484472,0.608695652173913,0,0.0683229813664596,0.0745341614906832,0.0745341614906832,0.0248447204968944,0.0248447204968944,0.391304347826087,0.503105590062112,0.105590062111801,0,0.394622121060144,0.605377878939856,9,3.77018633540373,5.08759633523238,6.41017488196617,18.1845732349949,18.494224592018,102
