sector,k,mean_y,beta,stars,beta_pp,pct_mean,se,pval,n
Agriculture,0,0.720107329491921,-0.0052046260682453,,-0.520462606824537,-0.722756991227619,0.0032169264253514,0.106129045493715,2142
Agriculture,25,0.700182939231398,-0.0055942145649366,,-0.559421456493666,-0.798964706434796,0.0039113901467121,0.153307869432252,1425
Agriculture,50,0.694993598544259,-0.0067814617377014,,-0.678146173770147,-0.975758877766067,0.0047316756636097,0.152580357448959,1203
Agriculture,100,0.685409208663891,-0.00401793159162,,-0.401793159162001,-0.586209163931779,0.0062648407153445,0.521768644673374,939
Manufacturing,0,0.046764737586215,0.001388031687112,,0.1388031687112,2.96811606085256,0.0009256138848839,0.134165973871812,2142
Manufacturing,25,0.0483216692392314,0.0002470536459538,,0.0247053645953874,0.511268856898875,0.0012591969370906,0.844538207558691,1425
Manufacturing,50,0.0489242405166616,-0.0005139527896222,,-0.051395278962223,-1.05050744619571,0.0014344090062673,0.720305724806801,1203
Manufacturing,100,0.049518817244869,0.0009740611764482,,0.097406117644827,1.96705258857773,0.0018437147072187,0.597656658541294,939
Construction,0,0.0401473022822958,0.0059038918964978,***,0.590389189649784,14.7055756199622,0.0014480454439083,5.07255544076535e-05,2142
Construction,25,0.0402643932172135,0.0077790092279936,***,0.777900922799366,19.3198223205014,0.0017110846979904,6.94197933671001e-06,1425
Construction,50,0.0399415515324181,0.0088411779546798,***,0.884117795467981,22.135289230074,0.0020067480424611,1.35563124633758e-05,1203
Construction,100,0.0398682733398838,0.0076324240421278,***,0.763242404212786,19.1441048300741,0.0022562794160442,0.0008091213172878,939
Trade (retail),0,0.0639627231195043,0.0022897334580202,**,0.228973345802022,3.57979358343173,0.0011453937172726,0.0459788309062089,2142
Trade (retail),25,0.0695151265963183,-0.0006726403527113,,-0.06726403527113,-0.967617244829882,0.0013063182512214,0.606853785399682,1425
Trade (retail),50,0.0715299702422609,0.0001973149135671,,0.0197314913567181,0.275849287926314,0.0015415475938349,0.898214930558776,1203
Trade (retail),100,0.0748141212661894,-0.0005657471752432,,-0.0565747175243232,-0.756203729547659,0.0021115286740696,0.788928316050195,939
Transport & accom.,0,0.0246027060823409,-0.0019686353043567,***,-0.196863530435678,-8.00170232399684,0.0004591758044313,2.05728778068169e-05,2142
Transport & accom.,25,0.029536697912072,0.0004992016918282,,0.0499201691828269,1.69010663722244,0.0007569609359258,0.509906932602925,1425
Transport & accom.,50,0.0299943084527386,-0.0004201232042308,,-0.042012320423083,-1.4006764146365,0.0008221543818074,0.609631006854182,1203
Transport & accom.,100,0.0312052844881973,-0.0004681552178684,,-0.046815521786849,-1.50024339001158,0.0011996504904544,0.69662315099615,939
Finance / real-est. / prof.,0,0.0104382815656756,-0.0024212590066621,***,-0.242125900666219,-23.1959541561329,0.0005529311948993,1.37128164721158e-05,2142
Finance / real-est. / prof.,25,0.0126102115190101,-0.002072993488911,***,-0.207299348891108,-16.4390064812633,0.0006772999267065,0.0023337200683414,1425
Finance / real-est. / prof.,50,0.0133266946927777,-0.0018454418272011,**,-0.184544182720112,-13.8477084509277,0.0007726420409123,0.0173810705568123,1203
