estimator,outcome,lag,threshold,beta,stars,se,pval,mean_y,sd_y,n,n_muni
ols_log,new_firms,0,25,0.191663323525036,***,0.0600856125031976,0.00151787165246816,79.4182456140351,320.860604059668,8550,475
ols_log,new_firms_size_1_worker,0,25,0.21673805986835,***,0.0783421023792368,0.00588651794045639,29.9445614035088,116.484290692013,8550,475
ols_log,new_firms_size_2_9_workers,0,25,0.251066838156156,***,0.0633619842038191,0.0000856135185536076,46.5661988304094,195.0462830316,8550,475
ols_log,new_firms_size_10_50_workers,0,25,0.13178553223503,**,0.0575868683279633,0.0225496803057064,2.66736842105263,12.4131607312176,8550,475
ols_log,new_firms_size_51plus_workers,0,25,-0.0579885130807766,*,0.0309960046024156,0.0619834065753018,0.240116959064327,1.32195971223134,8550,475
ols_log,new_firms_hospitality_food,0,25,0.245807499513526,***,0.0882749450459299,0.00557440550508383,12.3404678362573,64.9827657385989,8550,475
ols_log,new_firms_manufacturing,0,25,0.251728637286951,***,0.071735331409951,0.000492467634540071,8.97695906432749,28.62103594889,8550,475
ols_log,new_firms_construction,0,25,0.0835996338407461,***,0.0300021407538839,0.00554255549166864,0.116959064327485,0.654402024053691,8550,475
ols_log,new_firms_trade_retail,0,25,0.263449352124043,***,0.0661426474234835,0.0000787298405386176,44.4258479532164,182.29395949845,8550,475
ols_log,new_firms_transport_storage,0,25,0.0966399822307438,***,0.0347254290314913,0.005601391117746,0.151228070175439,1.0462160541515,8550,475
ols_log,new_firms_agriculture,0,25,0.157546837272775,*,0.0822754999349969,0.0561107456724154,1.60421052631579,2.97170830172805,8550,475
ols_log,new_firms_finance_prof_realestate,0,25,0.0114608683776234,"",0.0623485542677831,0.854233813754534,2.30842105263158,10.235144430088,8550,475
ols_log,new_firms,1,25,0.166911710324982,***,0.0589789916890831,0.00485214027026733,79.4182456140351,320.860604059668,8550,475
ols_log,new_firms_size_1_worker,1,25,0.172049626009365,**,0.079409157050506,0.0307612435358854,29.9445614035088,116.484290692013,8550,475
ols_log,new_firms_size_2_9_workers,1,25,0.219745810149114,***,0.0606048584923411,0.000319182848957734,46.5661988304094,195.0462830316,8550,475
ols_log,new_firms_size_10_50_workers,1,25,0.102629663579062,*,0.0582437484239041,0.0787017037953845,2.66736842105263,12.4131607312176,8550,475
ols_log,new_firms_size_51plus_workers,1,25,-0.0486526907845485,"",0.0302316218101078,0.108209714120662,0.240116959064327,1.32195971223134,8550,475
ols_log,new_firms_hospitality_food,1,25,0.194976115419317,**,0.0896787441187838,0.0301870040745796,12.3404678362573,64.9827657385989,8550,475
ols_log,new_firms_manufacturing,1,25,0.219412712673448,***,0.0702200257306504,0.00188934887362947,8.97695906432749,28.62103594889,8550,475
ols_log,new_firms_construction,1,25,0.0787928008927209,**,0.0322316353487881,0.0148653388421727,0.116959064327485,0.654402024053691,8550,475
ols_log,new_firms_trade_retail,1,25,0.244830858424191,***,0.0630027265212586,0.000116403374380451,44.4258479532164,182.29395949845,8550,475
ols_log,new_firms_transport_storage,1,25,0.0840542966190018,**,0.0346899633098947,0.0157659306597004,0.151228070175439,1.0462160541515,8550,475
ols_log,new_firms_agriculture,1,25,0.146280180382704,**,0.0724787078371866,0.0441279580916675,1.60421052631579,2.97170830172805,8550,475
ols_log,new_firms_finance_prof_realestate,1,25,-0.0588414340978377,"",0.0568719625288718,0.30136933518753,2.30842105263158,10.235144430088,8550,475
ols_log,new_firms,2,25,0.146236271753908,**,0.0610042614821223,0.016909405294068,83.0925077399381,329.649537651138,8075,475
ols_log,new_firms_size_1_worker,2,25,0.167801226193335,**,0.0772119442321712,0.0302556033743435,31.4377708978328,119.677012215777,8075,475
ols_log,new_firms_size_2_9_workers,2,25,0.180352570200879,***,0.0610501912212443,0.00329106582024606,48.661052631579,200.400632700978,8075,475
ols_log,new_firms_size_10_50_workers,2,25,0.106222888944046,*,0.060566635029802,0.0801078692552906,2.75021671826625,12.708733736807,8075,475
ols_log,new_firms_size_51plus_workers,2,25,-0.0556060537711643,*,0.03332635179218,0.0958707119068178,0.243467492260062,1.32061937554983,8075,475
ols_log,new_firms_hospitality_food,2,25,0.201422900996721,**,0.0856164110817396,0.0190495538347111,12.977213622291,66.8061461257992,8075,475
ols_log,new_firms_manufacturing,2,25,0.217731717629484,***,0.066884676597368,0.00121366618080494,9.38613003095975,29.3802723285711,8075,475
ols_log,new_firms_construction,2,25,0.0574841041205534,*,0.0295990863486662,0.0527181735416931,0.12,0.667991417654408,8075,475
ols_log,new_firms_trade_retail,2,25,0.204942223061012,***,0.0638590734747688,0.00142087063670673,46.501052631579,187.28558965065,8075,475
ols_log,new_firms_transport_storage,2,25,0.0741891882856673,**,0.0324363377371397,0.0226225472102659,0.155789473684211,1.06664338940048,8075,475
ols_log,new_firms_agriculture,2,25,0.137622014809615,**,0.0685175994463589,0.0451500214239042,1.65758513931889,3.03366918729631,8075,475
ols_log,new_firms_finance_prof_realestate,2,25,-0.0887609740045644,"",0.0599471310215223,0.139363106398158,2.39058823529412,10.5030050119542,8075,475
ols_log,new_firms,3,25,0.169402673159105,***,0.0577962134585048,0.00354157660763431,87.5364473684211,339.213983860003,7600,475
ols_log,new_firms_size_1_worker,3,25,0.189155396977765,***,0.0617076345154649,0.00229824635536353,33.1797368421053,123.136744236713,7600,475
ols_log,new_firms_size_2_9_workers,3,25,0.16663349903738,***,0.0617087612125147,0.00717511427123432,51.246052631579,206.238574238889,7600,475
ols_log,new_firms_size_10_50_workers,3,25,0.153296184184914,**,0.0682341649065265,0.0251238996700151,2.86118421052632,13.0561792849594,7600,475
ols_log,new_firms_size_51plus_workers,3,25,-0.0564855884526805,"",0.0356738583465078,0.113999817305534,0.249473684210526,1.33686520121667,7600,475
ols_log,new_firms_hospitality_food,3,25,0.151767903183153,*,0.0850204607477831,0.0748884864113262,13.7253947368421,68.7908080553384,7600,475
ols_log,new_firms_manufacturing,3,25,0.2193089594033,***,0.0634310581833459,0.000594470924723758,9.88736842105263,30.2065347193463,7600,475
ols_log,new_firms_construction,3,25,0.00816088538960126,"",0.0288311740084708,0.777256192137864,0.125789473684211,0.685778040150311,7600,475
ols_log,new_firms_trade_retail,3,25,0.193141266443275,***,0.0591160045841694,0.00116516067715609,49.0132894736842,192.719976379372,7600,475
ols_log,new_firms_transport_storage,3,25,0.0404755585572143,"",0.0326028291766813,0.215044758859601,0.163157894736842,1.09753844202894,7600,475
ols_log,new_firms_agriculture,3,25,0.211277773288588,***,0.068100527410986,0.00203390768383727,1.72907894736842,3.10116257406507,7600,475
ols_log,new_firms_finance_prof_realestate,3,25,-0.0604406091302469,"",0.0648495657460158,0.351804509481419,2.50710526315789,10.8036563943787,7600,475
ols_log,new_firms,4,25,0.130380362621535,**,0.0527006197011014,0.0137108251042233,90.3054035087719,349.161297880206,7125,475
ols_log,new_firms_size_1_worker,4,25,0.154172985927304,**,0.0683349431086569,0.0245169841102409,34.2785964912281,126.794177047824,7125,475
ols_log,new_firms_size_2_9_workers,4,25,0.102094109350623,*,0.0588087742536046,0.0832073880173118,52.8248421052632,212.300064612424,7125,475
ols_log,new_firms_size_10_50_workers,4,25,0.109996132734329,*,0.0654069498700418,0.0932819375212369,2.94849122807018,13.3778086058168,7125,475
ols_log,new_firms_size_51plus_workers,4,25,-0.0587300530931838,*,0.0348337653459186,0.0924520736463479,0.253473684210526,1.35138929315775,7125,475
ols_log,new_firms_hospitality_food,4,25,0.11825382532261,"",0.0742011460694564,0.111671443266463,14.2435087719298,70.9510635066798,7125,475
ols_log,new_firms_manufacturing,4,25,0.138984553635702,**,0.0659790963307045,0.0356865185452467,10.192701754386,31.0827634497589,7125,475
ols_log,new_firms_construction,4,25,0.0302332534114559,"",0.0289305060727189,0.296541634827414,0.131087719298246,0.703281399087164,7125,475
ols_log,new_firms_trade_retail,4,25,0.182358006221793,***,0.0619718127263933,0.00341428295766507,50.4698947368421,198.240259686115,7125,475
ols_log,new_firms_transport_storage,4,25,0.0189738120288506,"",0.0354335913745224,0.592572393530079,0.167578947368421,1.12185118235746,7125,475
ols_log,new_firms_agriculture,4,25,0.222826241225878,***,0.0688319216549755,0.00129144184068808,1.78301754385965,3.17018113758315,7125,475
ols_log,new_firms_finance_prof_realestate,4,25,-0.0596906636032065,"",0.0724077236354309,0.410144700440254,2.61277192982456,11.1179339631255,7125,475
ols_log,new_firms,5,25,0.088011729723346,*,0.048266336848788,0.0688633933803021,95.7992481203008,360.651303144679,6650,475
ols_log,new_firms_size_1_worker,5,25,0.119975344386235,"",0.0730290686025507,0.101078440722129,36.4545864661654,130.956574567627,6650,475
ols_log,new_firms_size_2_9_workers,5,25,0.069182154414946,"",0.055295094240068,0.211498914571014,56.0227067669173,219.308923452838,6650,475
ols_log,new_firms_size_10_50_workers,5,25,0.0634130749792687,"",0.0556975729420136,0.255476455852194,3.06421052631579,13.7795940407327,6650,475
ols_log,new_firms_size_51plus_workers,5,25,-0.0651050523893759,**,0.0320564214648761,0.0428174313601142,0.257744360902256,1.35269466228075,6650,475
ols_log,new_firms_hospitality_food,5,25,0.0929552238050675,"",0.0682300675769186,0.173725239197991,15.1615037593985,73.3491830477809,6650,475
ols_log,new_firms_manufacturing,5,25,0.0686868595921413,"",0.059604544438078,0.249747357153047,10.8066165413534,32.0744155345083,6650,475
ols_log,new_firms_construction,5,25,0.0619039151863801,**,0.0254154896801185,0.015231484688196,0.138496240601504,0.724851073268649,6650,475
ols_log,new_firms_trade_retail,5,25,0.16346567928347,***,0.0619824239980683,0.00863165558675884,53.6278195488722,204.762489049754,6650,475
ols_log,new_firms_transport_storage,5,25,0.00121580971901726,"",0.0302831850765178,0.967992027929823,0.176992481203008,1.15816949206943,6650,475
ols_log,new_firms_agriculture,5,25,0.143922640352973,**,0.0703170733774316,0.0412319729599918,1.87052631578947,3.2442441402883,6650,475
ols_log,new_firms_finance_prof_realestate,5,25,-0.0365299855009074,"",0.0715917976700877,0.610111199299419,2.76105263157895,11.4770580934449,6650,475
