outcome_group,dataset,outcome,spec,threshold,beta,stars,se,pval,mean_y,sd_y,n,n_muni,interpret,err
Assets / amenities,census,amen_cooking_kerosene,S_levels,25,0.00118638091674374,"",0.00116140427753694,0.307536045145547,0.0231593404006335,0.0628736066244297,1425,475,+0.12pp (+5% of mean),""
Assets / amenities,census,amen_cooking_lpg,S0_baseline,25,0.00409877603291266,"",0.00718772601620247,0.568780674988034,0.147392857949522,0.218559292389676,1425,475,+0.41pp (+3% of mean),
Assets / amenities,census,amen_cooking_lpg,S_levels,25,0.00671161820692978,*,0.0035596544484429,0.0599778554270528,0.147392857949522,0.218559292389676,1425,475,+0.67pp (+5% of mean),""
Assets / amenities,census,amen_cooking_modern,S0_baseline,25,0.00406483383941117,"",0.00666411143362611,0.542181354667733,0.164312430867186,0.223207274656949,1425,475,+0.41pp (+2% of mean),
Assets / amenities,census,amen_cooking_modern,S_levels,25,0.007926053668727,**,0.00337028910148717,0.0190940026570928,0.164312430867186,0.223207274656949,1425,475,+0.79pp (+5% of mean),""
Assets / amenities,census,amen_cooking_traditional,S0_baseline,25,-0.00350786550024643,"",0.00664763405724851,0.597963992279355,0.830846952009908,0.222060036708862,1425,475,-0.35pp (-0% of mean),
Assets / amenities,census,amen_cooking_traditional,S_levels,25,-0.00749464533254367,**,0.00336620146705239,0.0264539639428907,0.830846952009908,0.222060036708862,1425,475,-0.75pp (-1% of mean),""
Assets / amenities,census,amen_cooking_wood,S0_baseline,25,0.00570822971575282,"",0.00927298700569701,0.538469740458495,0.722266412318828,0.277180338058469,1425,475,+0.57pp (+1% of mean),
Assets / amenities,census,amen_cooking_wood,S_levels,25,0.0143481179276126,***,0.00474925588707333,0.00265447270942753,0.722266412318828,0.277180338058469,1425,475,+1.43pp (+2% of mean),""
Assets / amenities,census,amen_lighting_biogas,S0_baseline,25,0.000256850140491384,**,0.000111684012238058,0.021893635978805,0.00176961893489486,0.00272718600928573,1425,475,+0.03pp (+15% of mean),
Assets / amenities,census,amen_lighting_biogas,S_levels,25,-0.00000182860877666556,"",0.0000583069769676495,0.974994246816383,0.00176961893489486,0.00272718600928573,1425,475,-0.00pp (-0% of mean),""
Assets / amenities,census,amen_lighting_electricity,S0_baseline,25,0.0128180631866533,"",0.00786052397731006,0.103620385500588,0.659417391464645,0.35616188377898,1425,475,+1.28pp (+2% of mean),
Assets / amenities,census,amen_lighting_electricity,S_levels,25,0.00943405171423142,**,0.00377795441697157,0.0128584229628412,0.659417391464645,0.35616188377898,1425,475,+0.94pp (+1% of mean),""
