outcome_group,dataset,outcome,spec,threshold,lag,treatment_kind,c_mig_log_flag,scale_form,beta,stars,se,pval,mean_y,sd_y,n,n_muni,interpret,err
Credit,nec_cs,share_borrowed,S_log_lin_lag6,0,6,log_int,FALSE,log/lin,-0.0151509412670586,"",0.0098416322309304,0.127897196835565,0.342448220233176,0.128250215490881,714,714,-1.52pp (-4% of mean),""
Credit,nec_cs,share_borrowed,S_log_lin_lag6,25,6,log_int,FALSE,log/lin,0.00702849414584612,"",0.0082929086920992,0.400244212179208,0.338428284527563,0.118749959477411,469,475,+0.70pp (+2% of mean),""
Credit,nec_cs,share_borrowed,S_log_lin_lag6,50,6,log_int,FALSE,log/lin,0.00599947329634789,"",0.00692485662052131,0.389985353851304,0.335575784090851,0.111652629279119,399,401,+0.60pp (+2% of mean),""
Credit,nec_cs,share_borrowed,S_log_lin_lag6,100,6,log_int,FALSE,log/lin,0.00440964710319246,"",0.006776092724797,0.518366853627015,0.336906712465201,0.106144942123757,305,313,+0.44pp (+1% of mean),""
Credit,nec_cs,share_borrowed,S_log_lin_lag7,0,7,log_int,FALSE,log/lin,-0.0127560947544961,"",0.0092798790037951,0.173349670314117,0.342448220233176,0.128250215490881,714,714,-1.28pp (-4% of mean),""
Credit,nec_cs,share_borrowed,S_log_lin_lag7,25,7,log_int,FALSE,log/lin,0.0071054155059617,"",0.00836468086711914,0.399182215406214,0.338428284527563,0.118749959477411,469,475,+0.71pp (+2% of mean),""
Credit,nec_cs,share_borrowed,S_log_lin_lag7,50,7,log_int,FALSE,log/lin,0.00627425903484924,"",0.00699219922305944,0.373388393846389,0.335575784090851,0.111652629279119,399,401,+0.63pp (+2% of mean),""
Credit,nec_cs,share_borrowed,S_log_lin_lag7,100,7,log_int,FALSE,log/lin,0.00497539295919926,"",0.00699974257512294,0.480722899453142,0.336906712465201,0.106144942123757,305,313,+0.50pp (+1% of mean),""
Credit,nec_cs,share_borrowed,S_log_lin_lag8,0,8,log_int,FALSE,log/lin,-0.0105595732217794,"",0.00914258053649119,0.25176186172067,0.342448220233176,0.128250215490881,714,714,-1.06pp (-3% of mean),""
Credit,nec_cs,share_borrowed,S_log_lin_lag8,25,8,log_int,FALSE,log/lin,0.00758401755281521,"",0.00851006810565213,0.37657814446396,0.338428284527563,0.118749959477411,469,475,+0.76pp (+2% of mean),""
Credit,nec_cs,share_borrowed,S_log_lin_lag8,50,8,log_int,FALSE,log/lin,0.00701757456586634,"",0.00699536115257,0.32009137280114,0.335575784090851,0.111652629279119,399,401,+0.70pp (+2% of mean),""
Credit,nec_cs,share_borrowed,S_log_lin_lag8,100,8,log_int,FALSE,log/lin,0.00559508417177183,"",0.00710864023919679,0.435184881931881,0.336906712465201,0.106144942123757,305,313,+0.56pp (+2% of mean),""
Credit,nec_cs,share_borrowed,S_log_lin_lag9,0,9,log_int,FALSE,log/lin,-0.00907566329303865,"",0.00948220116324174,0.341578713435625,0.342448220233176,0.128250215490881,714,714,-0.91pp (-3% of mean),""
Credit,nec_cs,share_borrowed,S_log_lin_lag9,25,9,log_int,FALSE,log/lin,0.00777474657786914,"",0.00851767307622462,0.365203859832084,0.338428284527563,0.118749959477411,469,475,+0.78pp (+2% of mean),""
Credit,nec_cs,share_borrowed,S_log_lin_lag9,50,9,log_int,FALSE,log/lin,0.00734323245357393,"",0.00701701417622485,0.299831072802924,0.335575784090851,0.111652629279119,399,401,+0.73pp (+2% of mean),""
Credit,nec_cs,share_borrowed,S_log_lin_lag9,100,9,log_int,FALSE,log/lin,0.00630447342210138,"",0.00698480479349275,0.371341786045376,0.336906712465201,0.106144942123757,305,313,+0.63pp (+2% of mean),""
Credit,nec_cs,share_borrowed,S_log_lin_lag10,0,10,log_int,FALSE,log/lin,-0.0116495788651655,"",0.00909848667452043,0.204355052588412,0.342448220233176,0.128250215490881,714,714,-1.16pp (-3% of mean),""
Credit,nec_cs,share_borrowed,S_log_lin_lag10,25,10,log_int,FALSE,log/lin,0.00642267133832732,"",0.00873156017171657,0.465008684047676,0.338428284527563,0.118749959477411,469,475,+0.64pp (+2% of mean),""
Credit,nec_cs,share_borrowed,S_log_lin_lag10,50,10,log_int,FALSE,log/lin,0.00623952615114382,"",0.00731344824306745,0.397206257160452,0.335575784090851,0.111652629279119,399,401,+0.62pp (+2% of mean),""
Credit,nec_cs,share_borrowed,S_log_lin_lag10,100,10,log_int,FALSE,log/lin,0.00562706511174401,"",0.00713086993186467,0.434008497381975,0.336906712465201,0.106144942123757,305,313,+0.56pp (+2% of mean),""
Credit,nec_cs,share_borrowed,S_log_log_lag0,0,0,log_int,TRUE,log/log,-0.0120810966193743,"",0.0110419367106857,0.277408116349245,0.342448220233176,0.128250215490881,714,714,-1.21pp (-4% of mean),""
Credit,nec_cs,share_borrowed,S_log_log_lag0,25,0,log_int,TRUE,log/log,0.00753645618050846,"",0.00927465496474935,0.41983635001326,0.338428284527563,0.118749959477411,469,475,+0.75pp (+2% of mean),""
Credit,nec_cs,share_borrowed,S_log_log_lag0,50,0,log_int,TRUE,log/log,0.00742421941034382,"",0.00791873195545907,0.352500967903577,0.335575784090851,0.111652629279119,399,401,+0.74pp (+2% of mean),""
Credit,nec_cs,share_borrowed,S_log_log_lag0,100,0,log_int,TRUE,log/log,0.00513117179377579,"",0.00668961885390645,0.446896756216301,0.336906712465201,0.106144942123757,305,313,+0.51pp (+2% of mean),""
Credit,nec_cs,share_borrowed,S_log_log_lag1,0,1,log_int,TRUE,log/log,-0.010688745548042,"",0.0111517197326533,0.34089841229294,0.342448220233176,0.128250215490881,714,714,-1.07pp (-3% of mean),""
Credit,nec_cs,share_borrowed,S_log_log_lag1,25,1,log_int,TRUE,log/log,0.00733943143203952,"",0.00897026447885828,0.416652856102917,0.338428284527563,0.118749959477411,469,475,+0.73pp (+2% of mean),""
Credit,nec_cs,share_borrowed,S_log_log_lag1,50,1,log_int,TRUE,log/log,0.00736601516128642,"",0.00787134022333625,0.35339331902473,0.335575784090851,0.111652629279119,399,401,+0.74pp (+2% of mean),""
Credit,nec_cs,share_borrowed,S_log_log_lag1,100,1,log_int,TRUE,log/log,0.00596147931908371,"",0.00692907296340247,0.393959705323646,0.336906712465201,0.106144942123757,305,313,+0.60pp (+2% of mean),""
Credit,nec_cs,share_borrowed,S_log_log_lag2,0,2,log_int,TRUE,log/log,-0.0088681716444592,"",0.0112615336403669,0.433485708046095,0.342448220233176,0.128250215490881,714,714,-0.89pp (-3% of mean),""
Credit,nec_cs,share_borrowed,S_log_log_lag2,25,2,log_int,TRUE,log/log,0.00780917834024482,"",0.00884939838164101,0.381238343893163,0.338428284527563,0.118749959477411,469,475,+0.78pp (+2% of mean),""
Credit,nec_cs,share_borrowed,S_log_log_lag2,50,2,log_int,TRUE,log/log,0.00776229821744229,"",0.00788942749842663,0.329403411176509,0.335575784090851,0.111652629279119,399,401,+0.78pp (+2% of mean),""
Credit,nec_cs,share_borrowed,S_log_log_lag2,100,2,log_int,TRUE,log/log,0.00608927475443838,"",0.00673789445357481,0.370744594782725,0.336906712465201,0.106144942123757,305,313,+0.61pp (+2% of mean),""
Credit,nec_cs,share_borrowed,S_log_log_lag3,0,3,log_int,TRUE,log/log,-0.0103147609334496,"",0.0110558696199496,0.353830893296577,0.342448220233176,0.128250215490881,714,714,-1.03pp (-3% of mean),""
Credit,nec_cs,share_borrowed,S_log_log_lag3,25,3,log_int,TRUE,log/log,0.00718604940777087,"",0.0090570991773814,0.430825855275509,0.338428284527563,0.118749959477411,469,475,+0.72pp (+2% of mean),""
Credit,nec_cs,share_borrowed,S_log_log_lag3,50,3,log_int,TRUE,log/log,0.00726890328272743,"",0.00787299087761514,0.359827180937921,0.335575784090851,0.111652629279119,399,401,+0.73pp (+2% of mean),""
Credit,nec_cs,share_borrowed,S_log_log_lag3,100,3,log_int,TRUE,log/log,0.00552593057053777,"",0.00695798514106813,0.431079308403955,0.336906712465201,0.106144942123757,305,313,+0.55pp (+2% of mean),""
Credit,nec_cs,share_borrowed,S_log_log_lag4,0,4,log_int,TRUE,log/log,-0.0143937173721588,"",0.00967201969944666,0.140895876654971,0.342448220233176,0.128250215490881,714,714,-1.44pp (-4% of mean),""
Credit,nec_cs,share_borrowed,S_log_log_lag4,25,4,log_int,TRUE,log/log,0.00570383363279097,"",0.00887759569611135,0.523126159714576,0.338428284527563,0.118749959477411,469,475,+0.57pp (+2% of mean),""
Credit,nec_cs,share_borrowed,S_log_log_lag4,50,4,log_int,TRUE,log/log,0.00533340219546893,"",0.00726695981160049,0.466056363615319,0.335575784090851,0.111652629279119,399,401,+0.53pp (+2% of mean),""
Credit,nec_cs,share_borrowed,S_log_log_lag4,100,4,log_int,TRUE,log/log,0.00288116522868186,"",0.00677777937920171,0.672711141720453,0.336906712465201,0.106144942123757,305,313,+0.29pp (+1% of mean),""
Credit,nec_cs,share_borrowed,S_log_log_lag5,0,5,log_int,TRUE,log/log,-0.0148770613950054,"",0.00936536569170006,0.116376098120877,0.342448220233176,0.128250215490881,714,714,-1.49pp (-4% of mean),""
Credit,nec_cs,share_borrowed,S_log_log_lag5,25,5,log_int,TRUE,log/log,0.00594666790146154,"",0.00871135326165731,0.497603046827699,0.338428284527563,0.118749959477411,469,475,+0.59pp (+2% of mean),""
Credit,nec_cs,share_borrowed,S_log_log_lag5,50,5,log_int,TRUE,log/log,0.00529348017176913,"",0.00704607116512298,0.455637678125027,0.335575784090851,0.111652629279119,399,401,+0.53pp (+2% of mean),""
Credit,nec_cs,share_borrowed,S_log_log_lag5,100,5,log_int,TRUE,log/log,0.00274507726932392,"",0.00674061399530471,0.685677397991747,0.336906712465201,0.106144942123757,305,313,+0.27pp (+1% of mean),""
Credit,nec_cs,share_borrowed,S_log_log_lag6,0,6,log_int,TRUE,log/log,-0.0151816240430071,"",0.00969563003755158,0.12160030994595,0.342448220233176,0.128250215490881,714,714,-1.52pp (-4% of mean),""
Credit,nec_cs,share_borrowed,S_log_log_lag6,25,6,log_int,TRUE,log/log,0.00632242410515018,"",0.00840957538956861,0.455257054765726,0.338428284527563,0.118749959477411,469,475,+0.63pp (+2% of mean),""
Credit,nec_cs,share_borrowed,S_log_log_lag6,50,6,log_int,TRUE,log/log,0.0052695768544862,"",0.00694488698362502,0.451171635064664,0.335575784090851,0.111652629279119,399,401,+0.53pp (+2% of mean),""
Credit,nec_cs,share_borrowed,S_log_log_lag6,100,6,log_int,TRUE,log/log,0.00282034426643411,"",0.00675190017119691,0.678060478433392,0.336906712465201,0.106144942123757,305,313,+0.28pp (+1% of mean),""
Credit,nec_cs,share_borrowed,S_log_log_lag7,0,7,log_int,TRUE,log/log,-0.012751989181697,"",0.0090340098939352,0.162216709783594,0.342448220233176,0.128250215490881,714,714,-1.28pp (-4% of mean),""
Credit,nec_cs,share_borrowed,S_log_log_lag7,25,7,log_int,TRUE,log/log,0.00623823308032292,"",0.0084533654360968,0.463567093796217,0.338428284527563,0.118749959477411,469,475,+0.62pp (+2% of mean),""
Credit,nec_cs,share_borrowed,S_log_log_lag7,50,7,log_int,TRUE,log/log,0.00541117345587666,"",0.0069967133196586,0.442545341646463,0.335575784090851,0.111652629279119,399,401,+0.54pp (+2% of mean),""
Credit,nec_cs,share_borrowed,S_log_log_lag7,100,7,log_int,TRUE,log/log,0.00324194558577229,"",0.0069446208331239,0.642779585816026,0.336906712465201,0.106144942123757,305,313,+0.32pp (+1% of mean),""
Credit,nec_cs,share_borrowed,S_log_log_lag8,0,8,log_int,TRUE,log/log,-0.010599475194359,"",0.00887153972763022,0.235940414780739,0.342448220233176,0.128250215490881,714,714,-1.06pp (-3% of mean),""
Credit,nec_cs,share_borrowed,S_log_log_lag8,25,8,log_int,TRUE,log/log,0.00666013511072111,"",0.00857802492846539,0.440712081993488,0.338428284527563,0.118749959477411,469,475,+0.67pp (+2% of mean),""
Credit,nec_cs,share_borrowed,S_log_log_lag8,50,8,log_int,TRUE,log/log,0.00610447135952978,"",0.00698491545274604,0.385877684768229,0.335575784090851,0.111652629279119,399,401,+0.61pp (+2% of mean),""
Credit,nec_cs,share_borrowed,S_log_log_lag8,100,8,log_int,TRUE,log/log,0.00373840075469789,"",0.00707830776517906,0.599880950158526,0.336906712465201,0.106144942123757,305,313,+0.37pp (+1% of mean),""
Credit,nec_cs,share_borrowed,S_log_log_lag9,0,9,log_int,TRUE,log/log,-0.00918243470680651,"",0.0092166795263681,0.322315500945146,0.342448220233176,0.128250215490881,714,714,-0.92pp (-3% of mean),""
Credit,nec_cs,share_borrowed,S_log_log_lag9,25,9,log_int,TRUE,log/log,0.00682685495872979,"",0.00857738858231628,0.429384909252101,0.338428284527563,0.118749959477411,469,475,+0.68pp (+2% of mean),""
