dataset,outcome,sample,threshold,beta,stars,mean_y,beta_pp,pct_of_mean,se,pval,n,n_unit,n_muni,n_years,sd_y,r2_within,err,group,spec,lag
census,absent_hh_share,full,0,0.00600224465466951,***,0.212706407126807,0.600224465466951,2.8218447839661,0.00207296488236959,0.00390148798852192,2142,714,714,3,0.135023030004202,0.26648414725708,,curated,net_full,0
census,absent_hh_share,full,25,0.00633557221410122,**,0.237475060617869,0.633557221410122,2.66788950284597,0.00278834661245888,0.0235239474392341,1425,475,475,3,0.133108691850646,0.322787199451,,curated,net_full,0
census,absent_hh_share,full,50,0.00761507401302318,**,0.251692561690551,0.761507401302318,3.02554591278931,0.00344913376818473,0.0278234956641399,1203,401,401,3,0.132236249443768,0.335366521179194,,curated,net_full,0
census,absent_hh_share,full,100,0.0134115767898978,***,0.266911919398183,1.34115767898978,5.02472007250086,0.0038496980476613,0.000565046279072997,939,313,313,3,0.130636261406532,0.358430808496852,,curated,net_full,0
census,absent_hh_share,receiver,0,0.0071800926082722,***,0.192640256641289,0.71800926082722,3.72720257616874,0.00221774598405115,0.00127648061259412,1692,564,564,3,0.127904329889813,0.212816409883012,,curated,net_receiver,0
census,absent_hh_share,receiver,25,0.00737116208216964,**,0.213469771937437,0.737116208216964,3.45302382406158,0.00328764711908295,0.0256063984052756,1014,338,338,3,0.126324193495333,0.26334721364866,,curated,net_receiver,0
census,absent_hh_share,receiver,50,0.00733786762564869,*,0.226612067650682,0.733786762564869,3.23807452167988,0.00437401631876721,0.0945945796488863,804,268,268,3,0.126939185637084,0.277288200748054,,curated,net_receiver,0
census,absent_hh_share,receiver,100,0.0128696706148245,**,0.239849602856691,1.28696706148245,5.36572521344308,0.0050126818500746,0.011036001390649,558,186,186,3,0.125966869592542,0.308288998171682,,curated,net_receiver,0
census,absent_hh_share,sender,0,0.010905066294452,"",0.288155132952355,1.0905066294452,3.78444283907832,0.00690194827911281,0.116227811394584,450,150,150,3,0.134530286941811,0.343467648436142,,curated,net_sender,0
census,absent_hh_share,sender,25,0.0284572624877524,***,0.296699787435284,2.84572624877524,9.59126487205842,0.00490244793401554,0.0000000433261826344603,411,137,137,3,0.131029118658485,0.488251077091256,,curated,net_sender,0
