beta,se,pval,n,n_muni,mean_y,sd_y,dataset,outcome,lag,estimator,threshold,err,stars,outcome_group
-0.12317412977696537,0.07334328365561585,0.09854437479357414,469,475,1634.6273684210526,4262.35412486425,nec_cs_full,n_firms,0,ols_log,25,,*,Stock — aggregate
-0.0773329829149345,0.07545212572026125,0.3097273726596841,469,475,598.9452631578947,1357.8884953389686,nec_cs_full,n_firms_size_1_worker,0,ols_log,25,,,Stock — by size
-0.1457618278458883,0.07372378022801902,0.052870319142286126,469,475,956.8463157894737,2620.0517290368953,nec_cs_full,n_firms_size_2_9_workers,0,ols_log,25,,*,Stock — by size
-0.11603324004323395,0.0996606587369599,0.24915931263389268,469,475,71.21263157894737,262.88251825769515,nec_cs_full,n_firms_size_10_50_workers,0,ols_log,25,,,Stock — by size
-0.08375214113739494,0.11113234345836492,0.45417612707408095,469,475,7.623157894736842,39.15751877898411,nec_cs_full,n_firms_size_51plus_workers,0,ols_log,25,,,Stock — by size
-0.08848902584811075,0.08398017007329896,0.2964712751685781,469,475,182.62315789473683,371.10674805225824,nec_cs_full,n_firms_manufacturing,0,ols_log,25,,,Stock — by industry
-0.13614007055370902,0.07104640632823152,0.0603574104792306,469,475,241.25894736842105,706.1707326779217,nec_cs_full,n_firms_hospitality,0,ols_log,25,,*,Stock — by industry
-0.1279738390613973,0.0854594385326073,0.13978583906321895,469,475,882.3747368421052,2410.640406927654,nec_cs_full,n_firms_trade_retail,0,ols_log,25,,,Stock — by industry
-0.12719071245936245,0.09539896705534306,0.18775378843949042,469,475,2.7978947368421054,10.259357969106222,nec_cs_full,n_firms_construction,0,ols_log,25,,,Stock — by industry
-0.10877897529309623,0.08057499181689182,0.18234187540834368,469,475,5.395789473684211,17.557475932975667,nec_cs_full,n_firms_transport,0,ols_log,25,,,Stock — by industry
0.019235690916833352,0.09508814977874243,0.8404077815009217,469,475,39.216842105263154,39.8295065141759,nec_cs_full,n_firms_agriculture,0,ols_log,25,,,Stock — by industry
-0.09879911226927479,0.09876990026458429,0.3213950730027766,469,475,54.4,213.38167305704695,nec_cs_full,n_firms_finance_prof_info,0,ols_log,25,,,Stock — by industry
-0.059986807269037636,0.0806442736318322,0.460025896500148,469,475,96.45894736842105,156.147609148432,nec_cs_full,n_firms_social_services,0,ols_log,25,,,Stock — by industry
-0.128522782569345,0.06966856692812531,0.07026828112538053,469,475,1634.6273684210526,4262.35412486425,nec_cs_full,n_firms,1,ols_log,25,,*,Stock — aggregate
-0.07916737012784139,0.07145080774104459,0.27251614909179933,469,475,598.9452631578947,1357.8884953389686,nec_cs_full,n_firms_size_1_worker,1,ols_log,25,,,Stock — by size
-0.15486545848589756,0.07050735697972293,0.03214269156476779,469,475,956.8463157894737,2620.0517290368953,nec_cs_full,n_firms_size_2_9_workers,1,ols_log,25,,**,Stock — by size
-0.12148892184764373,0.0955979268081768,0.20895056134794854,469,475,71.21263157894737,262.88251825769515,nec_cs_full,n_firms_size_10_50_workers,1,ols_log,25,,,Stock — by size
-0.08535211351776313,0.10787327376704416,0.43209239174049485,469,475,7.623157894736842,39.15751877898411,nec_cs_full,n_firms_size_51plus_workers,1,ols_log,25,,,Stock — by size
-0.09803664735071581,0.08020084777756707,0.22659117013754937,469,475,182.62315789473683,371.10674805225824,nec_cs_full,n_firms_manufacturing,1,ols_log,25,,,Stock — by industry
-0.140529180414155,0.06706109624220687,0.04057604068134646,469,475,241.25894736842105,706.1707326779217,nec_cs_full,n_firms_hospitality,1,ols_log,25,,**,Stock — by industry
-0.13233615732402146,0.08120178980118102,0.10867531885124437,469,475,882.3747368421052,2410.640406927654,nec_cs_full,n_firms_trade_retail,1,ols_log,25,,,Stock — by industry
-0.13084716929978465,0.09317335600596723,0.1656430655890231,469,475,2.7978947368421054,10.259357969106222,nec_cs_full,n_firms_construction,1,ols_log,25,,,Stock — by industry
-0.11423790600181692,0.07732446355925138,0.1450771238751285,469,475,5.395789473684211,17.557475932975667,nec_cs_full,n_firms_transport,1,ols_log,25,,,Stock — by industry
0.014562108766249974,0.09034973927405379,0.8725255742819777,469,475,39.216842105263154,39.8295065141759,nec_cs_full,n_firms_agriculture,1,ols_log,25,,,Stock — by industry
-0.1080139665031703,0.094909236573635,0.2598496486667028,469,475,54.4,213.38167305704695,nec_cs_full,n_firms_finance_prof_info,1,ols_log,25,,,Stock — by industry
-0.061503050145743164,0.07752165579339484,0.4308548378164414,469,475,96.45894736842105,156.147609148432,nec_cs_full,n_firms_social_services,1,ols_log,25,,,Stock — by industry
-0.12730780370708403,0.0712926925183814,0.0794668353357344,469,475,1634.6273684210526,4262.35412486425,nec_cs_full,n_firms,2,ols_log,25,,*,Stock — aggregate
-0.0790381078701628,0.0729216924465784,0.28298304172049504,469,475,598.9452631578947,1357.8884953389686,nec_cs_full,n_firms_size_1_worker,2,ols_log,25,,,Stock — by size
-0.1523572919629123,0.07193618448729173,0.038552338243751594,469,475,956.8463157894737,2620.0517290368953,nec_cs_full,n_firms_size_2_9_workers,2,ols_log,25,,**,Stock — by size
-0.12175381169360787,0.09641513241792317,0.21179981931440528,469,475,71.21263157894737,262.88251825769515,nec_cs_full,n_firms_size_10_50_workers,2,ols_log,25,,,Stock — by size
-0.08716927412012507,0.10700032145992719,0.4186556160128163,469,475,7.623157894736842,39.15751877898411,nec_cs_full,n_firms_size_51plus_workers,2,ols_log,25,,,Stock — by size
-0.09786123922377349,0.08181484335512233,0.2365976191075967,469,475,182.62315789473683,371.10674805225824,nec_cs_full,n_firms_manufacturing,2,ols_log,25,,,Stock — by industry
-0.141499033782869,0.06815091930257251,0.04239029785609594,469,475,241.25894736842105,706.1707326779217,nec_cs_full,n_firms_hospitality,2,ols_log,25,,**,Stock — by industry
-0.12964877376669373,0.0822496031855723,0.12049469351857334,469,475,882.3747368421052,2410.640406927654,nec_cs_full,n_firms_trade_retail,2,ols_log,25,,,Stock — by industry
-0.13242659511263127,0.09354696779659546,0.16232891441385866,469,475,2.7978947368421054,10.259357969106222,nec_cs_full,n_firms_construction,2,ols_log,25,,,Stock — by industry
-0.1124775061935573,0.0799964941812804,0.16514319067979466,469,475,5.395789473684211,17.557475932975667,nec_cs_full,n_firms_transport,2,ols_log,25,,,Stock — by industry
