lgcode,n_firms,emp_total,rev_total,cap_total,n_firms_size_2_9_workers,n_firms_size_1_worker,n_firms_size_10_50_workers,n_firms_size_51plus_workers,n_firms_manufacturing,n_firms_education,n_firms_other_services,n_firms_transport,n_firms_trade_retail,n_firms_health,n_firms_hospitality,n_firms_construction,n_firms_water_waste,n_firms_agriculture,n_firms_arts,n_firms_energy,n_firms_finance,n_firms_prof_tech,n_firms_admin_sup,n_firms_info_comm,n_firms_mining,n_firms_real_estate,n_firms_surviving_trd_tradable_goods,n_firms_surviving_trd_non_tradable_services,n_firms_surviving_trd_tradable_services,n_firms_surviving_trd_non_tradable_utilities,n_firms_surviving_agor_not_ag,n_firms_surviving_agor_agro_processing,n_firms_surviving_agor_agro_downstream_manuf,n_firms_surviving_agor_crop_livestock_primary,n_firms_surviving_agor_forestry_primary,n_firms_surviving_agor_fishery_primary,n_firms_surviving_mtier_medium_low_tech,n_firms_surviving_mtier_low_tech,n_firms_surviving_mtier_high_tech,n_firms_surviving_mtier_medium_high_tech,n_firms_surviving_modern_industrial_sector,n_firms_surviving_modern_other,n_firms_surviving_modern_public_sector,n_firms_surviving_modern_traditional_commerce,n_firms_surviving_modern_traditional_agriculture,n_firms_surviving_modern_modern_services,n_firms_surviving_modern_traditional_services,n_firms_surviving_modern_modern_manuf,median_firm_age_years_wmean,n_firms_finance_prof_info,n_firms_social_services,n_firms_utilities_mining,share_agriculture,share_manufacturing,share_construction,share_trade_retail,share_transport,share_hospitality,share_finance_prof_info,share_social_services,share_other_services,share_utilities_mining,share_size_1_worker,share_size_2_9_workers,share_size_10_50_workers,share_size_51plus_workers,industry_hhi,industry_diversity,n_industries_present,mean_emp_per_firm,log_n_firms,log_emp_total,log_rev_total,log_cap_total,DIST
40604,853,2064,1047436368,1354412870,498,328,26,1,145,25,53,1,417,52,91,0,2,29,2,1,26,5,0,3,1,0,175,640,35,3,733,42,49,22,5,2,20,125,0,0,146,34,77,508,27,34,27,0,5.03985932004689,34,77,4,0.0339976553341149,0.169988276670574,0,0.488862837045721,0.00117233294255569,0.106682297772567,0.0398593200468933,0.0902696365767878,0.0621336459554514,0.00468933177022274,0.384525205158265,0.583821805392732,0.0304806565064478,0.00117233294255569,0.294041167715078,0.705958832284922,9,2.41969519343494,6.74993119378857,7.63288550539513,1047436368,1354412870,406
40605,1477,7011,2950614324,2356265879,916,508,49,4,169,36,81,2,731,44,263,0,5,39,7,2,60,19,4,15,0,0,208,1166,96,7,1323,51,64,32,6,1,21,148,0,0,171,52,80,994,38,94,48,0,5.90792146242383,94,80,7,0.026404874746107,0.114421123899797,0,0.494922139471903,0.001354096140826,0.178063642518619,0.0636425186188219,0.05416384563304,0.0548408937034529,0.004739336492891,0.343940419769804,0.620176032498307,0.033175355450237,0.002708192281652,0.300459906790146,0.699540093209854,9,4.74678402166554,7.29844510150815,8.85537824604113,2950614324,2356265879,406
40606,1016,3470,1404465492,2140229760,587,396,30,3,145,29,74,2,487,38,143,0,12,39,2,1,31,9,1,2,0,1,184,775,44,13,878,43,56,28,11,0,11,133,0,1,146,45,67,630,39,42,47,0,6.37303149606299,43,67,13,0.0383858267716535,0.142716535433071,0,0.479330708661417,0.00196850393700787,0.140748031496063,0.0423228346456693,0.0659448818897638,0.0728346456692913,0.0127952755905512,0.389763779527559,0.577755905511811,0.0295275590551181,0.00295275590551181,0.283021847293695,0.716978152706306,9,3.41535433070866,6.92461239604856,8.15219801586179,1404465492,2140229760,406
40607,484,1223,429036852,7595233872,310,160,14,0,60,14,30,0,267,13,65,1,0,17,2,0,10,4,0,0,1,0,78,392,14,0,428,17,22,13,3,1,8,52,0,0,61,22,27,332,16,14,12,0,4.76446280991736,14,27,1,0.0351239669421488,0.12396694214876,0.00206611570247934,0.551652892561983,0,0.134297520661157,0.0289256198347107,0.0557851239669422,0.0619834710743802,0.00206611570247934,0.330578512396694,0.640495867768595,0.0289256198347107,0,0.346757393620654,0.653242606379346,9,2.52685950413223,6.18414889093748,7.10987946307227,429036852,7595233872,406
40608,243,522,151770540,567802603,141,99,3,0,11,7,13,0,115,33,32,0,0,15,9,4,4,0,0,0,0,0,26,209,4,4,219,0,9,3,12,0,0,11,0,0,15,20,40,147,15,4,2,0,6.71604938271605,4,40,4,0.0617283950617284,0.0452674897119342,0,0.473251028806584,0,0.131687242798354,0.0164609053497942,0.164609053497942,0.0534979423868313,0.0164609053497942,0.407407407407407,0.580246913580247,0.0123456790123457,0,0.277667699707023,0.722332300292977,8,2.14814814814815,5.4971682252932,6.25958146406492,151770540,567802603,406
40701,1190,2446,1504296336,1531883042,653,520,17,0,91,24,31,0,708,51,199,2,3,49,0,0,19,10,1,2,0,0,140,1016,31,3,1067,27,47,21,28,0,9,82,0,0,93,10,75,907,49,31,25,0,4.95294117647059,31,75,3,0.0411764705882353,0.0764705882352941,0.00168067226890756,0.594957983193277,0,0.167226890756303,0.0260504201680672,0.0630252100840336,0.0260504201680672,0.00252100840336135,0.436974789915966,0.548739495798319,0.0142857142857143,0,0.394821693383236,0.605178306616764,9,2.05546218487395,7.0825485693553,7.80261806344267,1504296336,1531883042,407
40702,2962,7417,13819870836,5248076331,1789,1087,86,0,317,71,146,2,1658,54,485,5,7,87,6,2,58,49,1,12,2,0,406,2426,121,9,2699,36,140,61,25,1,46,268,0,3,324,49,125,2143,86,119,116,0,4.9544226873734,119,125,11,0.0293720459149224,0.107022282241729,0.00168804861580014,0.559756920999325,0.000675219446320054,0.163740715732613,0.0401755570560432,0.0422012153950034,0.0492910195813639,0.0037137069547603,0.366981769074949,0.603983794733288,0.0290344361917623,0,0.358297038198454,0.641702961801546,10,2.50405131667792,7.99395754757357,8.91166475804954,13819870836,5248076331,407
40703,647,1337,1131794856,1865988084,151,483,11,2,79,13,20,0,331,19,121,0,1,41,0,0,16,4,1,0,1,0,121,505,20,1,559,12,35,23,18,0,19,60,0,0,79,14,32,452,41,20,9,0,4.19165378670788,20,32,2,0.0633693972179289,0.12210200927357,0,0.511591962905719,0,0.187017001545595,0.0309119010819165,0.0494590417310665,0.0309119010819165,0.00309119010819165,0.746522411128284,0.23338485316847,0.0170015455950541,0.00309119010819165,0.319993120071475,0.680006879928525,8,2.06646058732612,6.47389069635227,7.19893124068817,1131794856,1865988084,407
40704,2263,7595,4825825680,6742867034,1434,779,48,2,199,47,137,1,1170,221,306,0,15,57,7,0,58,19,7,11,8,0,264,1895,89,15,2099,37,70,35,22,0,52,147,0,0,199,85,268,1476,57,88,90,0,4.66902342023862,88,268,23,0.0251878038002651,0.0879363676535572,0,0.517012814847548,0.000441891294741494,0.135218736190897,0.0388864339372514,0.11842686699072,0.0605391073795846,0.0101634997790544,0.344233318603624,0.633672116659302,0.0212107821475917,0.000883782589482987,0.313259140637616,0.686740859362384,9,3.35616438356164,7.72488843932307,8.93537707193218,4825825680,6742867034,407
40705,875,1984,1795693848,1299680404,478,376,21,0,70,26,36,1,540,13,148,0,1,13,0,0,19,6,1,1,0,0,83,764,27,1,804,16,42,4,9,0,6,64,0,0,70,15,39,688,13,26,24,0,5.11314285714286,26,39,1,0.0148571428571429,0.08,0,0.617142857142857,0.00114285714285714,0.169142857142857,0.0297142857142857,0.0445714285714286,0.0411428571428571,0.00114285714285714,0.429714285714286,0.546285714285714,0.024,0,0.420660244897959,0.579339755102041,9,2.26742857142857,6.77536609093639,7.59337419312129,1795693848,1299680404,407
