dataset,outcome,group,spec,threshold,lag,beta,stars,mean_y,beta_pp,pct_of_mean,se,pval,n,n_unit,n_muni,n_years,sd_y,r2_within,err
census,pri_share,Sector shares,sector_shares,0,0,-0.00520462606824537,"",0.720107329491921,-0.520462606824537,-0.722756991227619,0.00321692642535147,0.106129045493715,2142,714,714,3,0.167455891651104,0.0316651058648302,
census,pri_share,Sector shares,sector_shares,25,0,-0.00559421456493666,"",0.700182939231398,-0.559421456493666,-0.798964706434796,0.00391139014671217,0.153307869432252,1425,475,475,3,0.182356092501113,0.0654443316325468,
census,pri_share,Sector shares,sector_shares,50,0,-0.00678146173770147,"",0.694993598544259,-0.678146173770147,-0.975758877766067,0.0047316756636097,0.152580357448959,1203,401,401,3,0.189230197572751,0.0783328562336914,
census,pri_share,Sector shares,sector_shares,100,0,-0.00401793159162001,"",0.685409208663891,-0.401793159162001,-0.586209163931779,0.00626484071534459,0.521768644673374,939,313,313,3,0.197403151972686,0.108176181744823,
census,sec_share,Sector shares,sector_shares,0,0,0.0072919235836099,***,0.0869120398685108,0.72919235836099,8.39000395646201,0.00164880895316056,0.0000112770075866119,2142,714,714,3,0.0613910808923942,0.0800252161528061,
census,sec_share,Sector shares,sector_shares,25,0,0.00802606287394757,***,0.088586062456445,0.802606287394757,9.06018695423305,0.00212431734551784,0.000178092985319797,1425,475,475,3,0.0609787147299502,0.0854184372809687,
census,sec_share,Sector shares,sector_shares,50,0,0.00832722516505751,***,0.0888657920490797,0.832722516505751,9.37056315264536,0.00236278718708866,0.000473645068728285,1203,401,401,3,0.0616673608490055,0.0913426782399321,
census,sec_share,Sector shares,sector_shares,100,0,0.00860648521857614,***,0.0893870905847529,0.860648521857614,9.62833129736542,0.00279243671796143,0.00223903219060502,939,313,313,3,0.0622840648331581,0.109890809493226,
census,ter_share,Sector shares,sector_shares,0,0,-0.00208729751536459,"",0.192980630639568,-0.208729751536459,-1.08160985299248,0.00229972639817279,0.364381117368015,2142,714,714,3,0.123700310196469,0.0306178407644332,
census,ter_share,Sector shares,sector_shares,25,0,-0.00243184830901093,"",0.211230998312157,-0.243184830901093,-1.1512743529324,0.00292205833806024,0.405693648238376,1425,475,475,3,0.137668251804148,0.0765552461669675,
census,ter_share,Sector shares,sector_shares,50,0,-0.00154576342735609,"",0.216140609406661,-0.154576342735609,-0.715165665350646,0.00357827293098117,0.665984430932476,1203,401,401,3,0.142488733518515,0.0894982345811808,
census,ter_share,Sector shares,sector_shares,100,0,-0.00458855362695622,"",0.225203700751357,-0.458855362695622,-2.03751253271915,0.00482342059988138,0.342184924323627,939,313,313,3,0.148399641941585,0.120067729051584,
