outcome_group,dataset,outcome,spec,threshold,lag,treatment_kind,c_mig_log_flag,scale_form,beta,stars,se,pval,mean_y,sd_y,n,n_muni,n_unit,interpret,err
Assets / amenities,census,amen_asset_count_mean,S_log_log_lag7,100,7,log_int,TRUE,log/log,-0.0873385674937542,"",0.18573699227465,0.638521295641448,3.02976983994328,1.35787816070551,626,313,313,-0.087 units (-3% of mean),
Assets / amenities,census,amen_asset_count_mean,S_log_log_lag8,0,8,log_int,TRUE,log/log,-0.141471158716934,**,0.0687189741765711,0.0398865805841397,2.66992412165453,1.29316091786062,1428,714,714,-0.141 units (-5% of mean),
Assets / amenities,census,amen_asset_count_mean,S_log_log_lag8,25,8,log_int,TRUE,log/log,-0.134474927127026,"",0.144295731046273,0.351842095235396,2.89141403469394,1.30682007516563,950,475,475,-0.134 units (-5% of mean),
Assets / amenities,census,amen_asset_count_mean,S_log_log_lag8,50,8,log_int,TRUE,log/log,-0.0511392250557819,"",0.18545625880692,0.782883888825512,2.95665686724969,1.32801346481541,802,401,401,-0.051 units (-2% of mean),
Assets / amenities,census,amen_asset_count_mean,S_log_log_lag8,100,8,log_int,TRUE,log/log,0.0657367731609181,"",0.210478838334935,0.755005891537636,3.02976983994328,1.35787816070551,626,313,313,+0.066 units (+2% of mean),
Assets / amenities,census,amen_asset_count_mean,S_log_log_lag9,0,9,log_int,TRUE,log/log,-0.111843548302943,***,0.0347932356275843,0.00136551712977259,2.66992412165453,1.29316091786062,1428,714,714,-0.112 units (-4% of mean),
Assets / amenities,census,amen_asset_count_mean,S_log_log_lag9,25,9,log_int,TRUE,log/log,-0.062723668572134,"",0.0727980749297522,0.38933692232092,2.89141403469394,1.30682007516563,950,475,475,-0.063 units (-2% of mean),
Assets / amenities,census,amen_asset_count_mean,S_log_log_lag9,50,9,log_int,TRUE,log/log,-0.0182320767870322,"",0.0853862603916907,0.831026505166057,2.95665686724969,1.32801346481541,802,401,401,-0.018 units (-1% of mean),
Assets / amenities,census,amen_asset_count_mean,S_log_log_lag9,100,9,log_int,TRUE,log/log,0.102761561574877,"",0.0960914979334178,0.285709960825475,3.02976983994328,1.35787816070551,626,313,313,+0.103 units (+3% of mean),
Assets / amenities,census,amen_asset_count_mean,S_lin_lin_lag6,0,6,lin_int,FALSE,lin/lin,0.225333285597736,*,0.130116676663393,0.0837454934548226,2.66992412165453,1.29316091786062,1428,714,714,+0.225 units (+8% of mean),
Assets / amenities,census,amen_asset_count_mean,S_lin_lin_lag6,25,6,lin_int,FALSE,lin/lin,-0.0191268844320134,"",0.199903518839151,0.923814702895936,2.89141403469394,1.30682007516563,950,475,475,-0.019 units (-1% of mean),
Assets / amenities,census,amen_asset_count_mean,S_lin_lin_lag6,50,6,lin_int,FALSE,lin/lin,-0.117229758563881,"",0.223756499928356,0.600626668037582,2.95665686724969,1.32801346481541,802,401,401,-0.117 units (-4% of mean),
Assets / amenities,census,amen_asset_count_mean,S_lin_lin_lag6,100,6,lin_int,FALSE,lin/lin,-0.310492478842693,"",0.236593372582245,0.190367877567722,3.02976983994328,1.35787816070551,626,313,313,-0.310 units (-10% of mean),
Assets / amenities,census,amen_asset_count_mean,S_lin_lin_lag7,0,7,lin_int,FALSE,lin/lin,-0.0558900988690586,"",0.172449165453005,0.745960342640383,2.66992412165453,1.29316091786062,1428,714,714,-0.056 units (-2% of mean),
Assets / amenities,census,amen_asset_count_mean,S_lin_lin_lag7,25,7,lin_int,FALSE,lin/lin,-0.0143733705598471,"",0.280280001420887,0.959122268090528,2.89141403469394,1.30682007516563,950,475,475,-0.014 units (-0% of mean),
Assets / amenities,census,amen_asset_count_mean,S_lin_lin_lag7,50,7,lin_int,FALSE,lin/lin,-0.0109134444521781,"",0.306325861762628,0.971597621482679,2.95665686724969,1.32801346481541,802,401,401,-0.011 units (-0% of mean),
Assets / amenities,census,amen_asset_count_mean,S_lin_lin_lag7,100,7,lin_int,FALSE,lin/lin,-0.195902376371964,"",0.325693694532663,0.547948662831692,3.02976983994328,1.35787816070551,626,313,313,-0.196 units (-6% of mean),
Assets / amenities,census,amen_asset_count_mean,S_lin_lin_lag8,0,8,lin_int,FALSE,lin/lin,-0.301936018523158,**,0.137130988911951,0.0279984429454156,2.66992412165453,1.29316091786062,1428,714,714,-0.302 units (-11% of mean),
Assets / amenities,census,amen_asset_count_mean,S_lin_lin_lag8,25,8,lin_int,FALSE,lin/lin,-0.160548312238803,"",0.24021029102542,0.504225535916207,2.89141403469394,1.30682007516563,950,475,475,-0.161 units (-6% of mean),
Assets / amenities,census,amen_asset_count_mean,S_lin_lin_lag8,50,8,lin_int,FALSE,lin/lin,-0.0511687833867802,"",0.290570041688022,0.860306123503944,2.95665686724969,1.32801346481541,802,401,401,-0.051 units (-2% of mean),
Assets / amenities,census,amen_asset_count_mean,S_lin_lin_lag8,100,8,lin_int,FALSE,lin/lin,0.132368958995998,"",0.326449664373288,0.685402289069734,3.02976983994328,1.35787816070551,626,313,313,+0.132 units (+4% of mean),
Assets / amenities,census,amen_asset_count_mean,S_lin_lin_lag9,0,9,lin_int,FALSE,lin/lin,-0.21235941266419,***,0.0650288639283065,0.0011444868156806,2.66992412165453,1.29316091786062,1428,714,714,-0.212 units (-8% of mean),
Assets / amenities,census,amen_asset_count_mean,S_lin_lin_lag9,25,9,lin_int,FALSE,lin/lin,-0.114393963827895,"",0.0729555280564752,0.117549408966738,2.89141403469394,1.30682007516563,950,475,475,-0.114 units (-4% of mean),
Assets / amenities,census,amen_asset_count_mean,S_lin_lin_lag9,50,9,lin_int,FALSE,lin/lin,-0.0472264632001924,"",0.082591589202825,0.567773797169911,2.95665686724969,1.32801346481541,802,401,401,-0.047 units (-2% of mean),
Assets / amenities,census,amen_asset_count_mean,S_lin_lin_lag9,100,9,lin_int,FALSE,lin/lin,0.0733501349563849,"",0.0904993384967514,0.418267977233622,3.02976983994328,1.35787816070551,626,313,313,+0.073 units (+2% of mean),
Assets / amenities,census,amen_assets_car,S_log_lin_lag6,0,6,log_int,FALSE,log/lin,-0.00292421680426611,***,0.000525501783665516,0.0000000371988011188555,0.0117554383176144,0.0151658398360243,1428,714,714,-0.29pp (-25% of mean),
Assets / amenities,census,amen_assets_car,S_log_lin_lag6,25,6,log_int,FALSE,log/lin,-0.00243262323977195,***,0.000751230240733424,0.00128731110056134,0.0144371932551387,0.0172204882008469,950,475,475,-0.24pp (-17% of mean),
Assets / amenities,census,amen_assets_car,S_log_lin_lag6,50,6,log_int,FALSE,log/lin,-0.00213371832425468,***,0.000756603749904334,0.00503935842047388,0.0150158344865028,0.0180190535994542,802,401,401,-0.21pp (-14% of mean),
