hhid,year,any_shock,coped_self,coped_external,cope_category
1005,2018,1,0,0,neither
1006,2016,1,0,0,neither
1006,2017,1,0,0,neither
1007,2016,1,0,1,external_only
1007,2018,1,0,0,neither
1008,2016,1,0,1,external_only
1009,2016,1,0,0,neither
1009,2017,1,0,0,neither
1009,2018,1,0,0,neither
1010,2016,1,0,0,neither
1011,2016,1,0,1,external_only
1012,2017,1,0,0,neither
1013,2016,1,1,0,self_only
1014,2016,1,0,1,external_only
1014,2017,1,0,0,neither
1016,2016,1,1,1,both
1016,2017,1,0,0,neither
1017,2016,1,1,1,both
1017,2017,1,0,0,neither
1018,2016,1,1,0,self_only
1018,2017,1,0,0,neither
1019,2016,1,0,0,neither
1020,2016,1,0,1,external_only
1021,2016,1,1,0,self_only
1021,2017,1,0,0,neither
1022,2017,1,0,0,neither
1023,2016,1,1,0,self_only
1024,2016,1,1,0,self_only
1025,2016,1,1,1,both
1025,2018,1,0,0,neither
1026,2016,1,1,0,self_only
1026,2018,1,0,0,neither
1027,2016,1,0,0,neither
1027,2017,1,0,0,neither
1028,2016,1,0,0,neither
1029,2016,1,0,1,external_only
1030,2017,1,1,0,self_only
1031,2016,1,1,0,self_only
1032,2016,1,0,1,external_only
1033,2016,1,0,1,external_only
1034,2016,1,0,0,neither
1034,2018,1,0,0,neither
1035,2016,1,1,0,self_only
1036,2017,1,0,0,neither
1037,2016,1,1,1,both
1037,2017,1,1,0,self_only
1038,2016,1,1,1,both
1038,2017,1,0,0,neither
1039,2016,1,0,0,neither
1040,2016,1,0,0,neither
1040,2017,1,0,0,neither
1041,2016,1,1,0,self_only
1041,2017,1,1,1,both
1042,2016,1,1,0,self_only
