hhid,year,any_shock,coped_self,coped_external,cope_category
424,2018,1,0,0,neither
425,2016,1,0,0,neither
426,2017,1,0,0,neither
427,2016,1,0,0,neither
427,2017,1,1,0,self_only
428,2018,1,0,0,neither
429,2016,1,1,0,self_only
430,2016,1,1,0,self_only
431,2016,1,1,1,both
431,2017,1,0,0,neither
432,2016,1,1,0,self_only
434,2016,1,0,0,neither
434,2017,1,0,0,neither
435,2016,1,1,1,both
436,2016,1,1,1,both
436,2017,1,0,0,neither
437,2016,1,0,0,neither
437,2017,1,0,0,neither
438,2016,1,1,0,self_only
438,2018,1,0,0,neither
439,2017,1,0,0,neither
440,2017,1,0,0,neither
441,2016,1,0,0,neither
441,2017,1,0,1,external_only
443,2016,1,0,0,neither
443,2017,1,0,0,neither
444,2016,1,0,1,external_only
445,2016,1,0,1,external_only
446,2016,1,1,1,both
447,2016,1,1,0,self_only
448,2016,1,1,1,both
448,2017,1,0,1,external_only
448,2018,1,0,0,neither
449,2016,1,1,0,self_only
451,2016,1,1,0,self_only
453,2016,1,0,0,neither
453,2017,1,0,0,neither
454,2016,1,1,0,self_only
454,2018,1,0,0,neither
455,2016,1,1,0,self_only
455,2018,1,0,0,neither
456,2016,1,0,0,neither
457,2018,1,1,1,both
458,2016,1,1,0,self_only
458,2017,1,0,1,external_only
460,2016,1,1,0,self_only
461,2016,1,1,1,both
463,2016,1,1,0,self_only
463,2018,1,0,0,neither
464,2016,1,0,0,neither
465,2016,1,0,1,external_only
465,2018,1,0,0,neither
466,2016,1,0,0,neither
467,2016,1,1,0,self_only
468,2016,1,0,0,neither
469,2016,1,0,1,external_only
470,2016,1,1,1,both
471,2016,1,1,1,both
471,2017,1,0,0,neither
471,2018,1,0,1,external_only
472,2016,1,1,0,self_only
473,2016,1,1,0,self_only
473,2017,1,1,0,self_only
474,2016,1,0,1,external_only
474,2017,1,0,1,external_only
475,2016,1,1,0,self_only
476,2016,1,1,0,self_only
477,2018,1,0,0,neither
478,2016,1,0,0,neither
479,2016,1,0,0,neither
479,2017,1,0,0,neither
480,2016,1,0,0,neither
480,2017,1,0,0,neither
481,2016,1,1,0,self_only
482,2016,1,0,0,neither
483,2016,1,1,0,self_only
484,2016,1,1,0,self_only
485,2016,1,0,0,neither
486,2016,1,0,0,neither
488,2016,1,0,0,neither
489,2016,1,0,0,neither
490,2016,1,0,0,neither
490,2018,1,0,0,neither
491,2016,1,0,0,neither
492,2016,1,1,0,self_only
493,2017,1,0,0,neither
494,2017,1,1,0,self_only
495,2016,1,0,0,neither
495,2018,1,1,0,self_only
496,2016,1,0,1,external_only
496,2018,1,0,0,neither
497,2016,1,1,0,self_only
497,2018,1,0,0,neither
498,2016,1,1,1,both
498,2017,1,0,1,external_only
498,2018,1,0,0,neither
499,2016,1,0,1,external_only
499,2017,1,0,0,neither
499,2018,1,0,0,neither
500,2016,1,0,0,neither
500,2017,1,0,0,neither
501,2016,1,0,1,external_only
503,2016,1,0,1,external_only
503,2017,1,0,0,neither
504,2017,1,0,0,neither
505,2016,1,1,0,self_only
506,2018,1,0,0,neither
507,2016,1,0,0,neither
507,2018,1,0,0,neither
508,2017,1,0,0,neither
508,2018,1,0,0,neither
509,2016,1,0,0,neither
509,2018,1,0,0,neither
510,2016,1,1,0,self_only
510,2018,1,0,0,neither
511,2016,1,0,0,neither
511,2018,1,0,0,neither
512,2016,1,1,1,both
513,2016,1,1,1,both
514,2016,1,1,0,self_only
515,2016,1,0,0,neither
515,2017,1,0,0,neither
516,2016,1,0,0,neither
517,2016,1,0,1,external_only
518,2016,1,0,0,neither
518,2018,1,0,0,neither
519,2016,1,1,1,both
519,2017,1,0,0,neither
519,2018,1,0,0,neither
520,2016,1,1,0,self_only
520,2017,1,0,0,neither
522,2016,1,0,0,neither
522,2017,1,0,1,external_only
522,2018,1,0,0,neither
523,2016,1,1,0,self_only
524,2016,1,1,0,self_only
525,2016,1,1,1,both
525,2018,1,0,0,neither
526,2016,1,0,0,neither
526,2018,1,0,0,neither
527,2016,1,0,0,neither
529,2016,1,0,0,neither
529,2018,1,0,0,neither
530,2016,1,0,0,neither
530,2017,1,1,0,self_only
533,2016,1,1,0,self_only
534,2016,1,1,0,self_only
535,2016,1,1,1,both
535,2017,1,0,0,neither
536,2016,1,0,1,external_only
537,2016,1,0,0,neither
538,2016,1,0,1,external_only
539,2016,1,1,0,self_only
540,2016,1,1,1,both
541,2016,1,0,0,neither
542,2016,1,0,0,neither
544,2016,1,0,0,neither
544,2017,1,0,0,neither
545,2016,1,0,0,neither
546,2016,1,0,0,neither
546,2017,1,0,0,neither
547,2016,1,1,0,self_only
548,2016,1,1,0,self_only
549,2016,1,1,0,self_only
550,2016,1,0,1,external_only
550,2018,1,0,0,neither
551,2016,1,0,0,neither
551,2018,1,0,0,neither
552,2017,1,0,0,neither
553,2016,1,0,0,neither
555,2016,1,0,1,external_only
556,2016,1,0,0,neither
556,2017,1,0,0,neither
557,2016,1,0,1,external_only
558,2016,1,1,1,both
558,2017,1,0,0,neither
559,2017,1,0,0,neither
559,2018,1,0,0,neither
560,2016,1,0,1,external_only
561,2016,1,1,0,self_only
561,2018,1,0,1,external_only
562,2016,1,0,0,neither
562,2017,1,0,0,neither
564,2016,1,0,0,neither
566,2016,1,0,0,neither
567,2016,1,0,1,external_only
568,2016,1,1,1,both
569,2016,1,1,0,self_only
569,2018,1,0,1,external_only
570,2016,1,1,0,self_only
571,2016,1,0,1,external_only
571,2017,1,1,1,both
571,2018,1,1,0,self_only
572,2016,1,1,1,both
572,2017,1,0,0,neither
573,2016,1,1,0,self_only
574,2016,1,0,1,external_only
575,2016,1,1,1,both
575,2017,1,0,0,neither
577,2016,1,1,0,self_only
577,2017,1,0,0,neither
578,2016,1,0,1,external_only
578,2017,1,0,0,neither
579,2016,1,0,0,neither
580,2016,1,1,1,both
580,2018,1,0,1,external_only
582,2016,1,0,0,neither
582,2017,1,0,0,neither
583,2017,1,0,0,neither
583,2018,1,0,0,neither
585,2017,1,0,1,external_only
586,2017,1,0,0,neither
587,2016,1,1,0,self_only
588,2016,1,0,1,external_only
588,2017,1,1,0,self_only
589,2016,1,0,0,neither
590,2016,1,0,0,neither
591,2016,1,0,0,neither
592,2016,1,0,0,neither
593,2016,1,0,0,neither
593,2017,1,0,0,neither
594,2016,1,0,0,neither
594,2017,1,0,0,neither
594,2018,1,0,0,neither
595,2016,1,1,0,self_only
595,2017,1,1,0,self_only
596,2016,1,1,0,self_only
597,2016,1,0,0,neither
599,2016,1,1,0,self_only
600,2016,1,1,0,self_only
601,2016,1,0,1,external_only
602,2016,1,1,1,both
602,2017,1,0,0,neither
603,2016,1,1,0,self_only
604,2016,1,1,1,both
605,2016,1,0,0,neither
607,2016,1,1,1,both
607,2017,1,1,1,both
608,2017,1,0,0,neither
609,2016,1,1,1,both
609,2017,1,0,0,neither
610,2016,1,0,0,neither
610,2017,1,0,0,neither
610,2018,1,0,0,neither
611,2016,1,1,0,self_only
611,2018,1,0,0,neither
612,2018,1,0,0,neither
613,2016,1,0,0,neither
614,2016,1,1,0,self_only
614,2017,1,0,0,neither
614,2018,1,0,1,external_only
615,2016,1,0,0,neither
617,2016,1,0,1,external_only
617,2017,1,0,1,external_only
618,2016,1,1,0,self_only
620,2016,1,1,0,self_only
622,2016,1,0,1,external_only
622,2017,1,0,0,neither
623,2016,1,0,0,neither
623,2017,1,0,0,neither
624,2016,1,0,0,neither
624,2017,1,0,0,neither
625,2016,1,1,0,self_only
626,2016,1,0,0,neither
627,2016,1,1,0,self_only
627,2018,1,0,0,neither
629,2016,1,0,0,neither
630,2016,1,0,0,neither
632,2016,1,1,1,both
633,2016,1,0,1,external_only
634,2016,1,0,1,external_only
635,2016,1,1,0,self_only
636,2016,1,1,0,self_only
637,2016,1,0,0,neither
638,2016,1,1,0,self_only
640,2016,1,1,0,self_only
641,2017,1,0,0,neither
642,2016,1,1,0,self_only
643,2016,1,0,0,neither
643,2017,1,1,0,self_only
644,2016,1,0,1,external_only
645,2016,1,1,0,self_only
645,2017,1,0,0,neither
645,2018,1,0,0,neither
646,2016,1,0,0,neither
647,2016,1,0,0,neither
648,2016,1,0,0,neither
649,2017,1,0,0,neither
650,2016,1,1,1,both
650,2017,1,0,0,neither
650,2018,1,0,0,neither
652,2016,1,0,0,neither
654,2016,1,1,0,self_only
655,2016,1,0,0,neither
655,2017,1,0,0,neither
656,2016,1,0,0,neither
656,2017,1,0,0,neither
657,2018,1,1,1,both
658,2016,1,0,1,external_only
658,2017,1,0,0,neither
658,2018,1,1,1,both
659,2016,1,1,0,self_only
659,2018,1,1,1,both
660,2016,1,0,0,neither
662,2016,1,1,0,self_only
662,2018,1,0,0,neither
663,2016,1,0,1,external_only
663,2017,1,0,0,neither
664,2016,1,0,0,neither
665,2016,1,0,0,neither
665,2018,1,1,0,self_only
666,2016,1,1,1,both
667,2016,1,0,1,external_only
667,2018,1,0,0,neither
668,2016,1,0,0,neither
668,2018,1,0,0,neither
669,2017,1,0,0,neither
669,2018,1,0,0,neither
670,2016,1,0,0,neither
671,2018,1,0,0,neither
672,2016,1,1,0,self_only
672,2017,1,0,0,neither
673,2016,1,0,0,neither
674,2016,1,0,0,neither
675,2016,1,1,0,self_only
676,2016,1,0,0,neither
677,2016,1,1,0,self_only
678,2016,1,1,1,both
679,2016,1,0,0,neither
679,2017,1,0,1,external_only
680,2016,1,0,0,neither
680,2018,1,1,0,self_only
681,2016,1,0,0,neither
681,2018,1,0,1,external_only
682,2016,1,0,0,neither
683,2016,1,0,0,neither
684,2016,1,0,0,neither
684,2017,1,0,0,neither
685,2016,1,1,0,self_only
685,2018,1,0,1,external_only
686,2016,1,0,0,neither
687,2016,1,1,0,self_only
687,2017,1,0,0,neither
688,2016,1,0,0,neither
688,2017,1,0,0,neither
689,2016,1,0,1,external_only
690,2016,1,1,0,self_only
691,2016,1,0,0,neither
692,2016,1,0,0,neither
692,2017,1,0,0,neither
693,2018,1,0,1,external_only
694,2016,1,1,0,self_only
695,2016,1,1,0,self_only
695,2017,1,0,0,neither
695,2018,1,0,0,neither
698,2016,1,1,1,both
698,2017,1,0,0,neither
700,2016,1,0,1,external_only
700,2018,1,0,0,neither
701,2016,1,1,1,both
701,2018,1,0,0,neither
702,2016,1,0,0,neither
702,2017,1,0,0,neither
703,2016,1,0,0,neither
704,2016,1,0,0,neither
705,2016,1,1,0,self_only
706,2016,1,0,0,neither
706,2018,1,0,0,neither
707,2016,1,0,0,neither
