hhid,year,wt_hh,psu,vdc,vmun_code,lgname,district77,district_name,s00q03a,s00q03b,s00q03c,agri_hh,owned_plots_n,owned_area_sqm,cultivated_area_sqm,rented_in_area_sqm,rented_in_any,plot_wet_farmed_share,plot_wet_rented_share,plot_wet_shared_share,plot_wet_fallow_share,plot_dry_farmed_share,plot_dry_rented_share,plot_dry_shared_share,plot_dry_fallow_share,double_crop_share,wet_use_seed,wet_use_fertiliser,wet_use_pesticide,wet_use_equipment,wet_use_hired_labour,dry_use_seed,dry_use_fertiliser,dry_use_pesticide,dry_use_equipment,dry_use_hired_labour,input_total_12m_rs,input_intensity_per_sqm,n_crop_types,grows_staple,grows_cashcrop,grows_horticulture,wet_grows_staple,dry_grows_staple,crop_sold_any,crop_sales_12m_rs,crop_sale_share,owns_tractor,owns_pump,owns_modern_equip,n_modern_equip_types,ag_equip_stock_value_rs,livestock_has
7,2016,631.615234375,9,Saljhundi,50803,Sainamaina Municipality,Rupandehi,Rupandehi,Municipality,Sainamaina,11,1,1,10158.947265625,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,17000,,2,1,0,0,1,1,1,36000,0.2361111111111111,0,0,0,0,0,1
7,2017,631.615234375,9,Saljhundi,50803,Sainamaina Municipality,Rupandehi,Rupandehi,Municipality,Sainamaina,11,1,1,10158.947265625,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,1,1,42000,,4,1,1,0,1,1,1,59000,0.21875,0,0,0,0,0,1
7,2018,631.615234375,9,Saljhundi,50803,Sainamaina Municipality,Rupandehi,Rupandehi,Municipality,Sainamaina,11,1,1,10158.947265625,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,34600,,3,1,0,0,1,1,1,73600,0.4703703703703704,0,0,0,0,0,1
8,2016,631.615234375,8,Rakachuli,40808,Binayee Triveni Gaunpalika,Nawalparasi East,Nawalparasi,Rural municipality,Biny tribeni,3,1,2,6095.36865234375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3,1,0,0,1,1,0,0,0,0,0,0,0,0,1
8,2017,631.615234375,8,Rakachuli,40808,Binayee Triveni Gaunpalika,Nawalparasi East,Nawalparasi,Rural municipality,Biny tribeni,3,1,2,6095.36865234375,0,0,0,0,0,0,0,0,0,0,0.5,0,0,1,0,0,0,0,1,0,0,0,3800,,3,1,1,0,1,1,0,0,0,0,0,0,0,3000,1
8,2018,631.615234375,8,Rakachuli,40808,Binayee Triveni Gaunpalika,Nawalparasi East,Nawalparasi,Rural municipality,Biny tribeni,3,1,2,6095.36865234375,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,15200,,4,1,1,1,1,1,1,18000,0.23860398860398863,0,0,0,0,3700,1
9,2016,898.64581298828125,2,Ramganj Belgachhi,11312,Barju Gaunpalika,Sunsari,Sunsari,Rural municipality,Barju,1,1,0,0,0,0,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,1
9,2017,898.64581298828125,2,Ramganj Belgachhi,11312,Barju Gaunpalika,Sunsari,Sunsari,Rural municipality,Barju,1,1,0,0,0,0,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,,0,0,0,0,0,1
9,2018,898.64581298828125,2,Ramganj Belgachhi,11312,Barju Gaunpalika,Sunsari,Sunsari,Rural municipality,Barju,1,1,0,0,0,0,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,1
10,2016,898.64581298828125,9,Kaptanganj,11311,Dewangunj Gaunpalika,Sunsari,Sunsari,Rural municipality,Dewangunj,3,1,1,4402.2109375,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,4850,,3,1,0,0,1,1,1,125000,0.4722222222222222,0,0,0,0,1000,1
10,2017,898.64581298828125,9,Kaptanganj,11311,Dewangunj Gaunpalika,Sunsari,Sunsari,Rural municipality,Dewangunj,3,1,1,4402.2109375,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,17200,,2,1,0,0,1,1,1,13500,0.25,0,1,1,1,37000,1
10,2018,898.64581298828125,9,Kaptanganj,11311,Dewangunj Gaunpalika,Sunsari,Sunsari,Rural municipality,Dewangunj,3,1,1,4402.2109375,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,21550,,4,1,0,0,1,1,1,10200,0.2,0,1,1,1,9485,1
