hhid,year,wt_hh,psu,vdc,vmun_code,lgname,district77,district_name,s00q03a,s00q03b,s00q03c,n_jobs_total,share_wage_agri,share_wage_nonagri,share_self_agri,share_self_nonagri,hh_has_wage_job,n_wage_jobs_hh,wage_total_income_12m_rs,wage_sector_primary_any,wage_sector_secondary_any,wage_sector_tertiary_any
11,2016,487.4611206054687,7,Kankada,31204,Raksirang Gaunpalika,Makwanpur,Makwanpur,Rural municipality,Raksingrang,7,3,0,0,0.6666666666666666,0.3333333333333333,0,0,0,0,0,0
11,2017,487.4611206054687,7,Kankada,31204,Raksirang Gaunpalika,Makwanpur,Makwanpur,Rural municipality,Raksingrang,7,3,0,0,0.6666666666666666,0.3333333333333333,0,0,0,0,0,0
11,2018,487.4611206054687,7,Kankada,31204,Raksirang Gaunpalika,Makwanpur,Makwanpur,Rural municipality,Raksingrang,7,3,0,0.3333333333333333,0.6666666666666666,0,1,1,51000,0,1,0
12,2016,634.085205078125,5,Darakh,70805,Ghodaghodi Municipality,Kailali,Kailali,Municipality,Ghodaghodi,1,2,0,0.5,0.5,0,1,1,16000,0,1,0
12,2017,634.085205078125,5,Darakh,70805,Ghodaghodi Municipality,Kailali,Kailali,Municipality,Ghodaghodi,1,2,0,1,0,0,1,2,88600,0,1,0
12,2018,634.085205078125,5,Darakh,70805,Ghodaghodi Municipality,Kailali,Kailali,Municipality,Ghodaghodi,1,2,0,0.5,0.5,0,1,1,200000,0,0,1
13,2016,666.9111328125,5,Sitapur,51104,Khajura Gaunpalika,Banke,Banke,Rural municipality,khajura,2,2,0,0,0.5,0.5,0,0,0,0,0,0
13,2017,666.9111328125,5,Sitapur,51104,Khajura Gaunpalika,Banke,Banke,Rural municipality,khajura,2,3,0,0,0.6666666666666666,0.3333333333333333,0,0,0,0,0,0
13,2018,666.9111328125,5,Sitapur,51104,Khajura Gaunpalika,Banke,Banke,Rural municipality,khajura,2,2,0,0,0.5,0.5,0,0,0,0,0,0
14,2016,585.5533447265625,1,Mahankal,30204,Helambu Gaunpalika,Sindhupalchok,Sindhupalchok,Rural municipality,helambu,4,4,0.25,0.25,0.5,0,1,2,35000,1,0,0
14,2017,585.5533447265625,1,Mahankal,30204,Helambu Gaunpalika,Sindhupalchok,Sindhupalchok,Rural municipality,helambu,4,1,0,0,1,0,0,0,0,0,0,0
14,2018,585.5533447265625,1,Mahankal,30204,Helambu Gaunpalika,Sindhupalchok,Sindhupalchok,Rural municipality,helambu,4,2,0,0.5,0.5,0,1,1,140400,0,0,1
15,2016,634.085205078125,3,Durgauli,70808,Janaki Gaunpalika,Kailali,Kailali,Rural municipality,Janaki,1,3,0,0.3333333333333333,0.6666666666666666,0,1,1,40000,0,1,0
15,2017,634.085205078125,3,Durgauli,70808,Janaki Gaunpalika,Kailali,Kailali,Rural municipality,Janaki,1,3,0,0.3333333333333333,0.6666666666666666,0,1,1,79800,0,1,0
15,2018,634.085205078125,3,Durgauli,70808,Janaki Gaunpalika,Kailali,Kailali,Rural municipality,Janaki,1,2,0,0.5,0.5,0,1,1,300000,0,1,0
16,2016,990.53192138671875,9,Dhaubini,20811,Dhobini Gaunpalika,Parsa,Parsa,Rural municipality,Dhaubni Rural Municipality,5,1,0,0,1,0,0,0,0,0,0,0
