dataset,outcome,group,spec,threshold,beta,stars,mean_y,beta_pp,pct_of_mean,se,pval,n,n_unit,n_muni,n_years,sd_y,r2_within,err
census,amen_water_piped,Amenities,tx_log_int_nocmig_cfx_blk_khanna_full,50,0.0124545580344882,***,0.608945191349095,1.24545580344882,2.04526749064157,0.00454564244049715,0.00642115569592506,1203,401,401,3,0.318723152342788,0.295216246500228,
census,amen_water_traditional,Amenities,tx_log_int_nocmig_cfx_blk_khanna_full,50,-0.00806534066467835,*,0.373728637767356,-0.806534066467835,-2.15807402741745,0.00441340742993566,0.0683749792557176,1203,401,401,3,0.315228702251807,0.282187266530281,
census,amen_cooking_wood,Amenities,tx_log_int_nocmig_cfx_blk_khanna_full,50,0.00229811925444291,"",0.712157854582553,0.229811925444291,0.322698014162886,0.00579926633284073,0.692111567537591,1203,401,401,3,0.282105539939607,0.467062936487755,
census,amen_cooking_kerosene,Amenities,tx_log_int_nocmig_cfx_blk_khanna_full,50,0.000970048642887324,"",0.0251420605621556,0.0970048642887324,3.8582702499232,0.000933686095201947,0.299457846299817,1203,401,401,3,0.0676088400599599,0.783899756764155,
census,amen_cooking_lpg,Amenities,tx_log_int_nocmig_cfx_blk_khanna_full,50,0.00280028231478466,"",0.157607921744222,0.280028231478466,1.77673957234788,0.00446534542619859,0.530942042008099,1203,401,401,3,0.229010135128636,0.605624109351987,
census,amen_cooking_biogas,Amenities,tx_log_int_nocmig_cfx_blk_khanna_full,50,5.51915913084017e-05,"",0.0156021220970677,0.00551915913084017,0.353744131503588,0.000577401965971366,0.923897187856381,1203,401,401,3,0.0270938141164293,0.183064469828479,
census,amen_cooking_electric,Amenities,tx_log_int_nocmig_cfx_blk_khanna_full,50,3.15555434404844e-05,"",0.00246086673954468,0.00315555434404844,1.28229387367489,0.000133530958169697,0.813308192038769,802,401,401,2,0.00914492683344314,0.377334171580461,
census,amen_cooking_modern,Amenities,tx_log_int_nocmig_cfx_blk_khanna_full,50,0.0028137063441781,"",0.174709398491137,0.28137063441781,1.61050657175769,0.00424066574441635,0.50738887417443,1203,401,401,3,0.233039709239164,0.62512166999135,
census,amen_cooking_traditional,Amenities,tx_log_int_nocmig_cfx_blk_khanna_full,50,-0.00290939977003123,"",0.820432532041599,-0.290939977003123,-0.354617796882257,0.0042504219556573,0.494057975741722,1203,401,401,3,0.23182097213417,0.621461008828231,
census,amen_lighting_electricity,Amenities,tx_log_int_nocmig_cfx_blk_khanna_full,50,0.00373821745060659,**,0.666303596594586,0.373821745060659,0.561038161839778,0.00178244099988848,0.0365990098771341,1203,401,401,3,0.355497639308858,0.836415412118767,
