dataset,outcome,group,spec,threshold,beta,stars,mean_y,beta_pp,pct_of_mean,se,pval,n,n_unit,n_muni,n_years,sd_y,r2_within,err
census,amen_water_piped,Amenities,tx_lin_int_cmig_cfx_blk_khanna_full,100,0.00196754204444677,"",0.625192530622425,0.196754204444677,0.314709781079428,0.0400732349786355,0.960872088551681,939,313,313,3,0.309931118936912,0.320690276364871,
census,amen_water_traditional,Amenities,tx_lin_int_cmig_cfx_blk_khanna_full,100,-0.0258447263226746,"",0.356317561394895,-2.58447263226746,-7.2532844638639,0.0377072860874176,0.493597917388563,939,313,313,3,0.306284498998786,0.305660298154451,
census,amen_cooking_wood,Amenities,tx_lin_int_cmig_cfx_blk_khanna_full,100,0.00761921904220211,"",0.709958747051805,0.761921904220211,1.07319179795191,0.0393553797335759,0.846614727171741,939,313,313,3,0.281825699113915,0.488637310993672,
census,amen_cooking_kerosene,Amenities,tx_lin_int_cmig_cfx_blk_khanna_full,100,-0.0348057128126769,***,0.0276989405122722,-3.48057128126769,-125.657199044332,0.00994988677717827,0.000536682904227516,939,313,313,3,0.0735932122935056,0.820329622616073,
census,amen_cooking_lpg,Amenities,tx_lin_int_cmig_cfx_blk_khanna_full,100,0.0255595555782105,"",0.171366749100857,2.55595555782105,14.9151195971907,0.037240286708488,0.493007499835262,939,313,313,3,0.241348819223786,0.657189317366135,
census,amen_cooking_biogas,Amenities,tx_lin_int_cmig_cfx_blk_khanna_full,100,-0.00605644526620177,"",0.016672790090558,-0.605644526620177,-36.325325475258,0.00669559942290766,0.366406433471697,939,313,313,3,0.0281486435381437,0.219855065366269,
census,amen_cooking_electric,Amenities,tx_lin_int_cmig_cfx_blk_khanna_full,100,-0.00254867485569698,"",0.00265997205491977,-0.254867485569698,-95.8158508087732,0.00191757693532768,0.184782065978763,626,313,313,2,0.010245603811387,0.407405980828812,
census,amen_cooking_modern,Amenities,tx_lin_int_cmig_cfx_blk_khanna_full,100,0.0182896343411575,"",0.189654412907767,1.82896343411575,9.64366399955697,0.0356819440958755,0.608612072449381,939,313,313,3,0.245067322847228,0.67416803016377,
census,amen_cooking_traditional,Amenities,tx_lin_int_cmig_cfx_blk_khanna_full,100,-0.0236902038824114,"",0.805589175763796,-2.36902038824114,-2.94073016310705,0.035844990374595,0.509159683978722,939,313,313,3,0.243938164415082,0.671158132992997,
census,amen_lighting_electricity,Amenities,tx_lin_int_cmig_cfx_blk_khanna_full,100,-0.0145987134414196,"",0.678715522521455,-1.45987134414196,-2.15093260092016,0.0299543796923097,0.626342007803883,939,313,313,3,0.34951286517809,0.873547072200871,
census,amen_lighting_kerosene,Amenities,tx_lin_int_cmig_cfx_blk_khanna_full,100,0.00399883637739912,"",0.297063903651657,0.399883637739912,1.34611991838908,0.0281702168844414,0.887209040287945,939,313,313,3,0.341786217435051,0.872503023291458,
census,amen_lighting_biogas,Amenities,tx_lin_int_cmig_cfx_blk_khanna_full,100,0.000437714740102918,"",0.001751522576041,0.0437714740102918,24.99052801776,0.000709578034629808,0.5377728222856,939,313,313,3,0.00236530988968525,0.106267725056179,
