dcode,year,edu_literate_female,edu_literate_male,edu_school_attend_6_16_female,edu_school_attend_6_16_male,edu_attain_secondary_plus,mar_female_married_by_18,mar_female_age_first_mean,fert_birth_mean,fert_birth_son_mean,fert_birth_dau_mean,flfp_all,mlfp_all,fem_employment_rate,flfp_wage,fem_wage_share_of_employment,fem_share_of_ag_workers,fem_ag_specialization_ratio,work_share_agriculture,work_share_household_chores,fem_ownership_house,fem_ownership_land,fem_ownership_both,head_female_share,head_female_elderly,left_not_with_both,left_father_only,absent_hh_share
39,2011,0.6969,0.8662,0.9446,0.9465,0.2862,0.3557,18.2677,2.1836,1.1364,1.0471,0.566,0.6378,0.563,0.0565,0.1003,0.7301,1.7192,0.3632,0.1273,0.104,0.1823,0.104,0.4291,0.0885,0.2622,0.0062,0.4968
39,2021,0.7219,0.8728,0.9576,0.9415,0.3581,0.3587,18.8957,2.1222,1.0835,1.0388,0.8418,0.8807,0.8186,0.1097,0.1341,0.5493,1.1672,0.5564,0.1558,0.1143,0.1659,0.0983,0.3965,0.0919,0.2859,0.0106,0.283
40,2001,0.6139,0.8287,0.8914,0.9106,0.3764,0.3991,18.1177,2.4972,1.2881,1.209,0.5177,0.6881,0.5122,0.0743,0.1451,0.6323,1.4537,0.2732,0.1656,0.1024,0.1666,0.0882,0.295,0.0544,0.226,0.0114,0.2278
40,2011,0.7538,0.9047,0.9299,0.928,0.4609,0.3355,18.4847,1.9478,1.0174,0.9305,0.4297,0.6566,0.4221,0.1051,0.249,0.658,1.6167,0.1782,0.19,0.1671,0.2677,0.1671,0.3866,0.0577,0.2082,0.0077,0.3231
40,2021,0.7883,0.9206,0.9658,0.9537,0.514,0.2918,18.9726,1.746,0.9298,0.8162,0.6634,0.7641,0.6166,0.192,0.3113,0.5683,1.2289,0.2329,0.1806,0.2177,0.2682,0.1707,0.3904,0.081,0.2737,0.0114,0.2857
41,2001,0.524,0.6669,0.9297,0.9333,0.3231,0.2458,18.839,2.4037,1.2067,1.197,0.7291,0.7959,0.726,0.0664,0.0915,0.5442,1.3597,0.4658,0.0405,0.0467,0.112,0.0389,0.1959,0.0738,0.2076,0.026,0.0794
41,2011,0.6418,0.8325,0.9438,0.87,0.3499,0.2478,19.0442,1.9255,0.9866,0.939,0.7606,0.8259,0.7589,0.1361,0.1793,0.5832,1.6564,0.3728,0.0347,0.1112,0.2051,0.1112,0.2358,0.0885,0.1093,0.0131,0.1112
41,2021,0.688,0.8473,0.9546,0.9514,0.3906,0.2862,19.6481,1.8066,0.9452,0.8615,0.7429,0.7835,0.7159,0.1277,0.1784,0.5637,1.0918,0.461,0.2159,0.1483,0.2206,0.1226,0.4265,0.1061,0.313,0.0136,0.2972
42,2001,0.4089,0.604,0.7682,0.8365,0.3171,0.246,19.0645,2.7242,1.4177,1.3065,0.7981,0.8764,0.7891,0.1284,0.1627,0.5398,1.4367,0.4441,0.0535,0.0604,0.0799,0.0466,0.2063,0.0549,0.2183,0.0231,0.1927
42,2011,0.5583,0.7588,0.8569,0.9101,0.3223,0.3,18.7217,2.1059,1.076,1.0298,0.8361,0.8938,0.8332,0.1476,0.1772,0.5712,1.3442,0.4974,0.0424,0.0805,0.1162,0.0805,0.2376,0.0725,0.1596,0.012,0.2635
42,2021,0.7413,0.8801,0.9515,0.9415,0.3686,0.3692,18.9111,1.851,0.9639,0.8871,0.7575,0.8183,0.7292,0.1224,0.1678,0.6136,1.2642,0.4311,0.1596,0.1716,0.2552,0.1387,0.4424,0.0751,0.3543,0.0142,0.3153
43,2001,0.4552,0.6793,0.82,0.8715,0.1819,0.3767,18.2117,2.706,1.3692,1.3367,0.7538,0.7976,0.7509,0.0313,0.0417,0.6126,1.1996,0.5936,0.0746,0.053900000000000003,0.0875,0.0481,0.3073,0.0572,0.2144,0.0109,0.2942
43,2011,0.6479,0.8197,0.9064,0.9101,0.2354,0.4099,17.9893,2.3126,1.1879,1.1246,0.6918,0.744,0.6876,0.0647,0.0941,0.6885,1.4621,0.4867,0.0771,0.0942,0.1532,0.0942,0.435,0.0768,0.2524,0.007,0.4126
43,2021,0.7528,0.8806,0.9491,0.9449,0.3962,0.3559,18.9026,1.8718,0.9798,0.892,0.7274,0.8128,0.6877,0.139,0.2021,0.621,1.3282,0.3621,0.1778,0.1944,0.2994,0.1691,0.3907,0.0512,0.2985,0.0136,0.3516
44,2001,0.484,0.6842,0.8719,0.8889,0.3194,0.4003,17.9867,3.0147,1.5529,1.4618,0.7814,0.7811,0.7773,0.0475,0.0611,0.6627,1.4312,0.5596,0.0487,0.0595,0.1113,0.0533,0.3089,0.0653,0.2223,0.0109,0.3219
