dcode,year,edu_literate_female,edu_literate_male,edu_school_attend_6_16_female,edu_school_attend_6_16_male,edu_attain_secondary_plus,mar_female_married_by_18,mar_female_age_first_mean,fert_birth_mean,fert_birth_son_mean,fert_birth_dau_mean,flfp_all,mlfp_all,fem_employment_rate,flfp_wage,fem_wage_share_of_employment,fem_share_of_ag_workers,fem_ag_specialization_ratio,work_share_agriculture,work_share_household_chores,fem_ownership_house,fem_ownership_land,fem_ownership_both,head_female_share,head_female_elderly,left_not_with_both,left_father_only,absent_hh_share
59,2001,0.5123,0.7405,0.7885,0.8499,0.3685,0.5092,17.4987,2.642,1.3688,1.2732,0.4548,0.7446,0.4487,0.0541,0.1207,0.4374,0.7643,0.2826,0.2044,0.0477,0.0963,0.0436,0.1632,0.0246,0.1245,0.0108,0.1458
59,2011,0.6555,0.8325,0.9022,0.9079,0.2678,0.5311,17.3575,2.5395,1.3218,1.2177,0.5438,0.7142,0.5381,0.049,0.0911,0.5844,1.1185,0.3824,0.1519,0.087,0.153,0.087,0.2992,0.0376,0.1335,0.0069,0.2212
59,2021,0.5658,0.7307,0.863,0.8969,0.4638,0.3312,18.5852,2.5358,1.2846,1.2512,0.6385,0.7297,0.5948,0.0745,0.1252,0.4934,0.9433,0.4283,0.3768,0.0372,0.0476,0.0293,0.1872,0.0372,0.0723,0.0096,0.0423
60,2001,0.3188,0.6428,0.6392,0.7916,0.3107,0.53,17.4028,3.1307,1.615,1.5157,0.7331,0.8258,0.7249,0.0201,0.0277,0.5526,1.1033,0.5833,0.092,0.0217,0.0329,0.0177,0.19,0.0309,0.1079,0.0094,0.1671
60,2011,0.5353,0.7445,0.8914,0.8993,0.2899,0.518,17.3238,2.7589,1.4235,1.3354,0.5913,0.7127,0.5885,0.0437,0.0742,0.6038,1.2615,0.43,0.1174,0.0372,0.0589,0.0372,0.2515,0.0484,0.1213,0.0047,0.1561
60,2021,0.5758,0.7685,0.9176,0.9129,0.5126,0.3377,18.3201,2.7356,1.4151,1.3206,0.8138,0.8256,0.7923,0.0564,0.0712,0.5427,1.1607,0.6075,0.0925,0.035,0.0456,0.0284,0.1608,0.0319,0.0651,0.0052,0.0643
61,2001,0.2912,0.4914,0.6628,0.7658,0.1947,0.4839,17.5984,2.618,1.3647,1.2533,0.7338,0.8534,0.7304,0.0145,0.0198,0.4575,0.8847,0.7223,0.0863,0.0487,0.0368,0.0228,0.0547,0.0114,0.0862,0.0152,0.0184
61,2011,0.4971,0.6766,0.8719,0.8872,0.3038,0.5745,17.0974,3.1745,1.6705,1.504,0.5434,0.7167,0.5404,0.0249,0.0461,0.4811,0.8995,0.4849,0.1351,0.0184,0.0276,0.0184,0.1269,0.0222,0.0601,0.01,0.0941
61,2021,0.539,0.7446,0.9027,0.8891,0.5166,0.3319,18.3451,2.7675,1.4163,1.3512,0.8563,0.8363,0.8271,0.0475,0.0574,0.5341,1.2413,0.637,0.229,0.0263,0.0342,0.0211,0.1747,0.0342,0.1481,0.0084,0.0509
62,2001,0.1965,0.4908,0.5106,0.7001,0.3333,0.4326,17.9289,3.247,1.6531,1.5938,0.8326,0.8948,0.8317,0.0278,0.0334,0.5154,1.069,0.7053,0.0656,0.0412,0.0553,0.0338,0.1323,0.0274,0.1285,0.0182,0.0258
62,2011,0.4064,0.6884,0.7494,0.8407,0.3538,0.4825,17.6098,2.9967,1.5257,1.471,0.8361,0.813,0.8356,0.0377,0.0452,0.5779,1.3268,0.6507,0.0303,0.0312,0.0398,0.0312,0.1262,0.0275,0.0846,0.0129,0.0413
62,2021,0.6107,0.7784,0.9208,0.9283,0.4726,0.3326,19.1795,2.3824,1.247,1.1354,0.783,0.7957,0.7587,0.0569,0.075,0.5571,1.2112,0.5709,0.1573,0.0519,0.0826,0.0449,0.2286,0.044,0.0876,0.0043,0.0662
63,2001,0.1682,0.4717,0.4506,0.6692,0.3217,0.5932,16.7458,2.713,1.4118,1.3012,0.9158,0.8875,0.9144,0.0209,0.0229,0.5243,1.1666,0.755,0.017,0.0212,0.0236,0.0163,0.0814,0.0088,0.1,0.0191,0.0394
63,2011,0.4124,0.696,0.8363,0.905,0.3684,0.5947,16.9302,2.8716,1.5086,1.3631,0.8013,0.7511,0.801,0.0339,0.0423,0.6059,1.4906,0.6164,0.0365,0.0286,0.0566,0.0286,0.1362,0.0278,0.0646,0.0095,0.0467
63,2021,0.6507,0.791,0.9481,0.9408,0.5392,0.2686,18.7034,2.8255,1.4931,1.3324,0.8089,0.8331,0.7815,0.0527,0.0674,0.5383,1.0892,0.6172,0.2003,0.0242,0.0393,0.0188,0.2109,0.0466,0.0977,0.0079,0.1048
64,2001,0.1663,0.5328,0.4286,0.6443,0.3254,0.4333,17.8333,4.5162,2.3177,2.1986,0.5145,0.7982,0.5116,0.032,0.0625,0.4223,0.7267,0.4971,0.1793,0.0099,0.0079,0.0044,0.08,0.0089,0.1186,0.0153,0.0563
64,2011,0.4643,0.6957,0.8792,0.9015,0.3134,0.4353,17.5446,3.2214,1.6672,1.5542,0.6758,0.6986,0.6738,0.0317,0.047,0.5544,1.233,0.5453,0.0705,0.0122,0.0204,0.0122,0.1059,0.0209,0.0665,0.0103,0.0624
64,2021,0.6858,0.8327,0.9436,0.9386,0.4221,0.3581,18.4847,2.5016,1.3009,1.2007,0.7913,0.8205,0.7624,0.0628,0.0824,0.5664,1.1147,0.5811,0.2097,0.0531,0.0782,0.0449,0.3684,0.0658,0.1965,0.0057,0.225
65,2001,0.092,0.4505,0.3015,0.6461,0.3515,0.5633,17.1267,3.2436,1.66,1.5836,0.9264,0.913,0.9255,0.0161,0.0174,0.5356,1.2021,0.7791,0.0288,0.0342,0.0436,0.0301,0.0683,0.014,0.0881,0.0151,0.0491
65,2011,0.3729,0.6668,0.8038,0.8829,0.396,0.4834,17.5096,2.9514,1.5272,1.4242,0.8488,0.7619,0.8483,0.0191,0.0225,0.5876,1.4509,0.6761,0.0169,0.0257,0.0344,0.0257,0.0771,0.0282,0.0505,0.0082,0.0451
65,2021,0.7002,0.8154,0.9458,0.9381,0.4592,0.4139,18.1021,2.872,1.4753,1.3966,0.8727,0.8927,0.8547,0.0515,0.0603,0.537,1.1303,0.6869,0.1245,0.0402,0.0554,0.0363,0.2777,0.0415,0.1116,0.0084,0.1011
66,2001,0.1156,0.4085,0.3818,0.6789,0.3405,0.4681,17.5872,3.0097,1.5795,1.4302,0.9189,0.8811,0.9167,0.0134,0.0146,0.5253,1.1834,0.8033,0.0211,0.0125,0.0181,0.0096,0.059,0.0163,0.0813,0.0146,0.0184
66,2011,0.3333,0.6345,0.7894,0.8976,0.42,0.5314,17.3525,3.0849,1.5991,1.4858,0.8569,0.7662,0.8567,0.0279,0.0326,0.5936,1.4927,0.662,0.0149,0.0159,0.0267,0.0159,0.0973,0.0187,0.065,0.0105,0.0461
66,2021,0.6938,0.8199,0.9548,0.9526,0.4722,0.4247,18.0895,2.3734,1.2099,1.1635,0.8854,0.9132,0.854,0.0659,0.0772,0.5812,1.1992,0.6183,0.2097,0.0815,0.129,0.0711,0.3255,0.0438,0.1801,0.0076,0.182
67,2001,0.1714,0.505,0.5103,0.7406,0.2675,0.5427,17.3272,3.2086,1.6625,1.5461,0.9302,0.8805,0.929,0.0115,0.0124,0.5491,1.1263,0.7864,0.0161,0.0138,0.0181,0.0111,0.1612,0.0268,0.1106,0.019,0.1839
67,2011,0.4405,0.7074,0.8754,0.9182,0.3028,0.5233,17.3159,3.3057,1.7266,1.5791,0.7498,0.7359,0.7465,0.0237,0.0318,0.5978,1.3291,0.6078,0.0432,0.0157,0.0231,0.0157,0.2102,0.0471,0.1177,0.014,0.1774
67,2021,0.697,0.8502,0.953,0.9353,0.3438,0.4296,17.9132,2.3068,1.1921,1.1147,0.8368,0.8629,0.8127,0.0605,0.0744,0.5734,1.1561,0.6337,0.2062,0.0703,0.1411,0.0611,0.3438,0.0445,0.216,0.0077,0.2388
68,2001,0.1526,0.571,0.428,0.7604,0.2056,0.6329,16.719,2.9709,1.5336,1.4373,0.831,0.8516,0.8299,0.0166,0.0201,0.5175,0.9178,0.5745,0.0745,0.0132,0.0166,0.0097,0.1502,0.0272,0.1365,0.0116,0.2542
68,2011,0.4069,0.7514,0.7991,0.8814,0.2872,0.558,17.0753,3.0095,1.5942,1.4153,0.687,0.6913,0.6843,0.0289,0.0422,0.6357,1.4325,0.5225,0.1016,0.0162,0.025,0.0162,0.25,0.0556,0.1188,0.0062,0.3034
68,2021,0.751,0.882,0.9585,0.9485,0.3548,0.4008,18.3437,2.1844,1.1376,1.0468,0.7665,0.8265,0.7305,0.09,0.1232,0.5864,1.1532,0.5016,0.1768,0.0901,0.1532,0.0794,0.3887,0.0445,0.2757,0.0099,0.2401
69,2001,0.1611,0.5386,0.4977,0.7568,0.1977,0.4853,17.6007,3.097,1.614,1.4829,0.8842,0.8384,0.8824,0.01,0.0114,0.5768,1.0948,0.7474,0.0389,0.0143,0.0135,0.0088,0.2378,0.0399,0.1589,0.0098,0.3193
69,2011,0.435,0.7268,0.8243,0.8849,0.294,0.4304,17.727,3.0319,1.5545,1.4774,0.702,0.7046,0.7,0.0243,0.0347,0.6368,1.3297,0.5672,0.0839,0.0128,0.0217,0.0128,0.2948,0.068,0.1528,0.0055,0.3572
69,2021,0.6238,0.7953,0.9244,0.9382,0.4467,0.2579,18.9793,2.6391,1.3758,1.2633,0.7967,0.8138,0.7751,0.0479,0.0618,0.5639,1.149,0.6113,0.2274,0.0269,0.0384,0.0231,0.2398,0.0549,0.1674,0.0085,0.2136
70,2001,0.2524,0.6018,0.6155,0.7922,0.2929,0.4706,17.5986,2.4049,1.2658,1.1391,0.7471,0.8397,0.744,0.0293,0.0394,0.5728,1.366,0.5124,0.0911,0.0119,0.0138,0.0082,0.1692,0.0344,0.1637,0.017,0.31
70,2011,0.4297,0.7561,0.8171,0.8959,0.2727,0.4644,17.53,2.8046,1.4452,1.3593,0.6834,0.7333,0.6811,0.059,0.0866,0.7111,1.7698,0.4434,0.0894,0.0168,0.0302,0.0168,0.3589,0.0689,0.2083,0.0067,0.3838
70,2021,0.5962,0.8326,0.925,0.9441,0.4534,0.359,18.1815,2.7055,1.4241,1.2814,0.8166,0.8268,0.7913,0.0544,0.0688,0.6042,1.2339,0.6031,0.2373,0.0345,0.0566,0.0299,0.3076,0.0765,0.2181,0.0073,0.3304
71,2001,0.4084,0.637,0.6821,0.7846,0.3632,0.5173,17.3773,2.9575,1.5506,1.4069,0.5078,0.7339,0.5033,0.0697,0.1385,0.4713,0.9158,0.3706,0.1773,0.0376,0.0594,0.0291,0.1036,0.0128,0.1388,0.0146,0.1208
71,2011,0.5747,0.7716,0.8921,0.8987,0.3068,0.4804,17.5901,2.5484,1.3354,1.213,0.4474,0.7028,0.4425,0.0659,0.1489,0.5306,0.9693,0.3362,0.194,0.0731,0.1304,0.0731,0.2466,0.0325,0.1199,0.0056,0.2427
71,2021,0.6804,0.8708,0.9568,0.9516,0.4343,0.3351,18.2017,2.295,1.1964,1.0987,0.7521,0.7904,0.7049,0.0793,0.1124,0.5727,1.1821,0.5115,0.29,0.0319,0.0443,0.0283,0.2268,0.0476,0.1861,0.0078,0.1806
72,2001,0.467,0.722,0.7639,0.837,0.331,0.4869,17.5427,3.0184,1.5718,1.4466,0.5389,0.7277,0.5356,0.0386,0.0721,0.4975,1.0082,0.4205,0.1401,0.0337,0.0756,0.0312,0.099,0.0137,0.1145,0.0114,0.0956
72,2011,0.613,0.8218,0.9087,0.9188,0.3051,0.4445,17.7185,2.5717,1.3545,1.2172,0.5005,0.6933,0.4959,0.0426,0.0859,0.5744,1.0961,0.409,0.1623,0.0996,0.1502,0.0996,0.2625,0.0355,0.1101,0.006,0.2904
72,2021,0.6727,0.88,0.9487,0.9554,0.3755,0.2753,18.67,2.4868,1.3046,1.1822,0.8201,0.8491,0.7876,0.0558,0.0709,0.6108,1.2934,0.5929,0.2644,0.0254,0.0403,0.0229,0.2775,0.0554,0.2122,0.0046,0.2698
73,2001,0.3291,0.7244,0.7296,0.8657,0.3505,0.5448,17.3136,2.8926,1.5025,1.3902,0.8073,0.7656,0.8058,0.026,0.0322,0.6509,1.6624,0.5891,0.0449,0.0093,0.015,0.0077,0.1586,0.0334,0.1168,0.0099,0.2089
73,2011,0.5359,0.8158,0.9089,0.9196,0.2687,0.4716,17.5131,2.6302,1.3627,1.2676,0.6762,0.7134,0.6727,0.057,0.0847,0.7,1.8306,0.4283,0.0712,0.0204,0.036,0.0204,0.2893,0.052,0.1669,0.0073,0.2928
73,2021,0.6786,0.8919,0.9426,0.9556,0.3408,0.3053,18.6041,2.4066,1.2722,1.1344,0.802,0.8107,0.7678,0.0618,0.0805,0.62,1.3163,0.5659,0.2232,0.0474,0.0704,0.0424,0.336,0.069,0.2824,0.0059,0.2909
74,2001,0.3274,0.7132,0.6984,0.8663,0.2195,0.4542,17.6642,2.8029,1.463,1.3398,0.7916,0.7722,0.7906,0.0164,0.0207,0.6264,1.4299,0.5992,0.061,0.0138,0.0134,0.0081,0.1347,0.0279,0.1544,0.0145,0.1842
74,2011,0.4985,0.8098,0.8901,0.9235,0.2358,0.4666,17.4948,2.6666,1.3837,1.2829,0.6902,0.672,0.6879,0.0356,0.0518,0.7093,1.8646,0.4589,0.0662,0.012,0.0193,0.012,0.2097,0.0435,0.1383,0.006,0.269
74,2021,0.606,0.8253,0.9173,0.9266,0.3713,0.2809,18.5711,2.6615,1.3849,1.2766,0.8185,0.8033,0.7952,0.055,0.0691,0.634,1.2554,0.6171,0.2256,0.0298,0.0475,0.0263,0.4439,0.0765,0.3852,0.0059,0.3868
75,2001,0.3228,0.6724,0.6934,0.8517,0.226,0.5514,17.0202,2.957,1.5233,1.4338,0.8224,0.8227,0.8212,0.0124,0.0151,0.5716,1.1816,0.6707,0.0507,0.0128,0.0161,0.009,0.1001,0.0188,0.1064,0.0099,0.1317
75,2011,0.5359,0.8104,0.9034,0.9215,0.3134,0.5377,17.2165,2.7049,1.389,1.3159,0.6146,0.6875,0.6127,0.0394,0.0642,0.6295,1.3885,0.4252,0.1223,0.016,0.0263,0.016,0.1849,0.0359,0.106,0.0051,0.1905
75,2021,0.6433,0.8285,0.9323,0.9389,0.3764,0.2972,18.5717,2.8244,1.4514,1.373,0.9011,0.8897,0.8892,0.0494,0.0555,0.6105,1.205,0.7221,0.1438,0.0308,0.0563,0.0261,0.4071,0.0844,0.2865,0.0077,0.3909
76,2021,0.7009,0.8432,0.9389,0.9303,0.4046,0.3024,18.7505,2.0689,1.0897,0.9792,0.7275,0.8144,0.6884,0.135,0.1961,0.5886,1.2062,0.4052,0.2396,0.0908,0.1499,0.0819,0.3527,0.0479,0.2699,0.0081,0.2739
77,2021,0.7174,0.8779,0.9497,0.9367,0.3834,0.2635,18.8083,2.0981,1.1246,0.9736,0.8385,0.872,0.8137,0.0964,0.1185,0.6314,1.3835,0.5585,0.1843,0.1041,0.1621,0.0973,0.3351,0.0482,0.3178,0.0095,0.327
