"lgcode","year","geog_pop_2001","geog_total_mig_2001","geog_intensity_2001","shareshock_index_2001","shareshock_growth_yoy","shareshock_log_yoy","shareshock_growth_dec","shareshock_log_dec","ssiv_index_2001","ssiv_growth_yoy","ssiv_log_yoy","ssiv_growth_dec","ssiv_log_dec","absexp_index_2001","absexp_growth_yoy","absexp_log_yoy","absexp_growth_dec","absexp_log_dec"
10101,2000,12938,118,0.00912042046684186,0.98797300529322,0,0,0,0,0.00901072921816355,0,0,0,0,116.5808146246,0,0,0,0
10101,2001,12938,118,0.00912042046684186,0.949152542372881,-0.0362388469381356,-0.0375166452194915,0,0,0.00865667027361261,-0.000330513521309321,-0.000342167578907095,0,0,112,-4.2761839387,-4.4269641359,0,0
10101,2002,12938,118,0.00912042046684186,0.910824573683898,-0.038327968688983,-0.0392140709567797,0,0,0.00830710308352914,-0.000349567190083475,-0.000357648815342402,0,0,107.4772996947,-4.5227003053,-4.6272603729,0,0
10101,2003,12938,118,0.00912042046684186,0.924162290033051,0.0137239587898305,0.0134436290847458,0,0,0.00842874866470088,0.000125168274632864,0.000122611549853146,0,0,109.0511502239,1.6194271372,1.586348232,0,0
10101,2004,12938,118,0.00912042046684186,0.948702164140678,0.0246749726440678,0.0240618322550847,0,0,0.00865256263476581,0.000225046125521719,0.000219454027368991,0,0,111.9468553686,2.911646772,2.8392962061,0,0
10101,2005,12938,118,0.00912042046684186,0.978612324708475,0.0298428325245763,0.0292844558966102,0,0,0.00892535587537487,0.000272179180545679,0.000267086550919771,0,0,115.4762543156,3.5214542379,3.4555657958,0,0
10101,2006,12938,118,0.00912042046684186,0.954674010912712,-0.0236273288016949,-0.0240641576855932,0,0,0.00870702838829031,-0.00021549117317978,-0.000219475236272994,0,0,112.6515332877,-2.7880247986,-2.8395706069,0,0
10101,2007,12938,118,0.00912042046684186,1.03441492880593,0.0780589554805085,0.0746826223237288,0,0,0.00943429908788839,0.000711930495184727,0.000681136917158757,0,0,122.0609615991,9.2109567467,8.8125494342,0,0
10101,2008,12938,118,0.00912042046684186,0.988129010277966,-0.0419409888025424,-0.0438808742059322,0,0,0.00901215204921935,-0.000382519452674293,-0.000400212023210697,0,0,116.5992232128,-4.9490366787,-5.1779431563,0,0
10101,2009,12938,118,0.00912042046684186,0.910324996369491,-0.0733347768855932,-0.0776795409271186,0,0,0.00830254672836605,-0.000668844000038646,-0.000708470074926573,0,0,107.4183495716,-8.6535036725,-9.1661858294,0,0
10101,2010,12938,118,0.00912042046684186,0.957058204950847,0.0469958905347458,0.0454300333618644,0,0,0.00872877324039264,0.000428622281890555,0.000414341006082857,0,0,112.9328681842,5.5455150831,5.3607439367,0,0
10101,2011,12938,118,0.00912042046684186,0.939311731891526,-0.0196901303957627,-0.0202069262677966,-0.00984081048135593,-0.0181429971838983,0.00856691794428814,-0.000179582268256299,-0.000184295663904777,-0.0000897523293244705,-0.00016547176284588,110.8387843632,-2.3234353867,-2.3844172996,-1.1612156368,-2.1408736677
10101,2012,12938,118,0.00912042046684186,0.821986795433051,-0.120061324033051,-0.128549588505085,0,0,0.00749686519254135,-0.00109500975698717,-0.00117242629800587,0,0,96.9944418611,-14.1672362359,-15.1688514436,0,0
10101,2013,12938,118,0.00912042046684186,0.758134537364407,-0.075158548088983,-0.0784778913033898,0,0,0.00691450575119802,-0.000685477560248879,-0.000715751366038028,0,0,89.459875409,-8.8687086745,-9.2603911738,0,0
10101,2014,12938,118,0.00912042046684186,0.724879982241525,-0.0412216576771186,-0.0424146092788136,0,0,0.00661121022603957,-0.000375958850355542,-0.000386839070559592,0,0,85.5358379045,-4.8641556059,-5.0049238949,0,0
