"dname","year","geog_pop_2001","geog_total_mig_2001","geog_intensity_2001","shareshock_index_2001","shareshock_growth_yoy","shareshock_log_yoy","shareshock_growth_dec","shareshock_log_dec","ssiv_index_2001","ssiv_growth_yoy","ssiv_log_yoy","ssiv_growth_dec","ssiv_log_dec","absexp_index_2001","absexp_growth_yoy","absexp_log_yoy","absexp_growth_dec","absexp_log_dec","fxshock","mig_intensity","fxshock_x_mig_intensity","total_migrants"
"Achham",2000,230939,92,0.000398373596490848,0.94941750501087,0,0,0,0,0.000378222866042548,0,0,0,0,87.346410461,0,0,0,0,0.94941750501087,0.000398373596490848,0.000378222866042548,92
"Achham",2001,230939,92,0.000398373596490848,0.956521739130435,0.00965776516304348,0.00836219456413043,0,0,0.000381053005339072,0.00000384739864206565,0.00000333127752306886,0,0,88,0.888514395,0.7693218999,0,0,0.956521739130435,0.000398373596490848,0.000381053005339072,92
"Achham",2002,230939,92,0.000398373596490848,0.93376877511413,-0.0227529640163043,-0.023709193748913,0,0,0.00037198882523307,-0.00000906418010600202,-0.00000944511678365283,0,0,85.9067273105,-2.0932726895,-2.1812458249,0,0,0.93376877511413,0.000398373596490848,0.00037198882523307,92
"Achham",2003,230939,92,0.000398373596490848,0.930499247711956,-0.004047136725,-0.00502976688586956,0,0,0.000370686331843041,-0.00000161227241262844,-0.00000200372632383443,0,0,85.6059307895,-0.3723365787,-0.4627385535,0,0,0.930499247711956,0.000398373596490848,0.000370686331843041,92
"Achham",2004,230939,92,0.000398373596490848,0.945139323067391,0.0137474806597826,0.0128256550597826,0,0,0.000376518551315282,0.00000547663331312598,0.00000510940233351664,0,0,86.9528177222,1.2647682207,1.1799602655,0,0,0.945139323067391,0.000398373596490848,0.000376518551315282,92
"Achham",2005,230939,92,0.000398373596490848,0.98487713313913,0.0382366403543478,0.0367431743217391,0,0,0.000392349045630231,0.0000152324679356886,0.0000146375105010414,0,0,90.6086962488,3.5177709126,3.3803720376,0,0,0.98487713313913,0.000398373596490848,0.000392349045630231,92
"Achham",2006,230939,92,0.000398373596490848,0.974573622504348,-0.0117690647858696,-0.0125718529282609,0,0,0.000388244399042171,-0.00000468848466608065,-0.00000500829426558528,0,0,89.6607732704,-1.0827539603,-1.1566104694,0,0,0.974573622504348,0.000398373596490848,0.000388244399042171,92
"Achham",2007,230939,92,0.000398373596490848,1.04203259882609,0.0629598605880435,0.0603122608282609,0,0,0.000415118274055054,0.0000250815460970213,0.0000240268122586484,0,0,95.866999092,5.7923071741,5.5487279962,0,0,1.04203259882609,0.000398373596490848,0.000415118274055054,92
"Achham",2008,230939,92,0.000398373596490848,0.997207078473913,-0.0412021082195652,-0.0451172579086956,0,0,0.000397260970297784,-0.0000164138320344333,-0.0000179735242968923,0,0,91.7430512196,-3.7905939562,-4.1507877276,0,0,0.997207078473913,0.000398373596490848,0.000397260970297784,92
"Achham",2009,230939,92,0.000398373596490848,0.96218821411087,-0.0312960767847826,-0.0365111313956522,0,0,0.000383310379356453,-0.0000124675306648076,-0.0000145450707260359,0,0,88.5213156982,-2.8792390642,-3.3590240884,0,0,0.96218821411087,0.000398373596490848,0.000383310379356453,92
"Achham",2010,230939,92,0.000398373596490848,1.00348987453587,0.0336753392467391,0.0317984981782609,0,0,0.000399763870361004,0.0000134153660087729,0.0000126676820822815,0,0,92.3210684573,3.0981312107,2.9254618324,0,0,1.00348987453587,0.000398373596490848,0.000399763870361004,92
"Achham",2011,230939,92,0.000398373596490848,0.999284695980435,-0.0134890361434783,-0.0155194370543478,0.04276295685,0.00322094843586957,0.00039808863825599,-0.00000537367584167248,-0.00000618253395485388,0.0000170356329169175,0.00000128314081250893,91.9341920302,-1.2409913252,-1.427788209,3.9341920302,0.2963272561,0.999284695980435,0.000398373596490848,0.00039808863825599,92
"Achham",2012,230939,92,0.000398373596490848,0.915712742058696,-0.0884037705728261,-0.0937995429565217,0,0,0.000364795778406419,-0.0000352177280264485,-0.0000373672612767874,0,0,84.2455722694,-8.1331468927,-8.629557952,0,0,0.915712742058696,0.000398373596490848,0.000364795778406419,92
"Achham",2013,230939,92,0.000398373596490848,0.859611484542391,-0.0543798863826087,-0.0578999057304348,0,0,0.00034244651868199,-0.0000216635109150035,-0.0000230657936823144,0,0,79.0842565779,-5.0029495472,-5.3267913272,0,0,0.859611484542391,0.000398373596490848,0.00034244651868199,92
"Achham",2014,230939,92,0.000398373596490848,0.849050357198913,-0.00730368914347826,-0.00964573528369565,0,0,0.00033823924439917,-0.0000029095969117386,-0.00000384260625576451,0,0,78.1126328623,-0.6719394012,-0.8874076461,0,0,0.849050357198913,0.000398373596490848,0.00033823924439917,92
"Achham",2015,230939,92,0.000398373596490848,0.911846238519565,0.0698177297315217,0.0542750079858696,0,0,0.000363255465485691,0.0000278135400919723,0.0000216217301309004,0,0,83.8898539438,6.4232311353,4.9933007347,0,0,0.911846238519565,0.000398373596490848,0.000363255465485691,92
"Achham",2016,230939,92,0.000398373596490848,0.898724261338043,-0.0201582644271739,-0.0213925498391304,0,0,0.000358028016242817,-0.0000080305202988668,-0.00000852222701752411,0,0,82.6826320431,-1.8545603273,-1.9681145852,0,0,0.898724261338043,0.000398373596490848,0.000358028016242817,92
"Achham",2017,230939,92,0.000398373596490848,0.898974461368478,0.0137384735413043,0.0122365527434783,0,0,0.000358127689328784,0.00000547304511494377,0.00000487471952506939,0,0,82.7056504459,1.2639395658,1.1257628524,0,0,0.898974461368478,0.000398373596490848,0.000358127689328784,92
"Achham",2018,230939,92,0.000398373596490848,0.907660881747826,-0.00395248735978261,-0.00550058028913044,0,0,0.000361588129855936,-0.00000157456660460121,-0.00000219128595256756,0,0,83.5048011208,-0.3636288371,-0.5060533866,0,0,0.907660881747826,0.000398373596490848,0.000361588129855936,92
"Achham",2019,230939,92,0.000398373596490848,0.936538317828261,0.0190574091282609,0.0165083298358696,0,0,0.000373092137924733,0.00000759196861422281,0.00000657648272877253,0,0,86.1615252402,1.7532816398,1.5187663449,0,0,0.936538317828261,0.000398373596490848,0.000373092137924733,92
"Achham",2020,230939,92,0.000398373596490848,0.933799612681522,-0.0173644340576087,-0.0183982965043478,0,0,0.000372001110105699,-0.00000691753204655775,-0.00000732939554774204,0,0,85.9095643667,-1.5975279333,-1.6926432784,0,0,0.933799612681522,0.000398373596490848,0.000372001110105699,92
"Achham",2021,230939,92,0.000398373596490848,0.935452671444565,-0.00694394243804348,-0.00749618232934783,-0.0750516648097826,-0.131112902419565,0.000372659645070343,-0.00000276628332286881,-0.00000298628111449344,-0.0000298986016328987,-0.0000522319184832358,86.0616457729,-0.6388427043,-0.6896487743,-6.9047531625,-12.0623870226,0.935452671444565,0.000398373596490848,0.000372659645070343,92
"Achham",2022,230939,92,0.000398373596490848,0.952895285147826,0.0110385105586956,0.00690976151413043,0,0,0.000379608321823512,0.00000439745115116979,0.00000275266654527819,0,0,87.6663662336,1.0155429714,0.6356980593,0,0,0.952895285147826,0.000398373596490848,0.000379608321823512,92
"Achham",2023,230939,92,0.000398373596490848,1.07955190213696,0.0708840669195652,0.0625870435793478,0,0,0.000430064973852836,0.0000282383406726452,0.0000249330256444342,0,0,99.3187749966,6.5213341566,5.7580080093,0,0,1.07955190213696,0.000398373596490848,0.000430064973852836,92
"Arghakhanchi",2000,208291,1030,0.00494500482498044,0.946790307346796,0,0,0,0,0.00468188263807462,0,0,0,0,975.1940165672,0,0,0,0,0.946790307346796,0.00494500482498044,0.00468188263807462,1030
"Arghakhanchi",2001,208291,1030,0.00494500482498044,0.909708737864078,-0.0344440235797087,-0.0357493302337864,0,0,0.00449851409806473,-0.0001703258627934,-0.000176780610495893,0,0,937,-35.4773442871,-36.8218101408,0,0,0.909708737864078,0.00494500482498044,0.00449851409806473,1030
"Arghakhanchi",2002,208291,1030,0.00494500482498044,0.87461043950932,-0.0350982983547573,-0.0358865125356311,0,0,0.00432495284335185,-0.000173561254712878,-0.000177458977640417,0,0,900.8487526946,-36.1512473054,-36.9631079117,0,0,0.87461043950932,0.00494500482498044,0.00432495284335185,1030
"Arghakhanchi",2003,208291,1030,0.00494500482498044,0.886924722414466,0.012634783878835,0.0121746902005825,0,0,0.00438584703173397,0.0000624790672434239,0.0000602039017845226,0,0,913.5324640869,13.0138273952,12.5399309066,0,0,0.886924722414466,0.00494500482498044,0.00438584703173397,1030
"Arghakhanchi",2004,208291,1030,0.00494500482498044,0.911151593140291,0.0241340519050485,0.0235289843462136,0,0,0.00450564902436735,0.000119343003116793,0.000116350941118915,0,0,938.4861409345,24.8580734622,24.2348538766,0,0,0.911151593140291,0.00494500482498044,0.00450564902436735,1030
"Arghakhanchi",2005,208291,1030,0.00494500482498044,0.939377500491553,0.0277396438120388,0.027128168812233,0,0,0.00464522627240879,0.000137172672493771,0.000134148925669376,0,0,967.5588255063,28.5718331264,27.9420138766,0,0,0.939377500491553,0.00494500482498044,0.00464522627240879,1030
"Arghakhanchi",2006,208291,1030,0.00494500482498044,0.920881318036117,-0.0182609315407767,-0.0186043125483495,0,0,0.00455376256092294,-0.0000903003945777782,-0.0000919984153170324,0,0,948.5077575772,-18.808759487,-19.1624419248,0,0,0.920881318036117,0.00494500482498044,0.00455376256092294,1030
