lgcode,share_e_asia,share_gulf,share_oecd_europe,share_oecd_north,share_other,share_s_asia,share_se_asia
10101,0.15254237288135594,0.5508474576271186,0.05084745762711865,0.01694915254237288,0.05084745762711865,0.05084745762711865,0.1271186440677966
10102,0.07913669064748201,0.7482014388489209,0.014388489208633094,0.007194244604316547,0.02877697841726619,0.007194244604316547,0.11510791366906475
10103,0.13953488372093023,0.6550387596899225,0.027131782945736434,0.011627906976744186,0.011627906976744186,0.0,0.15503875968992248
10104,0.23282442748091603,0.5610687022900763,0.04198473282442748,0.007633587786259542,0.007633587786259542,0.003816793893129771,0.1450381679389313
10105,0.13761467889908258,0.6467889908256881,0.04128440366972477,0.013761467889908258,0.022935779816513763,0.013761467889908258,0.12385321100917432
10106,0.15445544554455445,0.6376237623762376,0.05148514851485148,0.031683168316831684,0.027722772277227723,0.005940594059405941,0.09108910891089109
10107,0.0847457627118644,0.8022598870056498,0.026365348399246705,0.003766478342749529,0.013182674199623353,0.0018832391713747645,0.06779661016949153
10108,0.06290672451193059,0.7960954446854663,0.03470715835140998,0.008676789587852495,0.006507592190889371,0.006507592190889371,0.08459869848156182
10109,0.12452830188679245,0.7509433962264151,0.01509433962264151,0.007547169811320755,0.026415094339622643,0.01509433962264151,0.06037735849056604
10201,0.0,0.18181818181818182,0.0,0.0,0.6363636363636364,0.09090909090909091,0.09090909090909091
10202,0.22580645161290322,0.4838709677419355,0.0,0.03225806451612903,0.0967741935483871,0.0,0.16129032258064516
10203,0.04285714285714286,0.5142857142857142,0.08571428571428572,0.014285714285714285,0.07142857142857142,0.11428571428571428,0.15714285714285714
10204,0.14814814814814814,0.7222222222222222,0.046296296296296294,0.009259259259259259,0.009259259259259259,0.009259259259259259,0.05555555555555555
10205,0.018292682926829267,0.926829268292683,0.006097560975609756,0.012195121951219513,0.0,0.024390243902439025,0.012195121951219513
10206,0.16403162055335968,0.642292490118577,0.02766798418972332,0.019762845849802372,0.03162055335968379,0.009881422924901186,0.10474308300395258
10207,0.011673151750972763,0.8793774319066148,0.01556420233463035,0.011673151750972763,0.019455252918287938,0.0038910505836575876,0.058365758754863814
10208,0.03761755485893417,0.8510971786833855,0.01567398119122257,0.012539184952978056,0.012539184952978056,0.003134796238244514,0.06739811912225706
10209,0.023931623931623933,0.8940170940170941,0.008547008547008548,0.013675213675213675,0.006837606837606838,0.017094017094017096,0.035897435897435895
10210,0.032418952618453865,0.827930174563591,0.014962593516209476,0.0024937655860349127,0.06982543640897755,0.012468827930174564,0.0399002493765586
10301,0.14893617021276595,0.03723404255319149,0.14361702127659576,0.5904255319148937,0.06914893617021277,0.0,0.010638297872340425
10302,0.034482758620689655,0.27586206896551724,0.034482758620689655,0.3448275862068966,0.0,0.27586206896551724,0.034482758620689655
10303,0.16129032258064516,0.41935483870967744,0.06451612903225806,0.1935483870967742,0.0967741935483871,0.03225806451612903,0.03225806451612903
10304,0.10144927536231885,0.6231884057971014,0.028985507246376812,0.07246376811594203,0.014492753623188406,0.07246376811594203,0.08695652173913043
10305,0.13071895424836602,0.5555555555555556,0.13071895424836602,0.013071895424836602,0.006535947712418301,0.032679738562091505,0.13071895424836602
10306,0.26666666666666666,0.43703703703703706,0.1111111111111111,0.022222222222222223,0.05185185185185185,0.007407407407407408,0.1037037037037037
10307,0.06576402321083172,0.4796905222437137,0.061895551257253385,0.2514506769825919,0.019342359767891684,0.0425531914893617,0.07930367504835589
10308,0.2,0.13333333333333333,0.3,0.23333333333333334,0.0,0.06666666666666667,0.06666666666666667
10401,0.045454545454545456,0.6590909090909091,0.06818181818181818,0.03409090909090909,0.056818181818181816,0.03409090909090909,0.10227272727272728
10402,0.07692307692307693,0.6102564102564103,0.09230769230769231,0.03076923076923077,0.05897435897435897,0.041025641025641026,0.08974358974358974
10403,0.05434782608695652,0.6304347826086957,0.08695652173913043,0.010869565217391304,0.03260869565217391,0.06521739130434782,0.11956521739130435
10404,0.10476190476190476,0.5428571428571428,0.08571428571428572,0.10476190476190476,0.02857142857142857,0.01904761904761905,0.11428571428571428
10405,0.07142857142857142,0.38095238095238093,0.023809523809523808,0.07142857142857142,0.047619047619047616,0.07142857142857142,0.3333333333333333
