lgcode,year,trade_ssiv_imp,trade_ssiv_exp
10101,2000,0.01699268590900211,0.003992493133031067
10101,2001,0.0,0.0
10101,2002,0.061865836084559124,-0.005866718319667771
10101,2003,0.051506006669471076,-0.00600362361535422
10101,2004,0.06540143928746879,-0.001035499971919771
10101,2005,0.08353161638699415,0.006290993886584997
10101,2006,0.07346123406157962,0.00493040294155797
10101,2007,0.12717333668501835,0.021931910524223743
10101,2008,0.08078014563678511,0.010807584014132872
10101,2009,0.06412461309036925,-0.004752370024061337
10101,2010,0.10226993172046493,0.004295281791616602
10101,2011,0.08822933783482793,0.0022224406970689004
10101,2012,0.019643594161665192,-0.016944897264222623
10101,2013,0.0144210352663723,-0.030753609935889062
10101,2014,0.10012302931026819,-0.036908208657739694
10101,2015,0.16531553219091644,-0.03909544667299422
10101,2016,0.3059579477564991,-0.04186167256078559
10101,2017,0.391214949880201,-0.03636693455804248
10101,2018,0.6838192460860656,-0.03783285168167655
10101,2019,1.177794291714488,-0.03534844325542223
10101,2020,1.6643776889340887,-0.036809792006797265
10101,2021,2.2788410988954633,-0.031680027002273785
10101,2022,2.98296402852062,-0.03382286134581918
10101,2023,6.5365600024765165,-0.011810674039121857
10102,2000,0.01535164770595207,0.003606925260370748
10102,2001,0.0,0.0
10102,2002,0.055891253783558116,-0.0053001505068649675
10102,2003,0.04653190633690536,-0.00542383441885584
10102,2004,0.0590854124403924,-0.0009354984169991706
10102,2005,0.07546470016270504,0.005683452420902337
10102,2006,0.06636684697152057,0.004454258109195676
10102,2007,0.11489179949736866,0.019813875551479402
10102,2008,0.07297894777155045,0.00976386094734746
10102,2009,0.05793189344612802,-0.004293418401799963
10102,2010,0.092393396258364,0.003880472646631823
10102,2011,0.07970874757663587,0.0020078124677569515
10102,2012,0.01774654924262588,-0.01530847416393945
10102,2013,0.01302834961759492,-0.027783635144572688
10102,2014,0.09045382710273454,-0.03334386451945332
10102,2015,0.14935048079553206,-0.03531987394133436
10102,2016,0.2764106070074292,-0.0378189565190898
10102,2017,0.3534340668699637,-0.03285486299636238
10102,2018,0.6177806273051687,-0.0341792117996455
10102,2019,1.0640509177482917,-0.031934730666892376
10102,2020,1.5036433949871837,-0.03325495228028415
10102,2021,2.058766101805871,-0.028620585142241126
10102,2022,2.6948896207818698,-0.03055647909746906
10102,2023,5.905303429028631,-0.010670079349985484
10103,2000,0.018173516882816654,0.004269933649466871
10103,2001,0.0,0.0
10103,2002,0.06616492663803543,-0.006274399762354765
10103,2003,0.055085187049695124,-0.006420818681401965
10103,2004,0.0699462208279657,-0.0011074574274259185
10103,2005,0.08933627378199156,0.006728158468872845
10103,2006,0.07856609511880652,0.005273019320037238
10103,2007,0.13601068092860613,0.023455970899412152
10103,2008,0.08639360183482105,0.011558608897681753
10103,2009,0.06858066728488996,-0.005082614798400778
10103,2010,0.10937672482616505,0.00459376325640467
10103,2011,0.09436044244491901,0.002376879308281897
10103,2012,0.021008638189863732,-0.018122407379153854
10103,2013,0.015423160840174794,-0.03289069499491851
10103,2014,0.10708063300134053,-0.03947298012497318
10103,2015,0.17680339831808675,-0.04181221049796022
10103,2016,0.3272191317347312,-0.04477066292523827
10103,2017,0.4184006892454603,-0.03889409259408158
10103,2018,0.7313382169299371,-0.040461877094886155
10103,2019,1.2596398567938523,-0.037804825777623494
10103,2020,1.7800361985860602,-0.03936772444749932
10103,2021,2.4371990046666623,-0.03388148928645266
10103,2022,3.19025181913327,-0.03617323035246455
10103,2023,6.990789107542981,-0.012631404193360401
10104,2000,0.006710074773434945,0.0015765563842306811
10104,2001,0.0,0.0
10104,2002,0.02442959213578729,-0.0023166507525921266
10104,2003,0.02033870089072256,-0.002370711939614281
10104,2004,0.025825731744779406,-0.00040889840939097814
10104,2005,0.032984979237783714,0.0024841887624042123
10104,2006,0.029008384909937554,0.0019469183728919044
10104,2007,0.0502182293554676,0.008660476650360703
10104,2008,0.031898477988381996,0.004267700659175572
10104,2009,0.025321538393528225,-0.0018766167034011314
10104,2010,0.04038436846260199,0.0016961216225065598
10104,2011,0.03484001630187931,0.0008775977698120679
10104,2012,0.007756865886278484,-0.0066912039850552454
10104,2013,0.0056945809194553065,-0.012143990851590208
10104,2014,0.03953659926467571,-0.014574319867571536
10104,2015,0.0652798261647139,-0.015438016796253201
10104,2016,0.1208167277360906,-0.01653034455695513
10104,2017,0.15448302759430632,-0.014360581456743385
10104,2018,0.27002666307864853,-0.014939443066021548
10104,2019,0.46508761519226893,-0.01395839943364988
10104,2020,0.6572297518939091,-0.01453545708329416
10104,2021,0.8998691703154764,-0.012509814584231234
10104,2022,1.1779133554888097,-0.013355977383289197
10104,2023,2.5811579530476503,-0.004663801023073729
10105,2000,0.008657194685369185,0.0020340392635833323
10105,2001,0.0,0.0
10105,2002,0.031518536282332685,-0.0029888931584782326
10105,2003,0.026240556059905426,-0.0030586417435202085
10105,2004,0.033319805688576974,-0.0005275519656874669
10105,2005,0.04255651339160485,0.0032050471086375746
10105,2006,0.03742599660255334,0.002511872365025714
10105,2007,0.06479048340950949,0.011173561392652862
10105,2008,0.04115473276179638,0.005506095939739908
10105,2009,0.03266930623093594,-0.0024211706575130647
10105,2010,0.05210304681112485,0.0021882997718946223
10105,2011,0.04494984246090675,0.001132257836945033
10105,2012,0.010007742147921786,-0.008632847998575733
10105,2013,0.007347026275547242,-0.015667916768346283
10105,2014,0.051009273158443176,-0.018803475186286476
10105,2015,0.08422263286429597,-0.01991779845588023
10105,2016,0.1558751531952239,-0.021327096325714414
10105,2017,0.19931069185158254,-0.0185277144687448
10105,2018,0.3483826144184347,-0.01927454931285814
10105,2019,0.6000460749578822,-0.018008827840735767
10105,2020,0.8479437423988374,-0.018753335254785754
10105,2021,1.1609919206302344,-0.01613989470911975
10105,2022,1.5197185702511862,-0.01723159582040435
10105,2023,3.3301546804945104,-0.006017136141376369
10106,2000,0.027214524797602856,0.0063941512221780215
10106,2001,0.0,0.0
10106,2002,0.09908082449495116,-0.00939580429169043
10106,2003,0.0824891075629923,-0.009615064071123428
10106,2004,0.10474324664265271,-0.0016583981964145285
10106,2005,0.13377951300467478,0.01007530004643565
10106,2006,0.11765135816299975,0.007896254531728882
10106,2007,0.20367362424882085,0.03512490762299653
10106,2008,0.12937291304970389,0.017308815376795694
10106,2009,0.10269835401124203,-0.00761112707901495
10106,2010,0.16378973917132725,0.006879080414751607
10106,2011,0.1413031180144381,0.0035593353390673712
10106,2012,0.03146006954341909,-0.027137989206622137
10106,2013,0.023095914557914723,-0.04925324252434251
10106,2014,0.16035138168074478,-0.05911009978822957
10106,2015,0.2647600075898072,-0.06261305650285172
10106,2016,0.4900049468831672,-0.06704328745175589
10106,2017,0.6265477401113756,-0.05824322579977396
10106,2018,1.0951662338340824,-0.06059095576583163
10106,2019,1.8862887321043487,-0.05661206772625142
10106,2020,2.6655731842885357,-0.05895248124564526
10106,2021,3.649663033130769,-0.0507369397080051
10106,2022,4.777346498326407,-0.05416878201309223
10106,2023,10.468584850625456,-0.018915307635022454
10107,2000,0.017703175997998543,0.004159425354140512
10107,2001,0.0,0.0
10107,2002,0.06445254095399187,-0.006112014751519641
10107,2003,0.05365955128616153,-0.006254644266216388
10107,2004,0.06813597311388594,-0.0010787958034995996
10107,2005,0.08702420054223771,0.006554029926343014
10107,2006,0.0765327601879202,0.005136550600821184
10107,2007,0.1324906476612334,0.02284891712010053
10107,2008,0.08415768660764594,0.01125946556888872
10107,2009,0.06680576086803178,-0.0049510738557816975
10107,2010,0.10654599339069439,0.004474874067889638
10107,2011,0.09191834088155372,0.0023153643288658762
10107,2012,0.02046492276379851,-0.017653389237166993
10107,2013,0.015024000723669287,-0.03203946522547197
10107,2014,0.10430932571956975,-0.03845139709742269
10107,2015,0.17222762647711715,-0.04073008686671049
10107,2016,0.31875051572925966,-0.04361197287366877
10107,2017,0.40757224301476475,-0.037887491502897365
10107,2018,0.7124107706755819,-0.03941470085503549
10107,2019,1.227039665613643,-0.036826415527076196
10107,2020,1.7339678560605225,-0.03834886549635047
10107,2021,2.3741229174280605,-0.03300461720095042
10107,2022,3.1076862995874914,-0.03523704671335866
10107,2023,6.809863535700169,-0.012304496316194494
10108,2000,0.012226288440342318,0.0028726107751255647
10108,2001,0.0,0.0
10108,2002,0.044512654481069995,-0.004221121414154991
10108,2003,0.037058726167447244,-0.004319625184720546
10108,2004,0.047056531582127435,-0.0007450453332954569
10108,2005,0.06010124834322851,0.004526388956149144
10108,2006,0.05285557807812834,0.0035474396933721656
10108,2007,0.0915015968963502,0.015780075354354946
10108,2008,0.05812155689201423,0.0077760890896017764
10108,2009,0.04613785130653578,-0.0034193444756505
10108,2010,0.07358352238630572,0.0030904681224663937
10108,2011,0.06348127300449592,0.0015990527424228425
10108,2012,0.0141336248731762,-0.012191904367196025
10108,2013,0.010375978095470525,-0.022127314520582326
10108,2014,0.07203881966768334,-0.026555566746914852
10108,2015,0.11894502087889965,-0.028129291054266224
10108,2016,0.220137660398021,-0.030119598871193635
10108,2017,0.281480328949968,-0.026166118409928944
10108,2018,0.4920099970350499,-0.027220850173887007
10108,2019,0.8474265228583661,-0.025433310865171213
10108,2020,1.1975247354980099,-0.02648475567159702
10108,2021,1.6396330005748196,-0.022793874376412705
10108,2022,2.146251558768459,-0.024335650108887018
10108,2023,4.703074512519824,-0.008497815368944612
10109,2000,0.02087980198678544,0.004905785141778374
10109,2001,0.0,0.0
10109,2002,0.07601778871862742,-0.007208743660825024
10109,2003,0.06328812444057944,-0.00737696635853057
10109,2004,0.08036216930542388,-0.001272372977808803
10109,2005,0.10263966621501466,0.007730073241828445
10109,2006,0.09026566071571411,0.00605824398132716
10109,2007,0.15626453064581564,0.02694888561996491
10109,2008,0.09925879018726665,0.013279843773908366
10109,2009,0.07879326617205547,-0.00583948562350392
10109,2010,0.12566441438160933,0.005277837404085012
10109,2011,0.10841200227448841,0.0027308291302900398
10109,2012,0.024137111613830205,-0.020821081579337437
10109,2013,0.017719880330794965,-0.037788569110197234
10109,2014,0.12302640309546457,-0.04535104647890359
10109,2015,0.20313184130931144,-0.048038620232755555
10109,2016,0.37594653368215514,-0.05143762666982535
10109,2017,0.48070627159897167,-0.044685954681010345
10109,2018,0.8402444751518641,-0.046487203726301204
10109,2019,1.4472174513116083,-0.04343448114481628
10109,2020,2.045107922447802,-0.04523011679216161
10109,2021,2.8001312540637686,-0.038926906216342656
10109,2022,3.66532392717379,-0.04155991885621077
10109,2023,8.03181317287505,-0.01451239295470586
10201,2000,0.024015004452293442,0.005642412322509795
10201,2001,0.0,0.0
10201,2002,0.0874322244859754,-0.008291171114540226
10201,2003,0.07279114002995428,-0.008484653257566884
10201,2004,0.09242893466552611,-0.0014634258862413925
10201,2005,0.11805150464048886,0.00889078083386769
10201,2006,0.10381948283556579,0.006967918387192066
10201,2007,0.1797283997985153,0.03099539011708035
10201,2008,0.1141629738531564,0.015273876043365176
10201,2009,0.09062445319789031,-0.006716312412172457
10201,2010,0.14453352923457524,0.006070330017391886
10201,2011,0.12469058465935727,0.0031408762288010787
10201,2012,0.02776141475089136,-0.023947466893881882
10201,2013,0.020380605395945266,-0.04346270410042803
10201,2014,0.1414994078946286,-0.05216072373657171
10201,2015,0.2336330620631861,-0.055251849586590296
10201,2016,0.4323967097923234,-0.05916123315120772
10201,2017,0.5528866250743584,-0.05139576521360781
10201,2018,0.9664112152288455,-0.053467480446813855
10201,2019,1.664524096477591,-0.04995637692043105
10201,2020,2.352190690988723,-0.052021635877052684
10201,2021,3.220584399023804,-0.04477196798566959
10201,2022,4.2156899038546785,-0.04780034010861388
