outcome,version,beta,se,t,p,ci_lo,ci_hi,n
log_total,v1_2001,0.27969848451724805,0.0421438387139604,6.636758611753994,3.206561154879677e-11,0.19709656063788566,0.36230040839661043,1998
log_total,v2_2009_10,0.3201560382242074,0.03570518131568538,8.966654878281265,3.05656003976602e-19,0.25017388284546405,0.39013819360295077,1998
log_mean,v1_2001,0.3474198819330877,0.032167770248185824,10.800247553766374,3.432767914676809e-27,0.2843710522466435,0.4104687116195319,1998
log_mean,v2_2009_10,0.34284084435843204,0.035315456649481165,9.707954445025386,2.788774876082124e-22,0.27362254932544894,0.41205913939141514,1998
