"outcome","spec","coef","se","n_obs","r2_w","t_stat","p_val"
"log(remit+1)","fx_2001",82.7642127055704,17.6930754184304,7152,0.00517299678118255,4.67777425621308,0.00000290005556055837
"log(remit+1)","fx_2001 x logmi",-10.8401301971194,2.61968595009737,7152,0.0035043105466932,-4.13795027480926,0.0000350422288445997
"log(remit+1)","fx_dofe",-27.456460120065,22.5897172071225,7152,0.000320477543134134,-1.21544063027969,0.224198079517219
"log(remit+1)","fx_dofe x logmi",3.35277451207782,1.8374834081138,7152,0.00141254248440048,1.82465566615346,0.0680530074159195
"remit_sent_flag","fx_2001",7.15554271647209,1.61865193701915,7151,0.00531361073469416,4.42068029131048,0.0000098390654801363
"remit_sent_flag","fx_2001 x logmi",-0.951734664684232,0.231916343441421,7151,0.00371202491722211,-4.10378436707557,0.0000406446319184628
"remit_sent_flag","fx_dofe",-2.536124145281,1.93717792299509,7151,0.000375748551689647,-1.30918493091222,0.190471715409979
"remit_sent_flag","fx_dofe x logmi",0.283431663280492,0.161306808338253,7151,0.00138719326714487,1.75709671650157,0.0789013253162528
"log(earn_primary+1)","fx_2001",-2.81201517354969,7.74327758907763,7152,0.0000128180262504163,-0.363155671639127,0.716488599244158
"log(earn_primary+1)","fx_2001 x logmi",-1.91148887994752,1.41620297533566,7152,0.000233886925896432,-1.34972804974828,0.177103231461144
"log(earn_primary+1)","fx_dofe",36.4624900648931,16.2331633160263,7152,0.001213193198361,2.24617281025537,0.0246929410934233
"log(earn_primary+1)","fx_dofe x logmi",-1.77050819698344,0.885264690317716,7152,0.000845507598229545,-1.99997607082692,0.0455028478765549
