"outcome","group","n_obs","coef","se","t_stat","p_val","mean_y","note","sig"
"amen_water_piped","amenities",148,0.119301073776323,0.0535727589002349,2.2268980770337,0.0290385846083931,0.651681357991938,"","**"
"amen_water_traditional","amenities",148,-0.135092099603076,0.0548017250155342,-2.46510670174675,0.0160492891857548,0.329662094358634,"","**"
"amen_cooking_modern","amenities",148,-0.0158737396683096,0.0686843841933638,-0.231111334180722,0.817874845423745,0.211712479146099,"",""
"amen_cooking_traditional","amenities",148,0.0229027606960289,0.0692874060802393,0.330547237827117,0.74193334488639,0.784808436324952,"",""
"amen_lighting_electricity","amenities",148,0.00839395560595618,0.0949257891784766,0.0884265032569191,0.929779835554855,0.847634463460857,"",""
"amen_toilet_modern","amenities",148,-0.211363945892202,0.146643276397513,-1.44134767774315,0.153762554856351,0.505300168397563,"",""
"amen_toilet_any","amenities",148,0.210030809609092,0.130139214227824,1.61389332842757,0.110865277244002,0.777549563727386,"",""
"amen_assets_radio","assets",148,0.226372990908195,0.0917924635586138,2.46613918106299,0.0160067335993836,0.461560435475718,"","**"
"amen_assets_tv","assets",148,-0.109570701636742,0.0757984356528563,-1.44555360137717,0.152581954589341,0.326542507512943,"",""
"amen_assets_cycle","assets",148,0.0347344044284553,0.0220095539190629,1.57815122270021,0.118854707635123,0.196704905252588,"",""
"amen_assets_motorcycle","assets",148,0.0915513336964442,0.0730303758576462,1.25360622372942,0.21398517098586,0.110640331607771,"",""
"amen_assets_car","assets",148,-0.00730321719678099,0.00736884646360124,-0.991093685131801,0.324913643437497,0.0134425709868407,"",""
"amen_assets_fridge","assets",148,0.017916104827854,0.0620755084145129,0.288617931378317,0.773691739079374,0.0839335574498699,"",""
"amen_assets_landline","assets",148,-0.000158845593782334,0.0246640132401586,-0.00644037903465348,0.994878924457719,0.0381310940307519,"",""
"amen_assets_mobile","assets",148,0.0793796937238693,0.0873291526477395,0.908971303592787,0.36635654208749,0.74916360008671,"",""
"amen_assets_computer","assets",148,0.0193510334362714,0.0215892676090246,0.896326535328249,0.373024715776851,0.0641612373191296,"",""
"amen_assets_internet","assets",148,0.122732491617185,0.0999851709543466,1.22750694373694,0.223575786742481,0.146917684986592,"",""
"amen_asset_count_mean","assets",148,0.793156407540252,0.323466677402933,2.45204981826378,0.0165962786830519,2.68709145618385,"","**"
"housing_own","housing",148,-0.0293243908849973,0.0191509056009876,-1.53122737357575,0.130035523427655,0.901339479759038,"",""
"housing_rented","housing",148,0.017833744990736,0.0168168439583101,1.0604691959411,0.292427283145984,0.0809113628240065,"",""
"housing_foundation_modern","housing",148,-0.250029389100384,0.123417894273874,-2.02587631697515,0.0464328198376744,0.241843734094187,"","**"
"housing_foundation_traditional","housing",148,0.262878767212939,0.122966309636854,2.13781130774175,0.0358804971161339,0.753185206536674,"","**"
"housing_roof_modern","housing",148,-0.317972391735696,0.12810513087633,-2.48212065793571,0.0153608169683616,0.549979161276876,"","**"
"housing_roof_traditional","housing",148,0.0272264812600851,0.121225641053323,0.224593419539924,0.822923048184617,0.134411346945123,"",""
"fem_ownership_house","female_ownership",148,0.0171104242728012,0.0166938347837866,1.02495469102277,0.308769043599164,0.0982547434812138,"",""
"fem_ownership_land","female_ownership",148,0.0355924616909634,0.0207529613658485,1.71505459213812,0.0905775089783436,0.168504883236161,"","*"
"fem_ownership_both","female_ownership",148,0.00655823295388237,0.0125868274389716,0.521039395008833,0.603916347226839,0.0897409889855711,"",""
"ent_has_nonagro","enterprise",NA,NA,NA,NA,NA,0.0916792329347528,"feols error",""
"ent_cottage","enterprise",NA,NA,NA,NA,NA,0.0245115976187185,"feols error",""
"ent_trade","enterprise",NA,NA,NA,NA,NA,0.0412554852035642,"feols error",""
"ent_transport","enterprise",NA,NA,NA,NA,NA,0.00418381760201952,"feols error",""
"ent_services","enterprise",NA,NA,NA,NA,NA,0.0110313637345667,"feols error",""
"ent_other","enterprise",NA,NA,NA,NA,NA,0.0108525837803482,"feols error",""
