"spec","coef","se","n_obs","r2_within","t_stat","p_val"
"fxshock_2001",3.13222500012983,0.528588132612682,1110,0.1604558498748,5.92564381770738,0.00000000311076194284377
"fxshock_2001 x logmi",-0.166282715097359,0.0816355444435438,1110,0.0152389408843279,-2.03689111441346,0.0416609547656267
"fxshock_dofe",2.5420781712599,0.960851438643241,1110,0.0193863107266291,2.64565162627993,0.00815337371804872
"fxshock_dofe x logmi",0.497779618540406,0.114311661752893,1110,0.0922824167152329,4.35458299623404,0.0000133320462759745
