group,outcome,log,model,beta,se,t,p,sig,mean_y,pct_of_mean,ci_lo,ci_hi,n
PRODUCTIVITY & CAPITAL,capital_intensity_median,TRUE,M2,0.0191,0.0452,0.42,0.6745,,11.8434,0.16,-0.0695,0.1077,77
PRODUCTIVITY & CAPITAL,capital_intensity_median,TRUE,M3,0.0284,0.041,0.69,0.4905,,11.8434,0.24,-0.052,0.1087,77
PRODUCTIVITY & CAPITAL,capital_intensity_median,TRUE,M4,0.1604,0.0561,2.86,0.0057,***,11.8434,1.35,0.0505,0.2704,76
PRODUCTIVITY & CAPITAL,profit_margin_median,FALSE,M1,-0.0062,0.0046,-1.34,0.1851,,0.2996,-2.06,-0.0152,0.0028,77
PRODUCTIVITY & CAPITAL,profit_margin_median,FALSE,M2,-0.0071,0.0046,-1.55,0.1245,,0.2996,-2.36,-0.0161,0.0019,77
PRODUCTIVITY & CAPITAL,profit_margin_median,FALSE,M3,-0.007,0.0046,-1.51,0.1341,,0.2996,-2.34,-0.016,0.002,77
PRODUCTIVITY & CAPITAL,profit_margin_median,FALSE,M4,-1e-4,0.0079,-0.01,0.9924,,0.2996,-0.03,-0.0156,0.0154,76
CREDIT & FINANCE,share_borrowed_any,FALSE,M1,0.013,0.0072,1.82,0.0734,*,0.3526,3.7,-0.0011,0.0271,77
CREDIT & FINANCE,share_borrowed_any,FALSE,M2,0.0143,0.0077,1.87,0.0654,*,0.3526,4.07,-8e-4,0.0294,77
CREDIT & FINANCE,share_borrowed_any,FALSE,M3,0.0132,0.008,1.66,0.1011,,0.3526,3.75,-0.0025,0.0289,77
CREDIT & FINANCE,share_borrowed_any,FALSE,M4,0.0022,0.0134,0.16,0.8713,,0.3526,0.62,-0.0241,0.0284,76
CREDIT & FINANCE,share_formal_credit,FALSE,M1,0.0067,0.0077,0.88,0.3834,,0.2715,2.47,-0.0084,0.0218,77
CREDIT & FINANCE,share_formal_credit,FALSE,M2,0.0094,0.0075,1.25,0.2151,,0.2715,3.45,-0.0053,0.0241,77
CREDIT & FINANCE,share_formal_credit,FALSE,M3,0.0084,0.0081,1.04,0.3005,,0.2715,3.11,-0.0074,0.0243,77
CREDIT & FINANCE,share_formal_credit,FALSE,M4,0.0041,0.0134,0.31,0.7613,,0.2715,1.51,-0.0222,0.0304,76
CREDIT & FINANCE,interest_p50,FALSE,M1,0.2016,0.1737,1.16,0.2496,,16.6688,1.21,-0.1389,0.542,77
CREDIT & FINANCE,interest_p50,FALSE,M2,0.1555,0.1524,1.02,0.3108,,16.6688,0.93,-0.1432,0.4542,77
CREDIT & FINANCE,interest_p50,FALSE,M3,0.1456,0.1633,0.89,0.3756,,16.6688,0.87,-0.1745,0.4657,77
CREDIT & FINANCE,interest_p50,FALSE,M4,-0.0268,0.2449,-0.11,0.9131,,16.6688,-0.16,-0.5068,0.4532,76
GENDER,share_female_manager,FALSE,M1,-0.008,0.0108,-0.74,0.4614,,0.2906,-2.75,-0.0292,0.0132,77
GENDER,share_female_manager,FALSE,M2,-0.0027,0.0114,-0.24,0.8107,,0.2906,-0.94,-0.0251,0.0196,77
GENDER,share_female_manager,FALSE,M3,3e-4,0.0098,0.04,0.9721,,0.2906,0.12,-0.0189,0.0196,77
GENDER,share_female_manager,FALSE,M4,-0.0124,0.0109,-1.14,0.2587,,0.2906,-4.26,-0.0337,0.009,76
GENDER,share_female_owner,FALSE,M1,-0.0068,0.0112,-0.61,0.5425,,0.2944,-2.33,-0.0288,0.0151,77
GENDER,share_female_owner,FALSE,M2,0.0012,0.013,0.1,0.9243,,0.2944,0.42,-0.0242,0.0267,77
GENDER,share_female_owner,FALSE,M3,0.0043,0.0109,0.39,0.6976,,0.2944,1.45,-0.0171,0.0256,77
GENDER,share_female_owner,FALSE,M4,-0.0127,0.0111,-1.15,0.2553,,0.2944,-4.32,-0.0345,0.009,76
GENDER,share_female_led,FALSE,M1,-0.0017,0.0149,-0.11,0.9106,,0.3452,-0.48,-0.0309,0.0275,77
GENDER,share_female_led,FALSE,M2,0.0057,0.0157,0.36,0.7202,,0.3452,1.64,-0.0251,0.0364,77
GENDER,share_female_led,FALSE,M3,0.0093,0.0144,0.65,0.5186,,0.3452,2.71,-0.0189,0.0376,77
GENDER,share_female_led,FALSE,M4,-0.0111,0.0155,-0.71,0.4772,,0.3452,-3.22,-0.0415,0.0193,76
GENDER,share_female_workers,FALSE,M1,4e-4,0.0083,0.05,0.9584,,0.3877,0.11,-0.0158,0.0167,77
GENDER,share_female_workers,FALSE,M2,0.0047,0.0083,0.57,0.5713,,0.3877,1.21,-0.0116,0.021,77
GENDER,share_female_workers,FALSE,M3,0.0071,0.0073,0.98,0.3304,,0.3877,1.84,-0.0072,0.0214,77
GENDER,share_female_workers,FALSE,M4,-0.0049,0.0094,-0.52,0.6074,,0.3877,-1.25,-0.0233,0.0136,76
GENDER,share_emp_female,FALSE,M1,4e-4,0.0083,0.05,0.9584,,0.3877,0.11,-0.0158,0.0167,77
GENDER,share_emp_female,FALSE,M2,0.0047,0.0083,0.57,0.5713,,0.3877,1.21,-0.0116,0.021,77
GENDER,share_emp_female,FALSE,M3,0.0071,0.0073,0.98,0.3304,,0.3877,1.84,-0.0072,0.0214,77
GENDER,share_emp_female,FALSE,M4,-0.0049,0.0094,-0.52,0.6074,,0.3877,-1.25,-0.0233,0.0136,76
FIRM AGE,share_firms_young_5y,FALSE,M1,-0.0057,0.0084,-0.68,0.4986,,0.5597,-1.02,-0.0222,0.0108,77
FIRM AGE,share_firms_young_5y,FALSE,M2,-0.0069,0.008,-0.86,0.39,,0.5597,-1.24,-0.0226,0.0088,77
FIRM AGE,share_firms_young_5y,FALSE,M3,-0.0072,0.0081,-0.88,0.3793,,0.5597,-1.28,-0.0231,0.0087,77
FIRM AGE,share_firms_young_5y,FALSE,M4,-0.0206,0.01,-2.06,0.0435,**,0.5597,-3.67,-0.0402,-0.001,76
FIRM AGE,share_firms_mature_10y,FALSE,M1,0.0065,0.0066,0.98,0.3278,,0.2422,2.7,-0.0064,0.0195,77
FIRM AGE,share_firms_mature_10y,FALSE,M2,0.0072,0.0066,1.09,0.2779,,0.2422,2.97,-0.0058,0.0201,77
FIRM AGE,share_firms_mature_10y,FALSE,M3,0.0072,0.0066,1.1,0.2771,,0.2422,2.99,-0.0057,0.0202,77
FIRM AGE,share_firms_mature_10y,FALSE,M4,0.0165,0.0084,1.96,0.0537,*,0.2422,6.81,0,0.0329,76
FIRM AGE,median_firm_age,FALSE,M1,0.07,0.0965,0.73,0.4702,,4.9221,1.42,-0.1191,0.2592,77
FIRM AGE,median_firm_age,FALSE,M2,0.0837,0.095,0.88,0.381,,4.9221,1.7,-0.1025,0.2699,77
FIRM AGE,median_firm_age,FALSE,M3,0.084,0.0951,0.88,0.3796,,4.9221,1.71,-0.1024,0.2704,77
FIRM AGE,median_firm_age,FALSE,M4,0.3008,0.1499,2.01,0.0489,**,4.9221,6.11,0.007,0.5946,76
