"outcome","spec","coef","se","n_obs","r2_w","t_stat","p_val"
"log(n_intl_migrants+1)","fx_2001",0.619086843420317,0.395567483821314,5578,0.000105085816757722,1.56505999289864,0.117568843101088
"log(n_intl_migrants+1)","fx_2001 x logmi",-0.139810965797088,0.0687421049671643,5578,0.000218058474814375,-2.0338476085926,0.0419669626911199
"log(n_intl_migrants+1)","fx_2001 x logmi FULL",-1.08796785133929,0.716148488999886,5578,0.000532442530005173,-1.51919311155519,0.128713894714239
"log(n_intl_migrants+1)","fx_dofe",0.453789314516625,0.591362912863708,5578,0.0000368473934510005,0.767361808874901,0.442866428767382
"log(n_intl_migrants+1)","fx_dofe x logmi",-0.00450968485066694,0.0375024763223295,5578,0.00000104879545115288,-0.120250321922923,0.904284855818634
"log(remit_intl+1)","fx_2001",98.8389853984832,21.3962370125064,5578,0.0088556120664407,4.6194564652051,0.00000384746593686975
"log(remit_intl+1)","fx_2001 x logmi",-14.5668559370586,2.87389147980749,5578,0.00782606085010751,-5.06868684479149,0.000000400569641647273
"log(remit_intl+1)","fx_2001 x logmi FULL",-25.658943301496,29.8242079721481,5578,0.0116806897561111,-0.860339470723182,0.389601941168806
"log(remit_intl+1)","fx_dofe",-2.68180144497822,22.3964726314265,5578,0.00000425473536169729,-0.119742134804529,0.90468742171953
"log(remit_intl+1)","fx_dofe x logmi",2.36727599410258,2.00943288069987,5578,0.00095547045554023,1.17808164524414,0.238764058678439
