spec,regressor,coef,se,t_stat,p_val,n_obs,r2_within
fx_2001  bare,fxshock,3.1322250001298264,0.5436939307242252,5.761007844905605,1.106098679315437e-08,1110,-0.7069088836451882
fx_dofe  bare,fxshock_dofe,2.5420781712599023,0.9883102992415566,2.572145785803031,0.010247462821942,1110,-0.5442555313315296
fx_2001 x log(1000*mi),fx2001_x_logx1k,0.49064949123059093,0.11394454520706442,4.306037558348789,1.8222239108522942e-05,1110,-0.11242122054542802
fx_2001 x mig_int_lin,fx2001_x_lin,53.07731223524945,15.50187976543003,3.4239274874015293,0.0006417546701189547,1110,-0.07367894082788817
fx_2001 x mig_int_dofe,fx2001_x_dofeint,136.0702520744943,32.529410915770356,4.182991583426647,3.12423975294962e-05,1110,-0.17957327729429284
fx_dofe x log(1000*mi),fxdofe_x_logx1k,0.5164391381782507,0.12061055086868787,4.281873637576804,2.0279278261314815e-05,1110,-0.10253457307484215
fx_dofe x mig_int_lin,fxdofe_x_lin,52.345527155837374,17.109085568458486,3.05951635734052,0.002274799043162634,1110,-0.06961424079704637
fx_dofe x mig_int_dofe,fxdofe_x_dofeint,169.71920256133004,47.81802629582725,3.549272433608165,0.0004038857775765514,1110,-0.21455107006091945
