dataset,outcome,variant,dropped_dname,beta,se,p,sig,n
hh,sector_transport,thin_cov,Achham|Baitadi|Bajhang|Bajura|Dadeldhura|Dailekh|Darchula|Dolpa|Doti|Humla|Jajarkot|Jumla|Kalikot|Manang|Mugu|Mustang|Parsa|Rasuwa|Rolpa|Saptari|Surkhet,-0.006400762977373973,0.005330371523157008,0.23788887448907778,,13905
hh,share_fallow_wet,thin_cov,Achham|Baitadi|Bajhang|Bajura|Dadeldhura|Dailekh|Darchula|Dolpa|Doti|Humla|Jajarkot|Jumla|Kalikot|Manang|Mugu|Mustang|Parsa|Rasuwa|Rolpa|Saptari|Surkhet,0.07715946914795589,0.020044825875975964,4.816072298111441e-4,***,11695
hh,total_input_cost_rs,thin_cov,Achham|Baitadi|Bajhang|Bajura|Dadeldhura|Dailekh|Darchula|Dolpa|Doti|Humla|Jajarkot|Jumla|Kalikot|Manang|Mugu|Mustang|Parsa|Rasuwa|Rolpa|Saptari|Surkhet,-1009.7389458032579,1667.1740262101162,0.5486489435191846,,13905
nec_cs,emp_total,thin_cov,Achham|Baitadi|Bajhang|Bajura|Dadeldhura|Dailekh|Darchula|Dolpa|Doti|Humla|Jajarkot|Jumla|Kalikot|Manang|Mugu|Mustang|Parsa|Rasuwa|Rolpa|Saptari|Surkhet,-59672.46387129722,16890.79733531969,9.79531463166821e-4,***,54
nec_cs,n_firms,thin_cov,Achham|Baitadi|Bajhang|Bajura|Dadeldhura|Dailekh|Darchula|Dolpa|Doti|Humla|Jajarkot|Jumla|Kalikot|Manang|Mugu|Mustang|Parsa|Rasuwa|Rolpa|Saptari|Surkhet,-12157.802654348765,3794.220512513361,0.00252008824550783,***,54
nec_cs,share_keeps_accounts,thin_cov,Achham|Baitadi|Bajhang|Bajura|Dadeldhura|Dailekh|Darchula|Dolpa|Doti|Humla|Jajarkot|Jumla|Kalikot|Manang|Mugu|Mustang|Parsa|Rasuwa|Rolpa|Saptari|Surkhet,0.08066555066680603,0.03345772165790392,0.020153402831925852,**,54
nec_panel,log_n_new_firms_education_health_social,thin_cov,Achham|Baitadi|Bajhang|Bajura|Dadeldhura|Dailekh|Darchula|Dolpa|Doti|Humla|Jajarkot|Jumla|Kalikot|Manang|Mugu|Mustang|Parsa|Rasuwa|Rolpa|Saptari|Surkhet,0.19995393163812172,0.2143024553607379,0.3550278347982998,,432
nec_panel,log_n_new_firms_size_medium_10_50,thin_cov,Achham|Baitadi|Bajhang|Bajura|Dadeldhura|Dailekh|Darchula|Dolpa|Doti|Humla|Jajarkot|Jumla|Kalikot|Manang|Mugu|Mustang|Parsa|Rasuwa|Rolpa|Saptari|Surkhet,-0.22241630158614017,0.3437354943668441,0.5203880770494056,,432
nec_panel,log_rev_new_firms,thin_cov,Achham|Baitadi|Bajhang|Bajura|Dadeldhura|Dailekh|Darchula|Dolpa|Doti|Humla|Jajarkot|Jumla|Kalikot|Manang|Mugu|Mustang|Parsa|Rasuwa|Rolpa|Saptari|Surkhet,0.3655146242987491,0.6459745088721526,0.5738943025160461,,432
census,amen_assets_car,baseline,NA,-0.01799704002449616,0.008704727803581388,0.0421839008559394,**,150
census,amen_assets_computer,baseline,NA,-0.03449142162973616,0.019293210979589526,0.07791055779828429,*,150
census,amen_assets_landline,baseline,NA,0.1038200801930988,0.02529377573603662,1.0314701183020627e-4,***,150
census,amen_assets_mobile,baseline,NA,0.2036554892401278,0.1102097104346362,0.0686142773464736,*,150
