dataset,outcome,variant,dropped,beta,se,p,sig,n
census,amen_assets_computer,drop_ktm_valley,Kathmandu|Lalitpur|Bhaktapur,-0.00984800767160123,0.020622224036465988,0.6344420659788331,,144
census,amen_assets_landline,drop_ktm_valley,Kathmandu|Lalitpur|Bhaktapur,0.05933957004386497,0.02499576322136198,0.020304915489640567,**,144
census,amen_assets_mobile,drop_ktm_valley,Kathmandu|Lalitpur|Bhaktapur,0.1333402159956939,0.12419616590502312,0.2866258042231585,,144
census,amen_assets_radio,drop_ktm_valley,Kathmandu|Lalitpur|Bhaktapur,0.25158339551682474,0.10234273744451097,0.01640348713279885,**,144
census,amen_assets_tv,drop_ktm_valley,Kathmandu|Lalitpur|Bhaktapur,0.060929723705476634,0.10024038086815881,0.5452355767811884,,144
census,amen_cooking_kerosene,drop_ktm_valley,Kathmandu|Lalitpur|Bhaktapur,0.0038671938767507867,0.0062922686546695175,0.5407871611596965,,144
census,amen_water_traditional,drop_ktm_valley,Kathmandu|Lalitpur|Bhaktapur,0.07172650696911043,0.10146544957394173,0.48193874316560614,,144
census,ind_agri_forestry_fish,drop_ktm_valley,Kathmandu|Lalitpur|Bhaktapur,-0.04106966203887751,0.0842178742286967,0.6272933800335432,,144
census,mig_in_internal_share,drop_ktm_valley,Kathmandu|Lalitpur|Bhaktapur,-0.05522123069271183,0.07943486136191842,0.48921383190482337,,144
census,mig_in_temp_noneconomic_share,drop_ktm_valley,Kathmandu|Lalitpur|Bhaktapur,-0.12506924145047493,0.09027205984336115,0.17024589669754753,,144
census,mig_in_temp_share,drop_ktm_valley,Kathmandu|Lalitpur|Bhaktapur,-0.2350868630956435,0.1726366869904998,0.17758427593574336,,144
census,net_internal_mig_share,drop_ktm_valley,Kathmandu|Lalitpur|Bhaktapur,-0.20690938887868354,0.17970064694809018,0.2534256797730524,,144
census,net_temp_mig_share,drop_ktm_valley,Kathmandu|Lalitpur|Bhaktapur,-0.5663702331187277,0.3154654453837588,0.07685373511115448,*,144
hh,edu_spend_total_12m,drop_ktm_valley,Kathmandu|Lalitpur|Bhaktapur,-4982.4427329905275,1112.7161664690577,4.5144121995092813e-05,***,16961
hh,input_intensity_per_sqm,drop_ktm_valley,Kathmandu|Lalitpur|Bhaktapur,-0.8222833427565306,0.33359312702741134,0.01725640626600204,**,13310
hh,n_workers_total,drop_ktm_valley,Kathmandu|Lalitpur|Bhaktapur,-0.14083643852522448,0.07830418101123705,0.07824603845595608,*,17362
hh,nonfood_exp_12m,drop_ktm_valley,Kathmandu|Lalitpur|Bhaktapur,-18604.440506446317,9017.462473120215,0.04441700546902986,**,17362
hh,remit_amount_intl_12m_rs,drop_ktm_valley,Kathmandu|Lalitpur|Bhaktapur,-8254.681099357069,4878.103611972664,0.09696020276649706,*,17362
hh,sector_transport,drop_ktm_valley,Kathmandu|Lalitpur|Bhaktapur,-0.005461786331699834,0.001359456698334221,2.0183454982619853e-4,***,17362
hh,share_fallow_wet,drop_ktm_valley,Kathmandu|Lalitpur|Bhaktapur,0.013894256077673528,0.007882054706154835,0.08417523796313478,*,14826
hh,total_input_cost_rs,drop_ktm_valley,Kathmandu|Lalitpur|Bhaktapur,-2075.456216077327,993.1405172913949,0.04184938210286274,**,17362
nec_cs,emp_total,drop_ktm_valley,Kathmandu|Lalitpur|Bhaktapur,-11015.197303125002,5422.237436941333,0.046497717962400285,**,72
nec_cs,n_firms,drop_ktm_valley,Kathmandu|Lalitpur|Bhaktapur,-3199.5197752198083,1507.7307137336252,0.037834004691820376,**,72
nec_cs,share_keeps_accounts,drop_ktm_valley,Kathmandu|Lalitpur|Bhaktapur,0.022003285329049757,0.028916922091387614,0.4495929087717576,,72
nec_panel,log_n_new_firms_education_health_social,drop_ktm_valley,Kathmandu|Lalitpur|Bhaktapur,0.3793750641493038,0.2908254288589357,0.19628379002507332,,576
nec_panel,log_n_new_firms_size_medium_10_50,drop_ktm_valley,Kathmandu|Lalitpur|Bhaktapur,0.5059448956145906,0.24784365477904644,0.044929902118412884,**,576
nec_panel,log_rev_new_firms,drop_ktm_valley,Kathmandu|Lalitpur|Bhaktapur,0.7360358754483121,0.5560029614608739,0.1898164873553967,,576
census,amen_assets_car,drop_top_urban,Kathmandu|Lalitpur|Bhaktapur|Morang|Rupandehi|Kaski,-0.003114524203328737,0.00966876724326429,0.7483483744220619,,138
census,amen_assets_computer,drop_top_urban,Kathmandu|Lalitpur|Bhaktapur|Morang|Rupandehi|Kaski,-0.0034705603669516307,0.021239317768258905,0.8706861043398845,,138
census,amen_assets_landline,drop_top_urban,Kathmandu|Lalitpur|Bhaktapur|Morang|Rupandehi|Kaski,0.03487986625373869,0.022783788625363843,0.13043151468922462,,138
census,amen_assets_mobile,drop_top_urban,Kathmandu|Lalitpur|Bhaktapur|Morang|Rupandehi|Kaski,0.06004202078738435,0.12407826418475436,0.6300084802384343,,138
census,amen_assets_radio,drop_top_urban,Kathmandu|Lalitpur|Bhaktapur|Morang|Rupandehi|Kaski,0.2441117564296336,0.1099558940198372,0.029749676761547564,**,138
census,amen_assets_tv,drop_top_urban,Kathmandu|Lalitpur|Bhaktapur|Morang|Rupandehi|Kaski,0.0287300312681015,0.1013408150720724,0.7776556122173223,,138
census,amen_cooking_kerosene,drop_top_urban,Kathmandu|Lalitpur|Bhaktapur|Morang|Rupandehi|Kaski,-0.0018998507145944474,0.0062168626143456664,0.7608455369050258,,138
census,amen_water_traditional,drop_top_urban,Kathmandu|Lalitpur|Bhaktapur|Morang|Rupandehi|Kaski,0.1135161600786017,0.10852353233590636,0.2992627297678205,,138
census,ind_agri_forestry_fish,drop_top_urban,Kathmandu|Lalitpur|Bhaktapur|Morang|Rupandehi|Kaski,-0.06198055243556367,0.08713284924968488,0.47931041147233766,,138
census,mig_in_internal_share,drop_top_urban,Kathmandu|Lalitpur|Bhaktapur|Morang|Rupandehi|Kaski,0.023107409382663435,0.06724770013565531,0.732195018956314,,138
census,mig_in_temp_noneconomic_share,drop_top_urban,Kathmandu|Lalitpur|Bhaktapur|Morang|Rupandehi|Kaski,-0.04729610997554359,0.08313789980110647,0.5713067284861459,,138
census,mig_in_temp_share,drop_top_urban,Kathmandu|Lalitpur|Bhaktapur|Morang|Rupandehi|Kaski,-0.08466229542920953,0.158324289646182,0.5945740697906418,,138
census,net_internal_mig_share,drop_top_urban,Kathmandu|Lalitpur|Bhaktapur|Morang|Rupandehi|Kaski,-0.031684392777147304,0.1832153202453288,0.863216021521998,,138
census,net_temp_mig_share,drop_top_urban,Kathmandu|Lalitpur|Bhaktapur|Morang|Rupandehi|Kaski,-0.26595681425136886,0.32004987143167885,0.4088901475600222,,138
hh,edu_spend_total_12m,drop_top_urban,Kathmandu|Lalitpur|Bhaktapur|Morang|Rupandehi|Kaski,-4484.910700642672,1448.6728493423966,0.0033036206298120525,***,15509
hh,input_intensity_per_sqm,drop_top_urban,Kathmandu|Lalitpur|Bhaktapur|Morang|Rupandehi|Kaski,-0.43856631834654664,0.2766569069032422,0.11961902244677906,,12502
hh,n_workers_total,drop_top_urban,Kathmandu|Lalitpur|Bhaktapur|Morang|Rupandehi|Kaski,-0.13635103710739654,0.09255741952845176,0.14737644477449943,,15900
hh,nonfood_exp_12m,drop_top_urban,Kathmandu|Lalitpur|Bhaktapur|Morang|Rupandehi|Kaski,-20278.66172998537,10157.072342673526,0.051689446248617585,*,15900
hh,remit_amount_intl_12m_rs,drop_top_urban,Kathmandu|Lalitpur|Bhaktapur|Morang|Rupandehi|Kaski,-7910.540798382742,5215.89684702104,0.13606002972066888,,15900
hh,sector_transport,drop_top_urban,Kathmandu|Lalitpur|Bhaktapur|Morang|Rupandehi|Kaski,-0.004440119154660793,0.0016193569329975225,0.008613954951257913,***,15900
hh,share_fallow_wet,drop_top_urban,Kathmandu|Lalitpur|Bhaktapur|Morang|Rupandehi|Kaski,0.011406780723513766,0.008576925528232762,0.18995691465824746,,13911
hh,total_input_cost_rs,drop_top_urban,Kathmandu|Lalitpur|Bhaktapur|Morang|Rupandehi|Kaski,-922.7689074837198,929.649102746799,0.32598826757132937,,15900
nec_cs,emp_total,drop_top_urban,Kathmandu|Lalitpur|Bhaktapur|Morang|Rupandehi|Kaski,-5063.589420472239,4629.369708876837,0.2784898130855878,,69
nec_cs,n_firms,drop_top_urban,Kathmandu|Lalitpur|Bhaktapur|Morang|Rupandehi|Kaski,-1605.658786059822,1296.226328146098,0.22035568155957141,,69
nec_cs,share_keeps_accounts,drop_top_urban,Kathmandu|Lalitpur|Bhaktapur|Morang|Rupandehi|Kaski,0.036846420406791675,0.029441075385404678,0.21568025683187528,,69
nec_panel,log_n_new_firms_education_health_social,drop_top_urban,Kathmandu|Lalitpur|Bhaktapur|Morang|Rupandehi|Kaski,0.3908378340562751,0.31375352408095514,0.21715539241173468,,552
nec_panel,log_n_new_firms_size_medium_10_50,drop_top_urban,Kathmandu|Lalitpur|Bhaktapur|Morang|Rupandehi|Kaski,0.3627084411210595,0.28475879780677305,0.20709243104146777,,552
nec_panel,log_rev_new_firms,drop_top_urban,Kathmandu|Lalitpur|Bhaktapur|Morang|Rupandehi|Kaski,0.5935115465015739,0.5747302159241853,0.30541325416247317,,552
