dataset,outcome,label,group,scaling,lag,model,variant,beta,se,p,sig,mean_y,sd_y,n,n_unit
census,amen_cooking_biogas,Cooking fuel: biogas,amenities_cooking,log,3,M2,baseline,-0.03486161806040056,0.02262180072244562,0.1275671015553506,NA,0.01393885467174237,0.021698012921437988,150,75
census,amen_cooking_biogas,Cooking fuel: biogas,amenities_cooking,log,3,M3,baseline,-0.03820424229321585,0.02042983244658759,0.0654359986792708,*,0.01393885467174237,0.021698012921437988,150,75
census,amen_cooking_biogas,Cooking fuel: biogas,amenities_cooking,log,3,M4,baseline,-0.00962462337651855,0.02756802851588385,0.7279887161367832,NA,0.01393885467174237,0.021698012921437988,150,75
census,amen_cooking_biogas,Cooking fuel: biogas,amenities_cooking,log,3,M5,baseline,0.00466650313681641,0.01908855960486251,0.8075465384250862,NA,0.01393885467174237,0.021698012921437988,150,75
census,amen_cooking_biogas,Cooking fuel: biogas,amenities_cooking,log,5,M2,baseline,-0.05032145082046369,0.03280154509309118,0.12926513607574905,NA,0.01393885467174237,0.021698012921437988,150,75
census,amen_cooking_biogas,Cooking fuel: biogas,amenities_cooking,log,5,M3,baseline,-0.05533574499564449,0.02987641985026638,0.06799207715036687,*,0.01393885467174237,0.021698012921437988,150,75
census,amen_cooking_biogas,Cooking fuel: biogas,amenities_cooking,log,5,M4,baseline,-0.01305679516372456,0.04013839522182563,0.7458762238431531,NA,0.01393885467174237,0.021698012921437988,150,75
census,amen_cooking_biogas,Cooking fuel: biogas,amenities_cooking,log,5,M5,baseline,0.00723580429255866,0.02772273247131117,0.7948127564216062,NA,0.01393885467174237,0.021698012921437988,150,75
census,amen_cooking_biogas,Cooking fuel: biogas,amenities_cooking,raw,0,M2,baseline,-0.00489229435449115,0.0020085674842939,0.01727031652548686,**,0.01393885467174237,0.021698012921437988,150,75
census,amen_cooking_biogas,Cooking fuel: biogas,amenities_cooking,raw,0,M3,baseline,-0.00426864915534737,0.002963651245924,0.15399041459055243,NA,0.01393885467174237,0.021698012921437988,150,75
census,amen_cooking_biogas,Cooking fuel: biogas,amenities_cooking,raw,0,M4,baseline,-0.00105753682345601,0.00360270157232299,0.7699311558061324,NA,0.01393885467174237,0.021698012921437988,150,75
census,amen_cooking_biogas,Cooking fuel: biogas,amenities_cooking,raw,0,M5,baseline,1.1980187045211544e-5,0.00230345457913629,0.9958642444965404,NA,0.01393885467174237,0.021698012921437988,150,75
census,amen_cooking_biogas,Cooking fuel: biogas,amenities_cooking,raw,1,M2,baseline,-0.0052609100931718,0.00253061135204427,0.04109207472270203,**,0.01393885467174237,0.021698012921437988,150,75
census,amen_cooking_biogas,Cooking fuel: biogas,amenities_cooking,raw,1,M3,baseline,-0.00577819359032113,0.00391966619226356,0.14468162523616,NA,0.01393885467174237,0.021698012921437988,150,75
census,amen_cooking_biogas,Cooking fuel: biogas,amenities_cooking,raw,1,M4,baseline,-0.00164150016055003,0.00442044369104779,0.7114432717733044,NA,0.01393885467174237,0.021698012921437988,150,75
census,amen_cooking_biogas,Cooking fuel: biogas,amenities_cooking,raw,1,M5,baseline,-9.129633440063656e-4,0.00266303094682366,0.7326993156282103,NA,0.01393885467174237,0.021698012921437988,150,75
census,amen_cooking_biogas,Cooking fuel: biogas,amenities_cooking,raw,2,M2,baseline,-0.00754803722638679,0.0035663048971613,0.0376663253652158,**,0.01393885467174237,0.021698012921437988,150,75
census,amen_cooking_biogas,Cooking fuel: biogas,amenities_cooking,raw,2,M3,baseline,-0.00814644137707315,0.00550427072546939,0.14311237781962546,NA,0.01393885467174237,0.021698012921437988,150,75
census,amen_cooking_biogas,Cooking fuel: biogas,amenities_cooking,raw,2,M4,baseline,-0.0023023163387836,0.00626234415759026,0.7141877674383663,NA,0.01393885467174237,0.021698012921437988,150,75
census,amen_cooking_biogas,Cooking fuel: biogas,amenities_cooking,raw,2,M5,baseline,-0.00119820948704663,0.00379552609691255,0.7531264787163249,NA,0.01393885467174237,0.021698012921437988,150,75
