"dname","country","dist_mig_pop_2001"
"Parsa","Bahrain",3
"Parsa","Bangladesh",9
"Parsa","Bhutan",4
"Parsa","China",8
"Parsa","France",1
"Parsa","Germany",1
"Parsa","Hong Kong SAR China",6
"Parsa","Japan",3
"Parsa","Kuwait",1
"Parsa","Malaysia",13
"Parsa","Maldives",1
"Parsa","Pakistan",13
"Parsa","Qatar",40
"Parsa","Russia",14
"Parsa","Saudi Arabia",145
"Parsa","Singapore",1
"Parsa","South Korea",1
"Parsa","United Arab Emirates",28
"Parsa","United Kingdom",14
"Parsa","United States",38
"Pyuthan","Australia",13
"Pyuthan","Bahrain",1
"Pyuthan","Bangladesh",12
"Pyuthan","Bhutan",2
"Pyuthan","China",14
"Pyuthan","Germany",4
"Pyuthan","Hong Kong SAR China",10
"Pyuthan","Japan",2
"Pyuthan","Kuwait",4
"Pyuthan","Malaysia",37
"Pyuthan","Maldives",3
"Pyuthan","Pakistan",6
"Pyuthan","Qatar",26
"Pyuthan","Russia",3
"Pyuthan","Saudi Arabia",186
"Pyuthan","Singapore",31
"Pyuthan","South Korea",9
"Pyuthan","Sri Lanka",1
"Pyuthan","United Arab Emirates",32
"Pyuthan","United Kingdom",6
"Pyuthan","United States",6
"Ramechhap","Australia",2
"Ramechhap","Bahrain",16
"Ramechhap","Bangladesh",3
"Ramechhap","Bhutan",30
"Ramechhap","China",5
"Ramechhap","France",3
"Ramechhap","Germany",4
"Ramechhap","Hong Kong SAR China",23
"Ramechhap","Japan",4
"Ramechhap","Kuwait",76
"Ramechhap","Malaysia",12
"Ramechhap","Maldives",2
"Ramechhap","Qatar",112
"Ramechhap","Russia",6
"Ramechhap","Saudi Arabia",291
"Ramechhap","Singapore",22
"Ramechhap","South Korea",1
"Ramechhap","Sri Lanka",3
"Ramechhap","United Arab Emirates",75
"Ramechhap","United Kingdom",18
"Ramechhap","United States",17
"Rasuwa","Bangladesh",1
"Rasuwa","Bhutan",5
"Rasuwa","China",2
"Rasuwa","France",1
"Rasuwa","Hong Kong SAR China",2
"Rasuwa","Japan",2
"Rasuwa","Kuwait",6
"Rasuwa","Qatar",3
"Rasuwa","Russia",1
"Rasuwa","Saudi Arabia",23
"Rasuwa","United Arab Emirates",8
"Rasuwa","United Kingdom",3
"Rasuwa","United States",5
"Rautahat","Australia",3
"Rautahat","Bahrain",1
"Rautahat","Bangladesh",10
"Rautahat","Bhutan",1
"Rautahat","China",5
"Rautahat","Hong Kong SAR China",1
"Rautahat","Japan",2
"Rautahat","Malaysia",4
"Rautahat","Maldives",3
"Rautahat","Pakistan",8
"Rautahat","Qatar",28
"Rautahat","Russia",10
"Rautahat","Saudi Arabia",118
"Rautahat","Singapore",1
"Rautahat","South Korea",4
"Rautahat","United Arab Emirates",8
"Rautahat","United Kingdom",5
"Rautahat","United States",17
"Rolpa","Australia",4
"Rolpa","Bahrain",3
"Rolpa","Bangladesh",16
"Rolpa","Bhutan",7
"Rolpa","China",5
"Rolpa","France",1
"Rolpa","Germany",1
"Rolpa","Hong Kong SAR China",6
"Rolpa","Japan",1
"Rolpa","Kuwait",9
"Rolpa","Malaysia",17
"Rolpa","Pakistan",6
"Rolpa","Qatar",154
"Rolpa","Russia",12
"Rolpa","Saudi Arabia",782
"Rolpa","Singapore",18
"Rolpa","South Korea",2
"Rolpa","Sri Lanka",2
"Rolpa","United Arab Emirates",77
"Rolpa","United Kingdom",17
"Rolpa","United States",2
"Rukum","Australia",2
"Rukum","Bahrain",5
"Rukum","Bangladesh",2
"Rukum","Bhutan",1
"Rukum","Germany",3
"Rukum","Hong Kong SAR China",2
"Rukum","Japan",2
"Rukum","Kuwait",28
"Rukum","Malaysia",19
"Rukum","Pakistan",2
"Rukum","Qatar",31
"Rukum","Russia",1
"Rukum","Saudi Arabia",392
"Rukum","Singapore",11
"Rukum","South Korea",5
"Rukum","United Arab Emirates",24
"Rukum","United Kingdom",13
"Rukum","United States",1
"Rupandehi","Australia",74
"Rupandehi","Bahrain",64
"Rupandehi","Bangladesh",30
"Rupandehi","Bhutan",1
"Rupandehi","China",61
"Rupandehi","France",1
"Rupandehi","Germany",36
"Rupandehi","Hong Kong SAR China",819
"Rupandehi","Japan",155
"Rupandehi","Kuwait",138
"Rupandehi","Malaysia",310
"Rupandehi","Maldives",6
"Rupandehi","Pakistan",8
"Rupandehi","Qatar",587
"Rupandehi","Russia",13
"Rupandehi","Saudi Arabia",2082
"Rupandehi","Singapore",104
"Rupandehi","South Korea",365
"Rupandehi","Sri Lanka",4
"Rupandehi","United Arab Emirates",414
"Rupandehi","United Kingdom",329
"Rupandehi","United States",183
"Salyan","Bahrain",1
"Salyan","Hong Kong SAR China",2
"Salyan","Malaysia",1
"Salyan","Maldives",1
"Salyan","Qatar",3
"Salyan","Russia",2
"Salyan","Saudi Arabia",20
"Salyan","United Arab Emirates",2
"Salyan","United Kingdom",1
"Sankhuwasabha","Australia",10
"Sankhuwasabha","Bahrain",78
"Sankhuwasabha","Bangladesh",4
"Sankhuwasabha","Bhutan",11
"Sankhuwasabha","China",10
"Sankhuwasabha","Germany",2
"Sankhuwasabha","Hong Kong SAR China",139
"Sankhuwasabha","Japan",9
"Sankhuwasabha","Kuwait",84
"Sankhuwasabha","Malaysia",111
"Sankhuwasabha","Maldives",18
"Sankhuwasabha","Pakistan",2
"Sankhuwasabha","Qatar",497
"Sankhuwasabha","Russia",1
"Sankhuwasabha","Saudi Arabia",1365
"Sankhuwasabha","Singapore",62
"Sankhuwasabha","South Korea",8
"Sankhuwasabha","Sri Lanka",2
"Sankhuwasabha","United Arab Emirates",208
"Sankhuwasabha","United Kingdom",49
"Sankhuwasabha","United States",25
"Saptari","Australia",7
"Saptari","Bahrain",5
"Saptari","Bangladesh",10
"Saptari","Bhutan",6
"Saptari","China",5
"Saptari","Germany",1
"Saptari","Hong Kong SAR China",5
"Saptari","Japan",2
"Saptari","Kuwait",32
"Saptari","Malaysia",7
"Saptari","Maldives",2
"Saptari","Pakistan",7
"Saptari","Qatar",461
"Saptari","Russia",8
"Saptari","Saudi Arabia",208
"Saptari","United Arab Emirates",56
"Saptari","United Kingdom",6
"Saptari","United States",16
"Sarlahi","Australia",7
"Sarlahi","Bahrain",4
"Sarlahi","Bangladesh",14
"Sarlahi","Bhutan",1
"Sarlahi","China",20
"Sarlahi","France",1
"Sarlahi","Germany",7
"Sarlahi","Hong Kong SAR China",2
"Sarlahi","Japan",11
"Sarlahi","Kuwait",3
"Sarlahi","Malaysia",14
"Sarlahi","Maldives",2
"Sarlahi","Pakistan",10
"Sarlahi","Qatar",107
"Sarlahi","Russia",12
"Sarlahi","Saudi Arabia",218
"Sarlahi","Singapore",7
"Sarlahi","South Korea",6
"Sarlahi","United Arab Emirates",53
"Sarlahi","United Kingdom",16
"Sarlahi","United States",28
"Sindhuli","Australia",11
"Sindhuli","Bahrain",3
"Sindhuli","Bangladesh",6
"Sindhuli","Bhutan",16
"Sindhuli","China",5
"Sindhuli","Hong Kong SAR China",9
"Sindhuli","Japan",1
"Sindhuli","Kuwait",11
"Sindhuli","Malaysia",10
"Sindhuli","Maldives",3
"Sindhuli","Pakistan",4
"Sindhuli","Qatar",90
"Sindhuli","Saudi Arabia",312
"Sindhuli","Singapore",6
"Sindhuli","South Korea",3
"Sindhuli","United Arab Emirates",54
"Sindhuli","United Kingdom",3
"Sindhuli","United States",5
"Sindhupalchok","Australia",1
"Sindhupalchok","Bahrain",3
"Sindhupalchok","Bangladesh",14
"Sindhupalchok","Bhutan",34
"Sindhupalchok","China",45
"Sindhupalchok","France",2
"Sindhupalchok","Germany",6
"Sindhupalchok","Hong Kong SAR China",15
"Sindhupalchok","Japan",8
"Sindhupalchok","Kuwait",76
"Sindhupalchok","Malaysia",34
"Sindhupalchok","Maldives",4
"Sindhupalchok","Pakistan",11
"Sindhupalchok","Qatar",52
"Sindhupalchok","Russia",6
"Sindhupalchok","Saudi Arabia",200
"Sindhupalchok","Singapore",7
"Sindhupalchok","South Korea",24
"Sindhupalchok","Sri Lanka",3
"Sindhupalchok","United Arab Emirates",64
"Sindhupalchok","United Kingdom",12
"Sindhupalchok","United States",66
"Siraha","Australia",11
"Siraha","Bahrain",9
"Siraha","Bangladesh",12
"Siraha","China",10
"Siraha","Germany",5
"Siraha","Hong Kong SAR China",7
"Siraha","Japan",15
"Siraha","Kuwait",31
"Siraha","Malaysia",33
"Siraha","Maldives",1
"Siraha","Pakistan",10
"Siraha","Qatar",1311
"Siraha","Russia",11
"Siraha","Saudi Arabia",3668
"Siraha","Singapore",39
"Siraha","South Korea",2
"Siraha","Sri Lanka",2
"Siraha","United Arab Emirates",156
"Siraha","United Kingdom",3
"Siraha","United States",21
"Solukhumbu","Australia",20
"Solukhumbu","Bahrain",5
"Solukhumbu","Bangladesh",1
"Solukhumbu","Bhutan",36
"Solukhumbu","China",4
"Solukhumbu","France",20
"Solukhumbu","Germany",19
"Solukhumbu","Hong Kong SAR China",46
"Solukhumbu","Japan",61
"Solukhumbu","Kuwait",30
"Solukhumbu","Malaysia",43
"Solukhumbu","Maldives",1
"Solukhumbu","Pakistan",2
"Solukhumbu","Qatar",92
"Solukhumbu","Saudi Arabia",274
"Solukhumbu","Singapore",44
"Solukhumbu","South Korea",26
"Solukhumbu","Sri Lanka",4
"Solukhumbu","United Arab Emirates",66
"Solukhumbu","United Kingdom",69
"Solukhumbu","United States",254
"Sunsari","Australia",94
"Sunsari","Bahrain",167
"Sunsari","Bangladesh",16
"Sunsari","Bhutan",41
"Sunsari","China",38
"Sunsari","France",3
"Sunsari","Germany",59
"Sunsari","Hong Kong SAR China",1762
"Sunsari","Japan",60
"Sunsari","Kuwait",153
"Sunsari","Malaysia",247
"Sunsari","Maldives",4
"Sunsari","Pakistan",11
"Sunsari","Qatar",575
"Sunsari","Russia",14
"Sunsari","Saudi Arabia",1469
"Sunsari","Singapore",157
"Sunsari","South Korea",142
"Sunsari","Sri Lanka",5
"Sunsari","United Arab Emirates",382
"Sunsari","United Kingdom",532
"Sunsari","United States",183
"Surkhet","Australia",8
"Surkhet","Bahrain",5
"Surkhet","Bangladesh",4
"Surkhet","Bhutan",1
"Surkhet","China",7
"Surkhet","Germany",1
"Surkhet","Hong Kong SAR China",11
"Surkhet","Japan",3
"Surkhet","Malaysia",9
"Surkhet","Maldives",3
"Surkhet","Pakistan",3
"Surkhet","Qatar",5
"Surkhet","Russia",3
"Surkhet","Saudi Arabia",64
"Surkhet","Singapore",46
"Surkhet","South Korea",3
"Surkhet","Sri Lanka",1
"Surkhet","United Arab Emirates",23
"Surkhet","United Kingdom",30
"Surkhet","United States",10
"Syangja","Australia",32
"Syangja","Bahrain",60
"Syangja","Bangladesh",21
"Syangja","Bhutan",7
"Syangja","China",23
"Syangja","France",3
"Syangja","Germany",52
"Syangja","Hong Kong SAR China",519
"Syangja","Japan",64
"Syangja","Kuwait",180
"Syangja","Malaysia",412
"Syangja","Maldives",6
"Syangja","Pakistan",10
"Syangja","Qatar",1100
"Syangja","Russia",19
"Syangja","Saudi Arabia",2865
"Syangja","Singapore",113
"Syangja","South Korea",155
"Syangja","Sri Lanka",2
"Syangja","United Arab Emirates",696
"Syangja","United Kingdom",188
"Syangja","United States",102
"Tanahu","Australia",34
"Tanahu","Bahrain",64
"Tanahu","Bangladesh",13
"Tanahu","Bhutan",3
"Tanahu","China",15
"Tanahu","France",3
"Tanahu","Germany",71
"Tanahu","Hong Kong SAR China",277
"Tanahu","Japan",40
"Tanahu","Kuwait",135
"Tanahu","Malaysia",223
"Tanahu","Maldives",40
"Tanahu","Pakistan",4
"Tanahu","Qatar",1298
"Tanahu","Russia",8
"Tanahu","Saudi Arabia",3511
"Tanahu","Singapore",91
"Tanahu","South Korea",35
"Tanahu","Sri Lanka",3
"Tanahu","United Arab Emirates",609
"Tanahu","United Kingdom",167
"Tanahu","United States",88
"Taplejung","Australia",8
"Taplejung","Bahrain",114
"Taplejung","Bangladesh",5
"Taplejung","Bhutan",6
"Taplejung","China",13
"Taplejung","France",1
"Taplejung","Germany",15
"Taplejung","Hong Kong SAR China",308
"Taplejung","Japan",6
"Taplejung","Kuwait",49
"Taplejung","Malaysia",170
"Taplejung","Maldives",2
"Taplejung","Pakistan",6
"Taplejung","Qatar",473
"Taplejung","Russia",8
"Taplejung","Saudi Arabia",1102
"Taplejung","Singapore",103
"Taplejung","South Korea",14
"Taplejung","Sri Lanka",3
"Taplejung","United Arab Emirates",202
"Taplejung","United Kingdom",79
"Taplejung","United States",27
"Terhathum","Australia",5
"Terhathum","Bahrain",68
"Terhathum","Bangladesh",3
"Terhathum","Bhutan",3
"Terhathum","China",6
"Terhathum","Germany",5
"Terhathum","Hong Kong SAR China",138
"Terhathum","Japan",9
"Terhathum","Kuwait",48
"Terhathum","Malaysia",221
"Terhathum","Maldives",10
"Terhathum","Qatar",470
"Terhathum","Russia",2
"Terhathum","Saudi Arabia",937
"Terhathum","Singapore",64
"Terhathum","South Korea",18
"Terhathum","Sri Lanka",4
"Terhathum","United Arab Emirates",160
"Terhathum","United Kingdom",88
"Terhathum","United States",15
"Udayapur","Australia",5
"Udayapur","Bahrain",21
"Udayapur","Bangladesh",7
"Udayapur","Bhutan",15
"Udayapur","China",11
"Udayapur","Hong Kong SAR China",50
"Udayapur","Japan",5
"Udayapur","Kuwait",11
"Udayapur","Malaysia",61
"Udayapur","Maldives",2
"Udayapur","Pakistan",2
"Udayapur","Qatar",193
"Udayapur","Russia",4
"Udayapur","Saudi Arabia",432
"Udayapur","Singapore",17
"Udayapur","South Korea",4
"Udayapur","Sri Lanka",1
"Udayapur","United Arab Emirates",75
"Udayapur","United Kingdom",35
"Udayapur","United States",23
