"dname","country","dist_mig_pop_2001"
"Bhojpur","Qatar",306
"Bhojpur","Russia",5
"Bhojpur","Saudi Arabia",861
"Bhojpur","Singapore",84
"Bhojpur","South Korea",34
"Bhojpur","Sri Lanka",1
"Bhojpur","United Arab Emirates",178
"Bhojpur","United Kingdom",65
"Bhojpur","United States",27
"Chitawan","Australia",129
"Chitawan","Bahrain",51
"Chitawan","Bangladesh",17
"Chitawan","Bhutan",2
"Chitawan","China",32
"Chitawan","France",10
"Chitawan","Germany",175
"Chitawan","Hong Kong SAR China",303
"Chitawan","Japan",166
"Chitawan","Kuwait",70
"Chitawan","Malaysia",205
"Chitawan","Maldives",8
"Chitawan","Pakistan",12
"Chitawan","Qatar",733
"Chitawan","Russia",39
"Chitawan","Saudi Arabia",1671
"Chitawan","Singapore",104
"Chitawan","South Korea",104
"Chitawan","Sri Lanka",3
"Chitawan","United Arab Emirates",376
"Chitawan","United Kingdom",274
"Chitawan","United States",291
"Dadeldhura","Australia",2
"Dadeldhura","Bangladesh",6
"Dadeldhura","Bhutan",2
"Dadeldhura","China",4
"Dadeldhura","Hong Kong SAR China",4
"Dadeldhura","Japan",1
"Dadeldhura","Malaysia",3
"Dadeldhura","Pakistan",1
"Dadeldhura","Qatar",1
"Dadeldhura","Russia",1
"Dadeldhura","Saudi Arabia",5
"Dadeldhura","Singapore",2
"Dadeldhura","South Korea",6
"Dadeldhura","United Arab Emirates",7
"Dailekh","Bangladesh",3
"Dailekh","Bhutan",4
"Dailekh","China",1
"Dailekh","Hong Kong SAR China",5
"Dailekh","Japan",2
"Dailekh","Kuwait",1
"Dailekh","Malaysia",4
"Dailekh","Qatar",2
"Dailekh","Russia",5
"Dailekh","Saudi Arabia",13
"Dailekh","Singapore",7
"Dailekh","Sri Lanka",2
"Dailekh","United Arab Emirates",9
"Dailekh","United Kingdom",10
"Dailekh","United States",2
"Dang","Australia",16
"Dang","Bahrain",10
"Dang","Bangladesh",13
"Dang","Bhutan",2
"Dang","China",12
"Dang","France",1
"Dang","Germany",14
"Dang","Hong Kong SAR China",21
"Dang","Japan",24
"Dang","Kuwait",14
"Dang","Malaysia",60
"Dang","Maldives",2
"Dang","Pakistan",7
"Dang","Qatar",67
"Dang","Russia",7
"Dang","Saudi Arabia",458
"Dang","Singapore",50
"Dang","South Korea",19
"Dang","United Arab Emirates",95
"Dang","United Kingdom",58
"Dang","United States",43
"Darchula","Australia",2
"Darchula","Bangladesh",1
"Darchula","Bhutan",2
"Darchula","China",5
"Darchula","Germany",1
"Darchula","Hong Kong SAR China",2
"Darchula","Japan",1
"Darchula","Malaysia",9
"Darchula","Maldives",1
"Darchula","Qatar",1
"Darchula","Russia",1
"Darchula","Saudi Arabia",7
"Darchula","South Korea",3
"Darchula","United Arab Emirates",8
"Darchula","United Kingdom",10
"Darchula","United States",12
"Dhading","Australia",7
"Dhading","Bahrain",11
"Dhading","Bangladesh",9
"Dhading","Bhutan",11
"Dhading","China",5
"Dhading","France",3
"Dhading","Germany",16
"Dhading","Hong Kong SAR China",17
"Dhading","Japan",17
"Dhading","Kuwait",39
"Dhading","Malaysia",174
"Dhading","Maldives",2
"Dhading","Pakistan",11
"Dhading","Qatar",469
"Dhading","Russia",7
"Dhading","Saudi Arabia",986
"Dhading","Singapore",51
"Dhading","South Korea",22
"Dhading","Sri Lanka",2
"Dhading","United Arab Emirates",178
"Dhading","United Kingdom",58
"Dhading","United States",32
"Dhankuta","Australia",10
"Dhankuta","Bahrain",147
"Dhankuta","Bangladesh",2
"Dhankuta","Bhutan",5
"Dhankuta","China",2
"Dhankuta","Germany",14
"Dhankuta","Hong Kong SAR China",86
"Dhankuta","Japan",17
"Dhankuta","Kuwait",150
"Dhankuta","Malaysia",148
"Dhankuta","Maldives",5
"Dhankuta","Pakistan",1
"Dhankuta","Qatar",448
"Dhankuta","Russia",3
"Dhankuta","Saudi Arabia",1259
"Dhankuta","Singapore",55
"Dhankuta","South Korea",28
"Dhankuta","Sri Lanka",1
"Dhankuta","United Arab Emirates",229
"Dhankuta","United Kingdom",34
"Dhankuta","United States",22
"Dhanusa","Australia",20
"Dhanusa","Bahrain",25
"Dhanusa","Bangladesh",40
"Dhanusa","China",21
"Dhanusa","France",2
"Dhanusa","Germany",6
"Dhanusa","Hong Kong SAR China",10
"Dhanusa","Japan",4
"Dhanusa","Kuwait",39
"Dhanusa","Malaysia",88
"Dhanusa","Maldives",3
"Dhanusa","Pakistan",18
"Dhanusa","Qatar",1290
"Dhanusa","Russia",25
"Dhanusa","Saudi Arabia",4937
"Dhanusa","Singapore",17
"Dhanusa","South Korea",1
"Dhanusa","Sri Lanka",5
"Dhanusa","United Arab Emirates",127
"Dhanusa","United Kingdom",12
"Dhanusa","United States",59
"Dolakha","Bahrain",1
"Dolakha","Bangladesh",11
"Dolakha","Bhutan",14
"Dolakha","China",8
"Dolakha","Germany",5
"Dolakha","Hong Kong SAR China",5
"Dolakha","Japan",11
"Dolakha","Kuwait",32
"Dolakha","Malaysia",13
"Dolakha","Pakistan",3
"Dolakha","Qatar",40
"Dolakha","Russia",4
"Dolakha","Saudi Arabia",86
"Dolakha","Singapore",5
"Dolakha","South Korea",2
"Dolakha","United Arab Emirates",28
"Dolakha","United Kingdom",14
"Dolakha","United States",15
"Dolpa","Australia",1
"Dolpa","China",1
"Dolpa","Japan",1
"Dolpa","Saudi Arabia",1
"Dolpa","Singapore",1
"Dolpa","South Korea",1
"Dolpa","United States",2
"Doti","Australia",1
"Doti","Bangladesh",12
"Doti","Bhutan",1
"Doti","China",6
"Doti","Germany",1
"Doti","Hong Kong SAR China",1
"Doti","Kuwait",5
"Doti","Malaysia",5
"Doti","Maldives",1
"Doti","Pakistan",3
"Doti","Qatar",1
"Doti","Russia",3
"Doti","Saudi Arabia",3
"Doti","South Korea",1
"Doti","United Arab Emirates",6
"Doti","United Kingdom",2
"Doti","United States",2
"Gorkha","Australia",22
"Gorkha","Bahrain",21
"Gorkha","Bangladesh",22
"Gorkha","Bhutan",6
"Gorkha","China",12
"Gorkha","France",3
"Gorkha","Germany",18
"Gorkha","Hong Kong SAR China",94
"Gorkha","Japan",41
"Gorkha","Kuwait",48
"Gorkha","Malaysia",76
"Gorkha","Maldives",4
"Gorkha","Pakistan",5
"Gorkha","Qatar",441
"Gorkha","Russia",4
"Gorkha","Saudi Arabia",1101
"Gorkha","Singapore",81
"Gorkha","South Korea",38
"Gorkha","Sri Lanka",4
"Gorkha","United Arab Emirates",227
"Gorkha","United Kingdom",146
"Gorkha","United States",86
"Gulmi","Australia",47
"Gulmi","Bahrain",26
"Gulmi","Bangladesh",21
"Gulmi","Bhutan",9
"Gulmi","China",37
"Gulmi","Germany",19
"Gulmi","Hong Kong SAR China",149
"Gulmi","Japan",93
"Gulmi","Kuwait",90
"Gulmi","Malaysia",87
"Gulmi","Maldives",7
"Gulmi","Pakistan",14
"Gulmi","Qatar",319
"Gulmi","Russia",28
"Gulmi","Saudi Arabia",1016
"Gulmi","Singapore",88
"Gulmi","South Korea",113
"Gulmi","Sri Lanka",4
"Gulmi","United Arab Emirates",366
"Gulmi","United Kingdom",130
"Gulmi","United States",68
"Humla","Australia",1
"Humla","China",5
"Humla","France",1
"Humla","Qatar",1
"Humla","Russia",1
"Humla","United States",4
"Ilam","Australia",7
"Ilam","Bahrain",47
"Ilam","Bangladesh",4
"Ilam","Bhutan",13
"Ilam","China",10
"Ilam","France",3
"Ilam","Germany",9
"Ilam","Hong Kong SAR China",47
"Ilam","Japan",6
"Ilam","Kuwait",51
"Ilam","Malaysia",85
"Ilam","Maldives",7
"Ilam","Pakistan",6
"Ilam","Qatar",246
"Ilam","Russia",5
"Ilam","Saudi Arabia",747
"Ilam","Singapore",68
"Ilam","South Korea",7
"Ilam","Sri Lanka",1
"Ilam","United Arab Emirates",154
"Ilam","United Kingdom",68
"Ilam","United States",23
"Jajarkot","Bangladesh",2
"Jajarkot","Germany",1
"Jajarkot","Hong Kong SAR China",1
"Jajarkot","Japan",2
"Jajarkot","Malaysia",4
"Jajarkot","Pakistan",1
"Jajarkot","United Arab Emirates",2
"Jhapa","Australia",88
"Jhapa","Bahrain",141
"Jhapa","Bangladesh",25
"Jhapa","Bhutan",45
"Jhapa","China",44
"Jhapa","France",6
"Jhapa","Germany",45
"Jhapa","Hong Kong SAR China",353
"Jhapa","Japan",45
"Jhapa","Kuwait",216
"Jhapa","Malaysia",387
"Jhapa","Maldives",18
"Jhapa","Pakistan",17
"Jhapa","Qatar",1208
"Jhapa","Russia",19
"Jhapa","Saudi Arabia",2515
"Jhapa","Singapore",104
"Jhapa","South Korea",49
"Jhapa","Sri Lanka",7
"Jhapa","United Arab Emirates",767
"Jhapa","United Kingdom",150
"Jhapa","United States",171
"Jumla","Bangladesh",1
"Jumla","China",3
"Jumla","Japan",1
