variable,var_label,value_labels,class,n_nonmiss,n_distinct,min,median,max,example_values
RI13A,RI13.A Registered or not at Other - A,NA,character,923356,9000,23,23,23,", JILLA KRISHI BIKASH KARYALAYA, JILLA URJA BIKASH SAMITI, JILLA BAN KARYALAYE JAJARKOT, NOT REPORTED"
RI13ACODE,RI13.A Code for Other - A,"1=Investigation of Abuse of Authority Commission; 2=Office of the Auditor General; 3=Public Service Commission; 4=Election Commission; 5=National Human Rights Commission of Nepal; 6=Office of Attorney General; 7=Ministry of Finance; 8=Department of Mines and Geology; 9=Nepal Bureau of Standards & Metrology; 10=Ministry of Energy; 11=Ministry of Agricultural Development; 12=Ministry of Home Affairs; 13=Ministry of Foreign Affairs; 14=Ministry of Land Reform and Management; 15=Ministry of Physical Infrastructure & Transport; 16=Ministry of Women, Children and Social Welfare; 17=Ministry of Defence; 18=Ministry of Forests and Soil Conservation; 19=Ministry of Commerce; 20=Ministry of Supplies; 21=Ministry of Science and Technology; 22=Ministry of Labour and Employment; 23=Ministry of Culture, Tourism and Civil Aviation; 24=Ministry of Federal Affairs and Local Development; 25=Ministry of Cooperatives and Poverty Alleviation; 26=Ministry of Urban Development; 27=Ministry of Irrigation; 28=Ministry of Information and Communications; 29=Ministry of Population and Environment; 30=Ministry of Water Supply & Sanitation; 31=Office of the Prime Minister and Council of Ministers; 32=Ministry of General Administration; 33=Ministry of Law, Justic and Parliamentary Affairs; 34=Ministry of Livestock Development; 35=Ministry of Peace and Reconstruction; 36=Ministry of Youth and Sports; 37=Alternative Energy Promotion Center(AEPC); 38=Agriculture Information and Communication Center; 39=Civil Aviation Authority of Nepal; 40=Financial Comptroller General Office(FCGO); 41=Foreign Employment Promotion Board; 42=Higher Secondary Education Board; 43=Hydroelectricity Inv.t & Dev.  Co. Ltd; 44=Land Management Training Centre; 45=National ID Management Center; 46=National Information Commission; 47=National Information Technology Center(NITC); 48=National Sports Council; 49=Nepal Academy of Science and Technology(NAST); 50=Nepal Academy of Tourism and Hotel Management; 51=Nepal Agricultural Research Council(NARC); 52=Nepal Airlines Corporation; 53=Nepal Health Research Council; 54=Nepal Law Commission; 55=Nepal Medical Council; 56=Nepal Tourism Board; 57=Office of Controller of Certification; 58=Office of the Controller of Examinations; 59=Public Procurement Monitoring Office(PPMO); 60=Revenue Administration Training Center; 61=University Grants Commission; 62=Vocational and Skill Development Training Center; 63=Water and Energy Commission Secretariat; 64=Others; 65=Nepal Rastra Bank; 66=Court/Bar council; 67=Social Welfare Council; 98=Don't know; 99=Not reported",haven_labelled,27548,65,0,18,99,"0, 1, 2, 3, 4"
RI13B,RI13.B Registered or not at Other - B,NA,character,923356,468,0,0,17500,", nepal rastra bank, ., chhina, nirbachan"
RI13BCODE,RI13.B Code for Other - B,"1=Investigation of Abuse of Authority Commission; 2=Office of the Auditor General; 3=Public Service Commission; 4=Election Commission; 5=National Human Rights Commission of Nepal; 6=Office of Attorney General; 7=Ministry of Finance; 8=Department of Mines and Geology; 9=Nepal Bureau of Standards & Metrology; 10=Ministry of Energy; 11=Ministry of Agricultural Development; 12=Ministry of Home Affairs; 13=Ministry of Foreign Affairs; 14=Ministry of Land Reform and Management; 15=Ministry of Physical Infrastructure & Transport; 16=Ministry of Women, Children and Social Welfare; 17=Ministry of Defence; 18=Ministry of Forests and Soil Conservation; 19=Ministry of Commerce; 20=Ministry of Supplies; 21=Ministry of Science and Technology; 22=Ministry of Labour and Employment; 23=Ministry of Culture, Tourism and Civil Aviation; 24=Ministry of Federal Affairs and Local Development; 25=Ministry of Cooperatives and Poverty Alleviation; 26=Ministry of Urban Development; 27=Ministry of Irrigation; 28=Ministry of Information and Communications; 29=Ministry of Population and Environment; 30=Ministry of Water Supply & Sanitation; 31=Office of the Prime Minister and Council of Ministers; 32=Ministry of General Administration; 33=Ministry of Law, Justic and Parliamentary Affairs; 34=Ministry of Livestock Development; 35=Ministry of Peace and Reconstruction; 36=Ministry of Youth and Sports; 37=Alternative Energy Promotion Center(AEPC); 38=Agriculture Information and Communication Center; 39=Civil Aviation Authority of Nepal; 40=Financial Comptroller General Office(FCGO); 41=Foreign Employment Promotion Board; 42=Higher Secondary Education Board; 43=Hydroelectricity Inv.t & Dev.  Co. Ltd; 44=Land Management Training Centre; 45=National ID Management Center; 46=National Information Commission; 47=National Information Technology Center(NITC); 48=National Sports Council; 49=Nepal Academy of Science and Technology(NAST); 50=Nepal Academy of Tourism and Hotel Management; 51=Nepal Agricultural Research Council(NARC); 52=Nepal Airlines Corporation; 53=Nepal Health Research Council; 54=Nepal Law Commission; 55=Nepal Medical Council; 56=Nepal Tourism Board; 57=Office of Controller of Certification; 58=Office of the Controller of Examinations; 59=Public Procurement Monitoring Office(PPMO); 60=Revenue Administration Training Center; 61=University Grants Commission; 62=Vocational and Skill Development Training Center; 63=Water and Energy Commission Secretariat; 64=Others; 65=Nepal Rastra Bank; 66=Court/Bar council; 67=Social Welfare Council; 98=Don't Know; 99=Not reported",haven_labelled,604,24,0,11,67,"0, 4, 7, 9, 10"
LS1,LS1. Legal Status of Registered Establishment or Business,1=Individual proprietor; 2=Partnership; 3=Private limited company; 4=Public limited company; 5=Cooperative; 6=Government Institution; 7=State-owned organization; 8=NGO (Non-Governmental Organization); 9=User's group; 10=Others; 99=Not reported,haven_labelled,462607,11,1,1,10,"1, 2, 3, 4, 5"
LS1OTHER,LS1.A  Other Legal Status,NA,character,923356,2286,1,2,2,", AAMA SAMUHA, political party, samuha, Religious Place"
LS2,LS2. Is this Establishment or Business Multinational Company ?,1=Yes; 2=No; 9=Not reported,haven_labelled,462235,4,1,2,9,"1, 2, 9"
OW1,OW1. Type of ownership Status of ?Not Registered? Establishment or Business,1=Individual proprietor; 2=Partnership; 3=Others; 9=Not reported,haven_labelled,461308,5,1,1,9,"1, 2, 3, 9"
OW1OTHER,OW1. A Other type of ownership,NA,character,923356,1308,NA,NA,NA,", upavokta samuha, samuha, mandir, ."
MO1,MO1.  Sex of Manager,1=Male; 2=Female; 9=Not reported,haven_labelled,923356,3,1,1,9,"1, 2, 9"
MO1AGE,MO1.A Age of Manager,98=Don't know; 99=Not reported,haven_labelled,922613,91,10,38,99,"10, 11, 12, 13, 14"
MO2,MO2.  Sex of Owner,1=Male; 2=Female; 3=Not applicable; 9=Not reported,haven_labelled,923356,3,1,1,3,"1, 2, 3"
MO2AGE,MO2.A Age of Owner,98=Don't know; 99=Not reported,haven_labelled,831143,91,10,38,99,"10, 11, 12, 13, 14"
MO3,MO3. Country of Owner,1=Nepal; 2=India; 3=China; 4=Pakistan; 5=Bangladesh; 6=Sri Lanka; 7=Malaysia; 8=Thailand; 9=Singapore; 10=Other ASEAN countries; 11=Japan; 12=Gulf countries; 13=United State of America; 14=United Kingdom; 15=EU countries; 16=Others; 98=Don't Know; 99=Not reported,haven_labelled,829470,18,1,1,99,"1, 2, 3, 4, 5"
MO3OTHER,MO3.A Other Country of Owner,NA,character,923356,38,NA,NA,NA,", ., korea, korean, NORWAY"
BO1H,BO1. Business Opening Time (Hour),98=Don't Know; 99=Not reported,haven_labelled,923356,14,0,7,99,"0, 1, 2, 3, 4"
BO1M,BO1. Business Opening Time (Minute),NA,numeric,922221,42,0,0,59,"0, 1, 2, 3, 4"
BO1AP,BO1. Business Opening Time (AM/PM),1=AM; 2=PM; 9=Not reported,haven_labelled,923355,4,1,1,9,"1, 2, 9"
BO2H,BO2. Business Closing Time (Hour),98=Don't Know; 99=Not reported,haven_labelled,923236,16,0,7,99,"0, 1, 2, 3, 4"
BO2M,BO2. Business Closing Time (Minute),NA,numeric,922342,46,0,0,59,"0, 1, 2, 3, 4"
BO2AP,BO2. Business Closing Time (AM/PM),1=AM; 2=PM; 9=Not reported,haven_labelled,923355,4,1,2,9,"1, 2, 9"
BO3,BO3. Working hours,98=Don't Know; 99=Not reported,haven_labelled,923356,27,0,12,99,"0, 1, 2, 3, 4"
BO4,BO4. Is this establishment regularly operating through the year?,1=Yes; 2=No; 9=Not reported,haven_labelled,923341,4,1,1,9,"1, 2, 9"
BO5,BO5. How many working days did this establishment have for the last one year?,998=Don't Know; 999=Not reported,haven_labelled,916853,368,0,320,999,"0, 1, 2, 3, 4"
BO6OPEN,BO6. Seasonal Opening month,1=Baishakh; 2=Jestha; 3=Ashar; 4=Shrawan; 5=Bhadra; 6=Ashwin; 7=Kartik; 8=Mangsir; 9=Poush; 10=Magh; 11=Falgun; 12=Chaitra; 98=Don't Know; 99=Not reported,haven_labelled,6528,14,1,5,99,"1, 2, 3, 4, 5"
BO6CLOSE,BO6. Seasonal Closing month,1=Baishakh; 2=Jestha; 3=Ashar; 4=Shrawan; 5=Bhadra; 6=Ashwin; 7=Kartik; 8=Mangsir; 9=Poush; 10=Magh; 11=Falgun; 12=Chaitra; 98=Don't Know; 99=Not reported,haven_labelled,6522,14,1,6,99,"1, 2, 3, 4, 5"
BO7,BO7. How many working days did this establishment have in the season?,998=Don't know; 999=Not reported,haven_labelled,6074,154,1,120,999,"1, 2, 3, 4, 5"
BO8M,BO8. Month of Starting the Business,1=Baishakh; 2=Jestha; 3=Ashar; 4=Shrawan; 5=Bhadra; 6=Ashwin; 7=Kartik; 8=Mangsir; 9=Poush; 10=Magh; 11=Falgun; 12=Chaitra; 98=Don't Know; 99=Not reported,haven_labelled,922788,16,0,3,99,"0, 1, 2, 3, 4"
BO8Y,BO8. Year of Starting the Business,9998=Don't Know; 9999=Not reported,haven_labelled,922902,202,0,2070,9999,"0, 1500, 1550, 1557, 1575"
BP1,BP1. Tenure of Business Place (Building),1=Own; 2=Rented; 3=Lease or contract out; 4=Other; 5=Not applicable; 8=Don't Know; 9=Not reported,haven_labelled,923356,7,1,2,9,"1, 2, 3, 4, 5"
BP1OTHER,BP1. Tenure of Business Place (Other Building),NA,character,923356,4753,0,0,140,", adhakshako gharma, ADHYACHHA KO GHAR MA, aama samuhu ko bhawan, ghumtima"
BP2,BP2. Tenure of Business Land,1=Own; 2=Rented; 3=Lease or contract out; 4=Other; 5=Not applicable; 8=Don't Know; 9=Not reported,haven_labelled,923099,8,1,5,9,"1, 2, 3, 4, 5"
BP2OTHER,BP2. Tenure of Business Other Land,NA,character,923356,2208,0,0,99999,", sarbajanik, aagan prayog, aagan, chilime hydropower ko jagga ma"
BP3,BP3. Kind of Business Place,"1=Street business; 2=Home business (Business place and owner?s residence are united into one); 3=Business in a building with sturdy construction for shop, office, apartment, etc; 4=Business in traditional market with flat building or simple construction; 5=Business in shopping mall with signboard and sturdy construction (building with; 6=Business occupying exclusively block/building with signboard and sturdy construc; 7=Others; 9=Not reported",haven_labelled,923332,9,1,3,9,"1, 2, 3, 4, 5"
BP41,BP4.1 Building or Room occupied area using for Business,1=Yes; 2=Not applicable; 8=Don't Know; 9=Not reported,haven_labelled,923061,5,1,1,9,"1, 2, 8, 9"
BP41AREA,BP4.1 Total Area of Building or Room for Business,NA,numeric,834281,8677,0,144,54345346,"0, 1, 2, 3, 4"
BP42,BP4.2 Land occupied area using for Business (except building area),1=Yes; 2=Not applicable; 8=Don't Know; 9=Not reported,haven_labelled,923252,5,1,2,9,"1, 2, 8, 9"
BP42AREA,BP4.2 Total Area of Land for Business (except building area),NA,numeric,161931,10403,0,260,1440012032,"0, 1, 2, 3, 4"
PE1TOT,PE1 Total number of persons engaged,NA,numeric,923356,546,1,2,5000,"1, 2, 3, 4, 5"
PE1NM,PE1 Nepali Male engaged number,NA,numeric,923356,423,0,1,3157,"0, 1, 2, 3, 4"
PE1NF,PE1 Nepali Female engaged number,NA,numeric,923356,304,0,1,3000,"0, 1, 2, 3, 4"
PE1FM,PE1 Foreign Male engaged number,NA,numeric,923356,74,0,0,333,"0, 1, 2, 3, 4"
PE1FF,PE1 Foreign Female engaged number,NA,numeric,923356,31,0,0,110,"0, 1, 2, 3, 4"
