hhid,year,member_id,wt_hh,vmun_code,lgname,district77,district_name,is_internal,is_international,dest_india,dest_gulf,dest_malaysia,dest_other_country,s11q02b_raw,s11q02d_raw,s11q02a_raw,migrant_male,migrant_female,migrant_third_gender,migrant_age,months_away,long_term_migrant,reason_work,reason_education,reason_family,reason_disaster,earning_primary_rs,earning_secondary_rs,earning_total_rs,has_secondary_job,remit_sent_flag,remit_amount_rs,remit_freq_per_year,remit_via_formal,remit_via_informal,remit_via_bank_ime,remit_via_friends,remit_via_hundi,remit_via_other,remit_use_consumption,remit_use_human_capital,remit_use_business_investment,remit_use_land_housing,remit_use_investment_any,remit_use_debt,mig_cost_any,mig_cost_rs,mig_cost_loan_flag,cost_to_monthly_earning_ratio
10,2018,2574,898.64581298828125,11311,Dewangunj Gaunpalika,Sunsari,Sunsari,0,1,0,1,0,0,United Arab Emirates,,,1,0,0,19,7,0,1,0,0,0,0,0,0,,1,50000,1,1,0,1,0,0,0,0,0,0,0,0,1,1,150000,1,
11,2016,28975,487.4611206054687,31204,Raksirang Gaunpalika,Makwanpur,Makwanpur,1,0,0,0,0,0,,,Chitwan,1,0,0,14,16,0,0,1,0,0,0,0,0,,0,0,,,,,,,,,,,,,,0,0,,
11,2017,28975,487.4611206054687,31204,Raksirang Gaunpalika,Makwanpur,Makwanpur,1,0,0,0,0,0,,,Chitwan,1,0,0,15,29,1,0,1,0,0,0,0,0,,0,0,,,,,,,,,,,,,,1,700,0,
11,2018,28975,487.4611206054687,31204,Raksirang Gaunpalika,Makwanpur,Makwanpur,1,0,0,0,0,0,,,Chitwan,1,0,0,16,41,1,0,1,0,0,0,0,0,,0,0,,,,,,,,,,,,,,1,5000,0,
12,2017,2582,634.085205078125,70805,Ghodaghodi Municipality,Kailali,Kailali,0,1,1,0,0,0,India,,,1,0,0,36,5,0,1,0,0,0,20000,0,20000,,1,60000,2,1,1,1,1,0,0,1,0,0,0,0,0,1,3500,0,0.175
12,2017,2584,634.085205078125,70805,Ghodaghodi Municipality,Kailali,Kailali,0,1,1,0,0,0,India,,,1,0,0,14,4,0,0,0,1,0,15000,0,15000,,0,0,,,,,,,,,,,,,,1,2800,0,0.18666666666666668
12,2018,2584,634.085205078125,70805,Ghodaghodi Municipality,Kailali,Kailali,0,0,0,0,0,0,,,,0,0,0,,,,,,,,0,0,0,,,0,,,,,,,,,,,,,,,0,,
12,2018,2582,634.085205078125,70805,Ghodaghodi Municipality,Kailali,Kailali,0,0,0,0,0,0,,,,0,0,0,,,,,,,,0,0,0,,,0,,,,,,,,,,,,,,,0,,
14,2018,2591,585.5533447265625,30204,Helambu Gaunpalika,Sindhupalchok,Sindhupalchok,1,0,0,0,0,0,,,Kathmandu,1,0,0,23,11,0,0,1,0,0,0,18000,18000,,1,2,2,0,1,0,1,0,0,1,1,0,0,0,0,1,1200,0,0.06666666666666667
15,2016,34014,634.085205078125,70808,Janaki Gaunpalika,Kailali,Kailali,1,0,0,0,0,0,,,Bara,1,0,0,20,24,0,1,0,0,0,5000,0,5000,,1,50000,2,0,1,0,1,0,0,1,0,1,0,1,0,1,1200,0,0.24
